original_line,processed
"Sarıkamış'ta şehit olanlar hep yiğitler,","[{'input': 'Sarıkamış'ta', 'root': 'Sarıkamış', 'type': 'Noun'}, {'input': 'şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'olanlar', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olanlar', 'root': 'olmak', 'type': 'Verb'}, {'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'yiğitler', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğitler', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Vazgeçin vatana kurşun sıkan itler,","[{'input': 'Vazgeçin', 'root': 'vazgeçmek', 'type': 'Verb'}, {'input': 'vatana', 'root': 'vatan', 'type': 'Noun'}, {'input': 'kurşun', 'root': 'kurşun', 'type': 'Adjective'}, {'input': 'kurşun', 'root': 'kurşun', 'type': 'Noun'}, {'input': 'sıkan', 'root': 'sıkmak', 'type': 'Verb'}, {'input': 'itler', 'root': 'it', 'type': 'Noun'}, {'input': 'itler', 'root': 'it', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Ey Şehitler! Peygamber sizleri bekler,","[{'input': 'Ey', 'root': 'ey', 'type': 'Interjection'}, {'input': 'Şehitler', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'Şehitler', 'root': 'şehit', 'type': 'Noun'}, {'input': 'Şehitler', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'Şehitler', 'root': 'şehit', 'type': 'Noun'}, {'input': '!', 'root': '!', 'type': 'Punctuation'}, {'input': 'Peygamber', 'root': 'Peygamber', 'type': 'Noun'}, {'input': 'Peygamber', 'root': 'peygamber', 'type': 'Noun'}, {'input': 'sizleri', 'root': 'siz', 'type': 'Pronoun'}, {'input': 'bekler', 'root': 'beklemek', 'type': 'Verb'}, {'input': 'bekler', 'root': 'beklemek', 'type': 'Verb'}, {'input': 'bekler', 'root': 'bek', 'type': 'Noun'}, {'input': 'bekler', 'root': 'bek', 'type': 'Adjective'}, {'input': 'bekler', 'root': 'bek', 'type': 'Adjective'}, {'input': 'bekler', 'root': 'bek', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Sarıkamış'ta şehit olanlar, hep yiğitler,","[{'input': 'Sarıkamış'ta', 'root': 'Sarıkamış', 'type': 'Noun'}, {'input': 'şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'olanlar', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olanlar', 'root': 'olmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'yiğitler', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğitler', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Aç olarak şehit oldu yurdu savundular,","[{'input': 'Aç', 'root': 'aç', 'type': 'Adjective'}, {'input': 'Aç', 'root': 'aç', 'type': 'Adverb'}, {'input': 'Aç', 'root': 'açmak', 'type': 'Verb'}, {'input': 'Aç', 'root': 'Aç', 'type': 'Noun'}, {'input': 'olarak', 'root': 'olmak', 'type': 'Verb'}, {'input': 'şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'oldu', 'root': 'olmak', 'type': 'Verb'}, {'input': 'yurdu', 'root': 'yumak', 'type': 'Verb'}, {'input': 'yurdu', 'root': 'yurt', 'type': 'Noun'}, {'input': 'yurdu', 'root': 'yurt', 'type': 'Noun'}, {'input': 'yurdu', 'root': 'yurdu', 'type': 'Noun'}, {'input': 'savundular', 'root': 'savunmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Şehit olacağız şehit diyerek avundular,","[{'input': 'Şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'Şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'olacağız', 'root': 'olmak', 'type': 'Verb'}, {'input': 'şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'diyerek', 'root': 'demek', 'type': 'Verb'}, {'input': 'avundular', 'root': 'avunmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Hepsi şehit oldu hiç geriye kalmadılar,","[{'input': 'Hepsi', 'root': 'hepsi', 'type': 'Pronoun'}, {'input': 'şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'oldu', 'root': 'olmak', 'type': 'Verb'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Adverb'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Noun'}, {'input': 'geriye', 'root': 'geri', 'type': 'Noun'}, {'input': 'geriye', 'root': 'geri', 'type': 'Adjective'}, {'input': 'kalmadılar', 'root': 'kalmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Sarıkamış'ta şehit olanlar, hep yiğitler...","[{'input': 'Sarıkamış'ta', 'root': 'Sarıkamış', 'type': 'Noun'}, {'input': 'şehit', 'root': 'Şehit', 'type': 'Noun'}, {'input': 'şehit', 'root': 'şehit', 'type': 'Noun'}, {'input': 'olanlar', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olanlar', 'root': 'olmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'yiğitler', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Adjective'}, {'input': 'yiğitler', 'root': 'Yiğit', 'type': 'Noun'}, {'input': 'yiğitler', 'root': 'yiğit', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
Al kanımla dalgalansın bayrağım,"[{'input': 'Al', 'root': 'al', 'type': 'Adjective'}, {'input': 'Al', 'root': 'almak', 'type': 'Verb'}, {'input': 'Al', 'root': 'Al', 'type': 'Noun'}, {'input': 'Al', 'root': 'al', 'type': 'Noun'}, {'input': 'kanımla', 'root': 'kan', 'type': 'Noun'}, {'input': 'kanımla', 'root': 'kanı', 'type': 'Noun'}, {'input': 'dalgalansın', 'root': 'dalgalanmak', 'type': 'Verb'}, {'input': 'dalgalansın', 'root': 'dalga', 'type': 'Noun'}, {'input': 'dalgalansın', 'root': 'Dalga', 'type': 'Noun'}, {'input': 'bayrağım', 'root': 'bayrak', 'type': 'Noun'}, {'input': 'bayrağım', 'root': 'bayrak', 'type': 'Noun'}]"
"Bin can verem,vatan kalsın toprağım","[{'input': 'Bin', 'root': 'bin', 'type': 'Numeral'}, {'input': 'Bin', 'root': 'binmek', 'type': 'Verb'}, {'input': 'can', 'root': 'can', 'type': 'Adjective'}, {'input': 'can', 'root': 'Can', 'type': 'Noun'}, {'input': 'can', 'root': 'can', 'type': 'Noun'}, {'input': 'verem', 'root': 'verem', 'type': 'Adjective'}, {'input': 'verem', 'root': 'vere', 'type': 'Noun'}, {'input': 'verem', 'root': 'verem', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'vatan', 'root': 'vatan', 'type': 'Noun'}, {'input': 'kalsın', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalsın', 'root': 'kal', 'type': 'Noun'}, {'input': 'toprağım', 'root': 'toprak', 'type': 'Noun'}, {'input': 'toprağım', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'toprağım', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'toprağım', 'root': 'toprak', 'type': 'Noun'}]"
