original_line,processed
Yürü bire yalan dünya,"[{'input': 'Yürü', 'root': 'yürümek', 'type': 'Verb'}, {'input': 'bire', 'root': 'bir', 'type': 'Adjective'}, {'input': 'bire', 'root': 'bir', 'type': 'Numeral'}, {'input': 'yalan', 'root': 'yalan', 'type': 'Adjective'}, {'input': 'yalan', 'root': 'yalan', 'type': 'Noun'}, {'input': 'yalan', 'root': 'yalamak', 'type': 'Verb'}, {'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}]"
Sana konan göçer gün,"[{'input': 'Sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sana', 'root': 'san', 'type': 'Noun'}, {'input': 'Sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'Sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'konan', 'root': 'konmak', 'type': 'Verb'}, {'input': 'göçer', 'root': 'göçer', 'type': 'Adjective'}, {'input': 'göçer', 'root': 'göçmek', 'type': 'Verb'}, {'input': 'göçer', 'root': 'göçmek', 'type': 'Verb'}, {'input': 'göçer', 'root': 'göçermek', 'type': 'Verb'}, {'input': 'gün', 'root': 'gün', 'type': 'Noun'}]"
İnsan ekine misal,"[{'input': 'İnsan', 'root': 'insan', 'type': 'Adjective'}, {'input': 'İnsan', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'İnsan', 'root': 'insan', 'type': 'Noun'}, {'input': 'ekine', 'root': 'ek', 'type': 'Noun'}, {'input': 'ekine', 'root': 'ek', 'type': 'Noun'}, {'input': 'ekine', 'root': 'ekin', 'type': 'Noun'}, {'input': 'ekine', 'root': 'ek', 'type': 'Adjective'}, {'input': 'ekine', 'root': 'ek', 'type': 'Adjective'}, {'input': 'misal', 'root': 'misal', 'type': 'Noun'}]"
Seni eken biçer gün,"[{'input': 'Seni', 'root': 'se', 'type': 'Noun'}, {'input': 'Seni', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'eken', 'root': 'ekmek', 'type': 'Verb'}, {'input': 'eken', 'root': 'eke', 'type': 'Noun'}, {'input': 'eken', 'root': 'eke', 'type': 'Adjective'}, {'input': 'biçer', 'root': 'biçmek', 'type': 'Verb'}, {'input': 'biçer', 'root': 'biçmek', 'type': 'Verb'}, {'input': 'biçer', 'root': 'Biçer', 'type': 'Noun'}, {'input': 'gün', 'root': 'gün', 'type': 'Noun'}]"
Ağalar içmesi hoştur,"[{'input': 'Ağalar', 'root': 'ağmak', 'type': 'Verb'}, {'input': 'Ağalar', 'root': 'ağa', 'type': 'Noun'}, {'input': 'Ağalar', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'Ağalar', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'Ağalar', 'root': 'ağ', 'type': 'Noun'}, {'input': 'Ağalar', 'root': 'ağa', 'type': 'Noun'}, {'input': 'içmesi', 'root': 'içmek', 'type': 'Verb'}, {'input': 'hoştur', 'root': 'hoş', 'type': 'Adjective'}]"
züğürtlere güçtür,"[{'input': 'züğürtlere', 'root': 'züğürt', 'type': 'Adjective'}, {'input': 'güçtür', 'root': 'güç', 'type': 'Adjective'}, {'input': 'güçtür', 'root': 'Güç', 'type': 'Noun'}, {'input': 'güçtür', 'root': 'güç', 'type': 'Noun'}]"
Can kafeste duran kuştur,"[{'input': 'Can', 'root': 'can', 'type': 'Adjective'}, {'input': 'Can', 'root': 'Can', 'type': 'Noun'}, {'input': 'Can', 'root': 'can', 'type': 'Noun'}, {'input': 'kafeste', 'root': 'kafes', 'type': 'Noun'}, {'input': 'duran', 'root': 'durmak', 'type': 'Verb'}, {'input': 'kuştur', 'root': 'kuş', 'type': 'Noun'}]"
Elbet uçar gider gün,"[{'input': 'Elbet', 'root': 'elbet', 'type': 'Adverb'}, {'input': 'uçar', 'root': 'uçar', 'type': 'Adjective'}, {'input': 'uçar', 'root': 'uçmak', 'type': 'Verb'}, {'input': 'uçar', 'root': 'uçmak', 'type': 'Verb'}, {'input': 'gider', 'root': 'gitmek', 'type': 'Verb'}, {'input': 'gider', 'root': 'gitmek', 'type': 'Verb'}, {'input': 'gider', 'root': 'gidermek', 'type': 'Verb'}, {'input': 'gider', 'root': 'gider', 'type': 'Noun'}, {'input': 'gün', 'root': 'gün', 'type': 'Noun'}]"
Aşıklar der n'olacak,"[{'input': 'Aşıklar', 'root': 'âşık', 'type': 'Noun'}, {'input': 'Aşıklar', 'root': 'âşık', 'type': 'Noun'}, {'input': 'Aşıklar', 'root': 'aşık', 'type': 'Noun'}, {'input': 'Aşıklar', 'root': 'âşık', 'type': 'Noun'}, {'input': 'Aşıklar', 'root': 'âşık', 'type': 'Noun'}, {'input': 'Aşıklar', 'root': 'aşık', 'type': 'Noun'}, {'input': 'der', 'root': 'demek', 'type': 'Verb'}, {'input': 'der', 'root': 'dermek', 'type': 'Verb'}, {'input': 'n', 'root': 'N', 'type': 'Noun'}, {'input': 'olacak', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olacak', 'root': 'olmak', 'type': 'Verb'}]"
dünya mamur olacak,"[{'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}, {'input': 'mamur', 'root': 'mamur', 'type': 'Adjective'}, {'input': 'mamur', 'root': 'Mamur', 'type': 'Noun'}, {'input': 'olacak', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olacak', 'root': 'olmak', 'type': 'Verb'}]"
