original_line,processed
"Hayat, mayat diyorlar","[{'input': 'Hayat', 'root': 'hayat', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'diyorlar', 'root': 'demek', 'type': 'Verb'}]"
Benim gözüm mayat'ta.,"[{'input': 'Benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'gözüm', 'root': 'göz', 'type': 'Noun'}, {'input': 'gözüm', 'root': 'göz', 'type': 'Noun'}, {'input': 'mayat'ta', 'root': 'Mayat'ta', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Hayatin eksiği var:,"[{'input': 'Hayatin', 'root': 'hayatî', 'type': 'Noun'}, {'input': 'Hayatin', 'root': 'hayatî', 'type': 'Adjective'}, {'input': 'eksiği', 'root': 'eksik', 'type': 'Noun'}, {'input': 'eksiği', 'root': 'eksik', 'type': 'Noun'}, {'input': 'eksiği', 'root': 'eksik', 'type': 'Adjective'}, {'input': 'eksiği', 'root': 'eksik', 'type': 'Adjective'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': ':', 'root': ':', 'type': 'Punctuation'}]"
Hayat eksik hayatta.,"[{'input': 'Hayat', 'root': 'hayat', 'type': 'Noun'}, {'input': 'eksik', 'root': 'eksik', 'type': 'Adjective'}, {'input': 'eksik', 'root': 'eksik', 'type': 'Noun'}, {'input': 'hayatta', 'root': 'hayat', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Takınsam, kanat, manat;","[{'input': 'Takınsam', 'root': 'takınmak', 'type': 'Verb'}, {'input': 'Takınsam', 'root': 'tak', 'type': 'Noun'}, {'input': 'Takınsam', 'root': 'tak', 'type': 'Noun'}, {'input': 'Takınsam', 'root': 'takı', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kanat', 'root': 'kanat', 'type': 'Noun'}, {'input': 'kanat', 'root': 'kanamak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'manat', 'root': 'manat', 'type': 'Noun'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
"Kuş, muş olsam seğirtsem.","[{'input': 'Kuş', 'root': 'kuş', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'muş', 'root': 'Muş', 'type': 'Noun'}, {'input': 'muş', 'root': 'muş', 'type': 'Noun'}, {'input': 'olsam', 'root': 'olmak', 'type': 'Verb'}, {'input': 'seğirtsem', 'root': 'seğirtmek', 'type': 'Verb'}, {'input': 'seğirtsem', 'root': 'seğirmek', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Bomboş vatana inat,","[{'input': 'Bomboş', 'root': 'bomboş', 'type': 'Adjective'}, {'input': 'vatana', 'root': 'vatan', 'type': 'Noun'}, {'input': 'inat', 'root': 'inat', 'type': 'Adjective'}, {'input': 'inat', 'root': 'inat', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Matan'a doğru gitsem...,"[{'input': 'Matan'a', 'root': 'Matan'a', 'type': 'Noun'}, {'input': 'doğru', 'root': 'doğru', 'type': 'Adjective'}, {'input': 'doğru', 'root': 'doğru', 'type': 'PostPositive'}, {'input': 'doğru', 'root': 'doğru', 'type': 'Noun'}, {'input': 'gitsem', 'root': 'gitmek', 'type': 'Verb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
Gazel,"[{'input': 'Gazel', 'root': 'Gazel', 'type': 'Noun'}, {'input': 'Gazel', 'root': 'gazel', 'type': 'Noun'}]"
Mürde cânım iltifâtundan bulur dem hayât,"[{'input': 'cânım', 'root': 'Can', 'type': 'Noun'}, {'input': 'cânım', 'root': 'can', 'type': 'Noun'}, {'input': 'cânım', 'root': 'can', 'type': 'Adjective'}, {'input': 'cânım', 'root': 'can', 'type': 'Adjective'}, {'input': 'cânım', 'root': 'Can', 'type': 'Noun'}, {'input': 'cânım', 'root': 'can', 'type': 'Noun'}, {'input': 'bulur', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'bulur', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'dem', 'root': 'de', 'type': 'Noun'}, {'input': 'dem', 'root': 'dem', 'type': 'Noun'}, {'input': 'hayât', 'root': 'hayat', 'type': 'Noun'}]"
