original_line,processed
"Çilelerim köprü oldu Tuna'ya,","[{'input': 'Çilelerim', 'root': 'çile', 'type': 'Noun'}, {'input': 'Çilelerim', 'root': 'çile', 'type': 'Noun'}, {'input': 'köprü', 'root': 'köprü', 'type': 'Noun'}, {'input': 'oldu', 'root': 'olmak', 'type': 'Verb'}, {'input': 'Tuna'ya', 'root': 'Tuna', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Dilimden anlamaz kulun Almanya.,"[{'input': 'Dilimden', 'root': 'dil', 'type': 'Noun'}, {'input': 'Dilimden', 'root': 'dilim', 'type': 'Noun'}, {'input': 'anlamaz', 'root': 'anlamak', 'type': 'Verb'}, {'input': 'anlamaz', 'root': 'anlamak', 'type': 'Verb'}, {'input': 'kulun', 'root': 'kul', 'type': 'Noun'}, {'input': 'kulun', 'root': 'kul', 'type': 'Noun'}, {'input': 'kulun', 'root': 'Kulu', 'type': 'Noun'}, {'input': 'kulun', 'root': 'kulun', 'type': 'Noun'}, {'input': 'Almanya', 'root': 'Almanya', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Döneceğim günü hep saya saya,","[{'input': 'Döneceğim', 'root': 'dönmek', 'type': 'Verb'}, {'input': 'Döneceğim', 'root': 'dönmek', 'type': 'Verb'}, {'input': 'Döneceğim', 'root': 'dönmek', 'type': 'Verb'}, {'input': 'günü', 'root': 'gün', 'type': 'Noun'}, {'input': 'günü', 'root': 'gün', 'type': 'Noun'}, {'input': 'günü', 'root': 'günü', 'type': 'Noun'}, {'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'saya', 'root': 'saymak', 'type': 'Verb'}, {'input': 'saya', 'root': 'sayamak', 'type': 'Verb'}, {'input': 'saya', 'root': 'say', 'type': 'Noun'}, {'input': 'saya', 'root': 'saya', 'type': 'Noun'}, {'input': 'saya', 'root': 'saymak', 'type': 'Verb'}, {'input': 'saya', 'root': 'sayamak', 'type': 'Verb'}, {'input': 'saya', 'root': 'say', 'type': 'Noun'}, {'input': 'saya', 'root': 'saya', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Ömrümü tüketti yılın Almanya.,"[{'input': 'Ömrümü', 'root': 'ömür', 'type': 'Noun'}, {'input': 'tüketti', 'root': 'tüketmek', 'type': 'Verb'}, {'input': 'yılın', 'root': 'yılmak', 'type': 'Verb'}, {'input': 'yılın', 'root': 'yıl', 'type': 'Noun'}, {'input': 'yılın', 'root': 'yıl', 'type': 'Noun'}, {'input': 'yılın', 'root': 'yılmak', 'type': 'Verb'}, {'input': 'Almanya', 'root': 'Almanya', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"çıkardın beni batırdın,","[{'input': 'çıkardın', 'root': 'çıkarmak', 'type': 'Verb'}, {'input': 'çıkardın', 'root': 'çıkmak', 'type': 'Verb'}, {'input': 'çıkardın', 'root': 'çıkar', 'type': 'Noun'}, {'input': 'beni', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'beni', 'root': 'ben', 'type': 'Noun'}, {'input': 'beni', 'root': 'ben', 'type': 'Noun'}, {'input': 'batırdın', 'root': 'batırmak', 'type': 'Verb'}, {'input': 'batırdın', 'root': 'Batır', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Emeğimi yiye yiye bitirdin,","[{'input': 'Emeğimi', 'root': 'emek', 'type': 'Noun'}, {'input': 'yiye', 'root': 'yemek', 'type': 'Verb'}, {'input': 'yiye', 'root': 'Yi', 'type': 'Noun'}, {'input': 'yiye', 'root': 'yemek', 'type': 'Verb'}, {'input': 'yiye', 'root': 'Yi', 'type': 'Noun'}, {'input': 'bitirdin', 'root': 'bitirmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Gençliğimi benden aldın götürdün,","[{'input': 'Gençliğimi', 'root': 'genç', 'type': 'Adjective'}, {'input': 'Gençliğimi', 'root': 'genç', 'type': 'Noun'}, {'input': 'Gençliğimi', 'root': 'Genç', 'type': 'Noun'}, {'input': 'benden', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benden', 'root': 'ben', 'type': 'Noun'}, {'input': 'benden', 'root': 'Bende', 'type': 'Noun'}, {'input': 'aldın', 'root': 'almak', 'type': 'Verb'}, {'input': 'aldın', 'root': 'al', 'type': 'Adjective'}, {'input': 'aldın', 'root': 'Al', 'type': 'Noun'}, {'input': 'aldın', 'root': 'al', 'type': 'Noun'}, {'input': 'götürdün', 'root': 'götürmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Bana kalacak malın Almanya?,"[{'input': 'Bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'Bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'Bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'Bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'kalacak', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kalacak', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'malın', 'root': 'mal', 'type': 'Noun'}, {'input': 'malın', 'root': 'mal', 'type': 'Noun'}, {'input': 'Almanya', 'root': 'Almanya', 'type': 'Noun'}, {'input': '?', 'root': '?', 'type': 'Punctuation'}]"
"Yıllar var hasretim, yârana dosta,","[{'input': 'Yıllar', 'root': 'yıllamak', 'type': 'Verb'}, {'input': 'Yıllar', 'root': 'yıllamak', 'type': 'Verb'}, {'input': 'Yıllar', 'root': 'yıl', 'type': 'Noun'}, {'input': 'Yıllar', 'root': 'yıl', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': 'hasretim', 'root': 'hasret', 'type': 'Noun'}, {'input': 'hasretim', 'root': 'Hasret', 'type': 'Noun'}, {'input': 'hasretim', 'root': 'hasret', 'type': 'Noun'}, {'input': 'hasretim', 'root': 'Hasret', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'yârana', 'root': 'yaranmak', 'type': 'Verb'}, {'input': 'yârana', 'root': 'yara', 'type': 'Noun'}, {'input': 'yârana', 'root': 'yâran', 'type': 'Noun'}, {'input': 'yârana', 'root': 'yaramak', 'type': 'Verb'}, {'input': 'yârana', 'root': 'yarmak', 'type': 'Verb'}, {'input': 'dosta', 'root': 'Dos', 'type': 'Noun'}, {'input': 'dosta', 'root': 'dost', 'type': 'Noun'}, {'input': 'dosta', 'root': 'dost', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Isıcak çorban görmedim tasta,","[{'input': 'çorban', 'root': 'çorba', 'type': 'Noun'}, {'input': 'görmedim', 'root': 'görmek', 'type': 'Verb'}, {'input': 'tasta', 'root': 'tas', 'type': 'Noun'}, {'input': 'tasta', 'root': 'tas', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
