original_line,processed
1.,"[{'input': '1.', 'root': '1.', 'type': 'Numeral'}, {'input': '1.', 'root': '1.', 'type': 'Numeral'}]"
hoşça kal ayak izim,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}, {'input': 'ayak', 'root': 'ayak', 'type': 'Noun'}, {'input': 'izim', 'root': 'iz', 'type': 'Noun'}, {'input': 'izim', 'root': 'iz', 'type': 'Noun'}]"
serseri sokaklarda,"[{'input': 'serseri', 'root': 'serseri', 'type': 'Adjective'}, {'input': 'sokaklarda', 'root': 'sokak', 'type': 'Noun'}, {'input': 'sokaklarda', 'root': 'Sokak', 'type': 'Noun'}]"
hoşça kal,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}]"
kendine,"[{'input': 'kendine', 'root': 'kendi', 'type': 'Pronoun'}, {'input': 'kendine', 'root': 'kendi', 'type': 'Pronoun'}]"
gökyüzü büyüten,"[{'input': 'gökyüzü', 'root': 'gökyüzü', 'type': 'Noun'}, {'input': 'gökyüzü', 'root': 'gökyüzü', 'type': 'Noun'}, {'input': 'gökyüzü', 'root': 'Gökyüzü', 'type': 'Noun'}, {'input': 'büyüten', 'root': 'büyütmek', 'type': 'Verb'}, {'input': 'büyüten', 'root': 'büyümek', 'type': 'Verb'}]"
kardeşim,"[{'input': 'kardeşim', 'root': 'kardeş', 'type': 'Noun'}, {'input': 'kardeşim', 'root': 'kardeş', 'type': 'Adjective'}, {'input': 'kardeşim', 'root': 'kardeş', 'type': 'Adjective'}, {'input': 'kardeşim', 'root': 'kardeş', 'type': 'Noun'}]"
gece feneri,"[{'input': 'gece', 'root': 'gece', 'type': 'Adverb'}, {'input': 'gece', 'root': 'Ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'gece', 'type': 'Noun'}, {'input': 'feneri', 'root': 'fener', 'type': 'Noun'}, {'input': 'feneri', 'root': 'fener', 'type': 'Noun'}]"
hoşçakal kal çaldığım,"[{'input': 'hoşçakal', 'root': 'hoşçakal', 'type': 'Interjection'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}, {'input': 'çaldığım', 'root': 'çalmak', 'type': 'Verb'}, {'input': 'çaldığım', 'root': 'çalmak', 'type': 'Verb'}]"
ıslık,"[{'input': 'ıslık', 'root': 'ıslık', 'type': 'Noun'}]"
söylediğim türkü,"[{'input': 'söylediğim', 'root': 'söylemek', 'type': 'Verb'}, {'input': 'söylediğim', 'root': 'söylemek', 'type': 'Verb'}, {'input': 'türkü', 'root': 'Türk', 'type': 'Noun'}, {'input': 'türkü', 'root': 'Türk', 'type': 'Noun'}, {'input': 'türkü', 'root': 'türkü', 'type': 'Noun'}]"
doludizgin karlarda.,"[{'input': 'doludizgin', 'root': 'doludizgin', 'type': 'Adverb'}, {'input': 'karlarda', 'root': 'kar', 'type': 'Noun'}, {'input': 'karlarda', 'root': 'kâr', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
hoşça kal,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}]"
annemin,"[{'input': 'annemin', 'root': 'Anne', 'type': 'Noun'}, {'input': 'annemin', 'root': 'anne', 'type': 'Noun'}]"
yüzü,"[{'input': 'yüzü', 'root': 'yüz', 'type': 'Noun'}, {'input': 'yüzü', 'root': 'yüz', 'type': 'Noun'}, {'input': 'yüzü', 'root': 'yüz', 'type': 'Numeral'}, {'input': 'yüzü', 'root': 'yüz', 'type': 'Numeral'}]"
hep beyaz yaşmaklı,"[{'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'beyaz', 'root': 'beyaz', 'type': 'Adjective'}, {'input': 'beyaz', 'root': 'beyaz', 'type': 'Noun'}, {'input': 'yaşmaklı', 'root': 'yaşmak', 'type': 'Noun'}]"
sırı dökülmüş yalnız,"[{'input': 'sırı', 'root': 'sırımak', 'type': 'Verb'}, {'input': 'sırı', 'root': 'sır', 'type': 'Noun'}, {'input': 'sırı', 'root': 'sır', 'type': 'Noun'}, {'input': 'dökülmüş', 'root': 'dökmek', 'type': 'Verb'}, {'input': 'dökülmüş', 'root': 'dökmek', 'type': 'Verb'}, {'input': 'yalnız', 'root': 'yalnız', 'type': 'Adjective'}, {'input': 'yalnız', 'root': 'yalnız', 'type': 'Adverb'}, {'input': 'yalnız', 'root': 'yalnız', 'type': 'Conjunction'}, {'input': 'yalnız', 'root': 'yalnız', 'type': 'Noun'}]"
aynada.,"[{'input': 'aynada', 'root': 'ayna', 'type': 'Noun'}, {'input': 'aynada', 'root': 'ayna', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
hoşça kal,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}]"
dolunayın,"[{'input': 'dolunayın', 'root': 'dolunay', 'type': 'Noun'}, {'input': 'dolunayın', 'root': 'dolunay', 'type': 'Noun'}]"
altında,"[{'input': 'altında', 'root': 'alt', 'type': 'Noun'}, {'input': 'altında', 'root': 'alt', 'type': 'Noun'}, {'input': 'altında', 'root': 'altın', 'type': 'Noun'}, {'input': 'altında', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altında', 'root': 'alt', 'type': 'Adjective'}, {'input': 'altında', 'root': 'altı', 'type': 'Numeral'}, {'input': 'altında', 'root': 'altın', 'type': 'Adjective'}]"
