original_line,processed
Hemen nefret et benden nefret etmek istersen,"[{'input': 'Hemen', 'root': 'hemen', 'type': 'Adjective'}, {'input': 'Hemen', 'root': 'hemen', 'type': 'Adverb'}, {'input': 'nefret', 'root': 'nefret', 'type': 'Noun'}, {'input': 'et', 'root': 'etmek', 'type': 'Verb'}, {'input': 'et', 'root': 'et', 'type': 'Noun'}, {'input': 'benden', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benden', 'root': 'ben', 'type': 'Noun'}, {'input': 'benden', 'root': 'Bende', 'type': 'Noun'}, {'input': 'nefret', 'root': 'nefret', 'type': 'Noun'}, {'input': 'etmek', 'root': 'etmek', 'type': 'Verb'}, {'input': 'istersen', 'root': 'istemek', 'type': 'Verb'}, {'input': 'istersen', 'root': 'ister', 'type': 'Noun'}]"
Tam şimdi dikilirken dünya benim karşıma;,"[{'input': 'Tam', 'root': 'tam', 'type': 'Adjective'}, {'input': 'Tam', 'root': 'tam', 'type': 'Adverb'}, {'input': 'Tam', 'root': 'tam', 'type': 'Noun'}, {'input': 'şimdi', 'root': 'şimdi', 'type': 'Adverb'}, {'input': 'şimdi', 'root': 'şimdi', 'type': 'Noun'}, {'input': 'dikilirken', 'root': 'dikilmek', 'type': 'Verb'}, {'input': 'dikilirken', 'root': 'dikmek', 'type': 'Verb'}, {'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'benim', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'benim', 'root': 'ben', 'type': 'Noun'}, {'input': 'karşıma', 'root': 'karşı', 'type': 'Noun'}, {'input': 'karşıma', 'root': 'karşı', 'type': 'Adjective'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
Beni ezmek isteyen talihe destek ol sen.,"[{'input': 'Beni', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'Beni', 'root': 'ben', 'type': 'Noun'}, {'input': 'Beni', 'root': 'ben', 'type': 'Noun'}, {'input': 'ezmek', 'root': 'ezmek', 'type': 'Verb'}, {'input': 'isteyen', 'root': 'istemek', 'type': 'Verb'}, {'input': 'talihe', 'root': 'talih', 'type': 'Noun'}, {'input': 'talihe', 'root': 'Talih', 'type': 'Noun'}, {'input': 'destek', 'root': 'destek', 'type': 'Noun'}, {'input': 'ol', 'root': 'olmak', 'type': 'Verb'}, {'input': 'sen', 'root': 'se', 'type': 'Noun'}, {'input': 'sen', 'root': 'sen', 'type': 'Pronoun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
yere yıkıldıktan sonra artık hiç vurma.,"[{'input': 'yere', 'root': 'yermek', 'type': 'Verb'}, {'input': 'yere', 'root': 'yer', 'type': 'Noun'}, {'input': 'yıkıldıktan', 'root': 'yıkmak', 'type': 'Verb'}, {'input': 'sonra', 'root': 'sonra', 'type': 'Adverb'}, {'input': 'sonra', 'root': 'sonra', 'type': 'PostPositive'}, {'input': 'sonra', 'root': 'sonra', 'type': 'Noun'}, {'input': 'artık', 'root': 'artık', 'type': 'Adjective'}, {'input': 'artık', 'root': 'artık', 'type': 'Adverb'}, {'input': 'artık', 'root': 'artık', 'type': 'Noun'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Adverb'}, {'input': 'hiç', 'root': 'hiç', 'type': 'Noun'}, {'input': 'vurma', 'root': 'vurmak', 'type': 'Verb'}, {'input': 'vurma', 'root': 'vurmak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Ah yapma son bulunca üzüntüsü gönlümün;,"[{'input': 'Ah', 'root': 'ah', 'type': 'Interjection'}, {'input': 'Ah', 'root': 'ah', 'type': 'Noun'}, {'input': 'yapma', 'root': 'yapmak', 'type': 'Verb'}, {'input': 'yapma', 'root': 'yapmak', 'type': 'Verb'}, {'input': 'son', 'root': 'son', 'type': 'Numeral'}, {'input': 'son', 'root': 'son', 'type': 'Adjective'}, {'input': 'son', 'root': 'son', 'type': 'Noun'}, {'input': 'bulunca', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'bulunca', 'root': 'bul', 'type': 'Noun'}, {'input': 'bulunca', 'root': 'bul', 'type': 'Noun'}, {'input': 'bulunca', 'root': 'bulunç', 'type': 'Noun'}, {'input': 'üzüntüsü', 'root': 'üzüntü', 'type': 'Noun'}, {'input': 'gönlümün', 'root': 'gönül', 'type': 'Noun'}, {'input': 'gönlümün', 'root': 'gön', 'type': 'Noun'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
Üstesinden gelmiştim bıçak vurma yarama,"[{'input': 'Üstesinden', 'root': 'üste', 'type': 'Noun'}, {'input': 'gelmiştim', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelmiştim', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'bıçak', 'root': 'bıçak', 'type': 'Noun'}, {'input': 'vurma', 'root': 'vurmak', 'type': 'Verb'}, {'input': 'vurma', 'root': 'vurmak', 'type': 'Verb'}, {'input': 'yarama', 'root': 'yarmak', 'type': 'Verb'}, {'input': 'yarama', 'root': 'yara', 'type': 'Noun'}, {'input': 'yarama', 'root': 'yaramak', 'type': 'Verb'}, {'input': 'yarama', 'root': 'yaramak', 'type': 'Verb'}]"
Fırtınalı geceyi izleyen yağmurlu gün,"[{'input': 'Fırtınalı', 'root': 'fırtına', 'type': 'Noun'}, {'input': 'geceyi', 'root': 'gece', 'type': 'Noun'}, {'input': 'izleyen', 'root': 'izlemek', 'type': 'Verb'}, {'input': 'yağmurlu', 'root': 'yağmur', 'type': 'Noun'}, {'input': 'gün', 'root': 'gün', 'type': 'Noun'}]"
üstüme çökme zaferi oyalama.,"[{'input': 'üstüme', 'root': 'üst', 'type': 'Noun'}, {'input': 'üstüme', 'root': 'üst', 'type': 'Adjective'}, {'input': 'çökme', 'root': 'çökmek', 'type': 'Verb'}, {'input': 'çökme', 'root': 'çökmek', 'type': 'Verb'}, {'input': 'zaferi', 'root': 'zafer', 'type': 'Noun'}, {'input': 'zaferi', 'root': 'zafer', 'type': 'Noun'}, {'input': 'oyalama', 'root': 'oyalamak', 'type': 'Verb'}, {'input': 'oyalama', 'root': 'oyalamak', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Son bırakan olma beni bırakacaksan,"[{'input': 'Son', 'root': 'son', 'type': 'Numeral'}, {'input': 'Son', 'root': 'son', 'type': 'Adjective'}, {'input': 'Son', 'root': 'son', 'type': 'Noun'}, {'input': 'bırakan', 'root': 'bırakmak', 'type': 'Verb'}, {'input': 'olma', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olma', 'root': 'olmak', 'type': 'Verb'}, {'input': 'beni', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'beni', 'root': 'ben', 'type': 'Noun'}, {'input': 'beni', 'root': 'ben', 'type': 'Noun'}, {'input': 'bırakacaksan', 'root': 'bırakmak', 'type': 'Verb'}]"
Kıymadan bana nice bücür üzüntü.,"[{'input': 'Kıymadan', 'root': 'kıymak', 'type': 'Verb'}, {'input': 'Kıymadan', 'root': 'kıyma', 'type': 'Noun'}, {'input': 'Kıymadan', 'root': 'kıymak', 'type': 'Verb'}, {'input': 'bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'nice', 'root': 'nice', 'type': 'Adjective'}, {'input': 'nice', 'root': 'nice', 'type': 'Adverb'}, {'input': 'nice', 'root': 'Ni', 'type': 'Noun'}, {'input': 'bücür', 'root': 'bücür', 'type': 'Adjective'}, {'input': 'üzüntü', 'root': 'üzüntü', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
