original_line,processed
"Ağacım, dört kol çengi kıyamet","[{'input': 'Ağacım', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'Ağacım', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'Ağacım', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'Ağacım', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'Ağacım', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'Ağacım', 'root': 'ağa', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'dört', 'root': 'dört', 'type': 'Numeral'}, {'input': 'kol', 'root': 'kol', 'type': 'Noun'}, {'input': 'çengi', 'root': 'çenk', 'type': 'Noun'}, {'input': 'çengi', 'root': 'çenk', 'type': 'Noun'}, {'input': 'çengi', 'root': 'çengi', 'type': 'Noun'}, {'input': 'kıyamet', 'root': 'kıyamet', 'type': 'Noun'}]"
dalımda memleket,"[{'input': 'dalımda', 'root': 'dal', 'type': 'Noun'}, {'input': 'dalımda', 'root': 'dal', 'type': 'Adjective'}, {'input': 'memleket', 'root': 'memleket', 'type': 'Noun'}]"
Uzar kollarım uzar ....................,"[{'input': 'Uzar', 'root': 'uzamak', 'type': 'Verb'}, {'input': 'Uzar', 'root': 'uzamak', 'type': 'Verb'}, {'input': 'kollarım', 'root': 'kollamak', 'type': 'Verb'}, {'input': 'kollarım', 'root': 'kol', 'type': 'Noun'}, {'input': 'kollarım', 'root': 'kol', 'type': 'Noun'}, {'input': 'uzar', 'root': 'uzamak', 'type': 'Verb'}, {'input': 'uzar', 'root': 'uzamak', 'type': 'Verb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
avcı geyik orman,"[{'input': 'avcı', 'root': 'avcı', 'type': 'Adjective'}, {'input': 'avcı', 'root': 'avcı', 'type': 'Noun'}, {'input': 'avcı', 'root': 'av', 'type': 'Noun'}, {'input': 'geyik', 'root': 'geyik', 'type': 'Noun'}, {'input': 'orman', 'root': 'orman', 'type': 'Noun'}]"
Yaklaşınca bütün kuşlarını birden uçuran,"[{'input': 'Yaklaşınca', 'root': 'yaklaşmak', 'type': 'Verb'}, {'input': 'Yaklaşınca', 'root': 'yak', 'type': 'Noun'}, {'input': 'bütün', 'root': 'bütün', 'type': 'Adjective'}, {'input': 'bütün', 'root': 'bütün', 'type': 'Noun'}, {'input': 'kuşlarını', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarını', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarını', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarını', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarını', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'kuşlarını', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'kuşlarını', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'birden', 'root': 'birden', 'type': 'Adverb'}, {'input': 'birden', 'root': 'bir', 'type': 'Adjective'}, {'input': 'birden', 'root': 'bir', 'type': 'Numeral'}, {'input': 'uçuran', 'root': 'uçurmak', 'type': 'Verb'}]"
tılsımlı söz ağacı,"[{'input': 'tılsımlı', 'root': 'tılsım', 'type': 'Noun'}, {'input': 'söz', 'root': 'söz', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağacı', 'root': 'ağa', 'type': 'Noun'}]"
Tırmanıp en yüksek dalından kopardım,"[{'input': 'Tırmanıp', 'root': 'tırmanmak', 'type': 'Verb'}, {'input': 'en', 'root': 'en', 'type': 'Adverb'}, {'input': 'en', 'root': 'en', 'type': 'Noun'}, {'input': 'yüksek', 'root': 'yüksek', 'type': 'Adjective'}, {'input': 'yüksek', 'root': 'Yüksek', 'type': 'Noun'}, {'input': 'yüksek', 'root': 'yüksek', 'type': 'Noun'}, {'input': 'yüksek', 'root': 'yük', 'type': 'Noun'}, {'input': 'dalından', 'root': 'dal', 'type': 'Noun'}, {'input': 'dalından', 'root': 'dal', 'type': 'Noun'}, {'input': 'dalından', 'root': 'dal', 'type': 'Adjective'}, {'input': 'dalından', 'root': 'dal', 'type': 'Adjective'}, {'input': 'kopardım', 'root': 'koparmak', 'type': 'Verb'}, {'input': 'kopardım', 'root': 'kopmak', 'type': 'Verb'}]"
mahcup tiz sesli kavalı,"[{'input': 'mahcup', 'root': 'mahcup', 'type': 'Adjective'}, {'input': 'mahcup', 'root': 'mahcup', 'type': 'Adverb'}, {'input': 'tiz', 'root': 'tiz', 'type': 'Adjective'}, {'input': 'sesli', 'root': 'sesli', 'type': 'Adverb'}, {'input': 'sesli', 'root': 'ses', 'type': 'Noun'}, {'input': 'kavalı', 'root': 'kaval', 'type': 'Noun'}, {'input': 'kavalı', 'root': 'kaval', 'type': 'Noun'}]"
Alevli rüzgarlı dalından,"[{'input': 'Alevli', 'root': 'Alev', 'type': 'Noun'}, {'input': 'Alevli', 'root': 'alev', 'type': 'Noun'}, {'input': 'rüzgarlı', 'root': 'rüzgâr', 'type': 'Noun'}, {'input': 'rüzgarlı', 'root': 'Rüzgâr', 'type': 'Noun'}, {'input': 'dalından', 'root': 'dal', 'type': 'Noun'}, {'input': 'dalından', 'root': 'dal', 'type': 'Noun'}, {'input': 'dalından', 'root': 'dal', 'type': 'Adjective'}, {'input': 'dalından', 'root': 'dal', 'type': 'Adjective'}]"
üflüyorum odamda şimdi,"[{'input': 'üflüyorum', 'root': 'üflemek', 'type': 'Verb'}, {'input': 'odamda', 'root': 'oda', 'type': 'Noun'}, {'input': 'şimdi', 'root': 'şimdi', 'type': 'Adverb'}, {'input': 'şimdi', 'root': 'şimdi', 'type': 'Noun'}]"
