original_line,processed
Rengini dünyaya ilk defa sunan,"[{'input': 'Rengini', 'root': 'renk', 'type': 'Noun'}, {'input': 'Rengini', 'root': 'renk', 'type': 'Noun'}, {'input': 'Rengini', 'root': 'Rengin', 'type': 'Noun'}, {'input': 'Rengini', 'root': 'Rengin', 'type': 'Noun'}, {'input': 'dünyaya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyaya', 'root': 'dünya', 'type': 'Noun'}, {'input': 'ilk', 'root': 'ilk', 'type': 'Adjective'}, {'input': 'ilk', 'root': 'ilk', 'type': 'Adverb'}, {'input': 'ilk', 'root': 'ilk', 'type': 'Noun'}, {'input': 'defa', 'root': 'defa', 'type': 'Noun'}, {'input': 'sunan', 'root': 'sunmak', 'type': 'Verb'}, {'input': 'sunan', 'root': 'suna', 'type': 'Noun'}, {'input': 'sunan', 'root': 'Suna', 'type': 'Noun'}]"
Adsız çiçek parlıyorsa gözlerim,"[{'input': 'Adsız', 'root': 'ad', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçek', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'parlıyorsa', 'root': 'parlamak', 'type': 'Verb'}, {'input': 'gözlerim', 'root': 'gözlemek', 'type': 'Verb'}, {'input': 'gözlerim', 'root': 'göz', 'type': 'Noun'}, {'input': 'gözlerim', 'root': 'göz', 'type': 'Noun'}]"
Sevgilim,"[{'input': 'Sevgilim', 'root': 'sevgili', 'type': 'Noun'}, {'input': 'Sevgilim', 'root': 'Sevgilim', 'type': 'Noun'}, {'input': 'Sevgilim', 'root': 'sevgili', 'type': 'Adjective'}, {'input': 'Sevgilim', 'root': 'sevgi', 'type': 'Noun'}]"
Bana 'sen şairsin' dediğin zaman.....................,"[{'input': 'Bana', 'root': 'banmak', 'type': 'Verb'}, {'input': 'Bana', 'root': 'Ba', 'type': 'Noun'}, {'input': 'Bana', 'root': 'ban', 'type': 'Noun'}, {'input': 'Bana', 'root': 'ben', 'type': 'Pronoun'}, {'input': 'sen', 'root': 'se', 'type': 'Noun'}, {'input': 'sen', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'şairsin', 'root': 'şair', 'type': 'Adjective'}, {'input': 'şairsin', 'root': 'şair', 'type': 'Noun'}, {'input': 'dediğin', 'root': 'demek', 'type': 'Verb'}, {'input': 'dediğin', 'root': 'demek', 'type': 'Verb'}, {'input': 'dediğin', 'root': 'demek', 'type': 'Verb'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
"Aşk, ölümün dudaklarından öptüğü zaman","[{'input': 'Aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Adjective'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}]"
yüreğimdeki zehirli çiçeği,"[{'input': 'yüreğimdeki', 'root': 'yürek', 'type': 'Noun'}, {'input': 'zehirli', 'root': 'zehir', 'type': 'Noun'}, {'input': 'zehirli', 'root': 'zehir', 'type': 'Noun'}, {'input': 'çiçeği', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçeği', 'root': 'çiçek', 'type': 'Noun'}]"
usulca bıraktım dünyanın dışına...,"[{'input': 'usulca', 'root': 'usulca', 'type': 'Adverb'}, {'input': 'bıraktım', 'root': 'bırakmak', 'type': 'Verb'}, {'input': 'bıraktım', 'root': 'Bırak', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'dünya', 'type': 'Noun'}, {'input': 'dünyanın', 'root': 'dünya', 'type': 'Noun'}, {'input': 'dışına', 'root': 'dış', 'type': 'Noun'}, {'input': 'dışına', 'root': 'dış', 'type': 'Noun'}, {'input': 'dışına', 'root': 'dış', 'type': 'Adjective'}, {'input': 'dışına', 'root': 'dış', 'type': 'Adjective'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
"Aşk, ölümün dudaklarından öptüğü zaman","[{'input': 'Aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Adjective'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}]"
son kez ayaklanır düşevlerimde bastırılmış yangınlarım,"[{'input': 'son', 'root': 'son', 'type': 'Numeral'}, {'input': 'son', 'root': 'son', 'type': 'Adjective'}, {'input': 'son', 'root': 'son', 'type': 'Noun'}, {'input': 'kez', 'root': 'kez', 'type': 'Noun'}, {'input': 'ayaklanır', 'root': 'ayaklanmak', 'type': 'Verb'}, {'input': 'ayaklanır', 'root': 'ayaklanmak', 'type': 'Verb'}, {'input': 'ayaklanır', 'root': 'ayaklamak', 'type': 'Verb'}, {'input': 'ayaklanır', 'root': 'ayaklamak', 'type': 'Verb'}, {'input': 'ayaklanır', 'root': 'ayak', 'type': 'Noun'}, {'input': 'ayaklanır', 'root': 'ayak', 'type': 'Noun'}, {'input': 'bastırılmış', 'root': 'bastırmak', 'type': 'Verb'}, {'input': 'bastırılmış', 'root': 'bastırmak', 'type': 'Verb'}, {'input': 'bastırılmış', 'root': 'basmak', 'type': 'Verb'}, {'input': 'bastırılmış', 'root': 'basmak', 'type': 'Verb'}, {'input': 'yangınlarım', 'root': 'yangın', 'type': 'Noun'}, {'input': 'yangınlarım', 'root': 'yangın', 'type': 'Adjective'}, {'input': 'yangınlarım', 'root': 'yangın', 'type': 'Noun'}, {'input': 'yangınlarım', 'root': 'yangın', 'type': 'Adjective'}]"
mahcup sinsi konuk yaşlandığım düşevlerim...,"[{'input': 'mahcup', 'root': 'mahcup', 'type': 'Adjective'}, {'input': 'mahcup', 'root': 'mahcup', 'type': 'Adverb'}, {'input': 'sinsi', 'root': 'sinsi', 'type': 'Adjective'}, {'input': 'sinsi', 'root': 'sin', 'type': 'Noun'}, {'input': 'sinsi', 'root': 'sin', 'type': 'Noun'}, {'input': 'konuk', 'root': 'Konuk', 'type': 'Noun'}, {'input': 'konuk', 'root': 'konuk', 'type': 'Noun'}, {'input': 'yaşlandığım', 'root': 'yaşlanmak', 'type': 'Verb'}, {'input': 'yaşlandığım', 'root': 'yaş', 'type': 'Adjective'}, {'input': 'yaşlandığım', 'root': 'yaşlanmak', 'type': 'Verb'}, {'input': 'yaşlandığım', 'root': 'yaş', 'type': 'Adjective'}, {'input': 'yaşlandığım', 'root': 'yaş', 'type': 'Noun'}, {'input': 'yaşlandığım', 'root': 'yaş', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
