original_line,processed
SEVGİ İLE SEVGİYE KARŞI-ETİKA-129,"[{'input': 'SEVGİ', 'root': 'sevgi', 'type': 'Noun'}, {'input': 'İLE', 'root': 'ile', 'type': 'Conjunction'}, {'input': 'İLE', 'root': 'ile', 'type': 'PostPositive'}, {'input': 'İLE', 'root': 'ilmek', 'type': 'Verb'}, {'input': 'İLE', 'root': 'il', 'type': 'Noun'}, {'input': 'SEVGİYE', 'root': 'sevgi', 'type': 'Noun'}, {'input': '-129', 'root': '-129', 'type': 'Numeral'}]"
Aşkın sana doga gereğince verildiğini sanma.... hayvan değilsin.,"[{'input': 'Aşkın', 'root': 'aşkın', 'type': 'PostPositive'}, {'input': 'Aşkın', 'root': 'aşkın', 'type': 'Adjective'}, {'input': 'Aşkın', 'root': 'aşk', 'type': 'Noun'}, {'input': 'Aşkın', 'root': 'aşk', 'type': 'Noun'}, {'input': 'Aşkın', 'root': 'Aşkın', 'type': 'Noun'}, {'input': 'sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sana', 'root': 'san', 'type': 'Noun'}, {'input': 'sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'gereğince', 'root': 'gereğince', 'type': 'Adverb'}, {'input': 'gereğince', 'root': 'gerek', 'type': 'Noun'}, {'input': 'gereğince', 'root': 'gerek', 'type': 'Noun'}, {'input': 'verildiğini', 'root': 'vermek', 'type': 'Verb'}, {'input': 'verildiğini', 'root': 'vermek', 'type': 'Verb'}, {'input': 'sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}, {'input': 'hayvan', 'root': 'hayvan', 'type': 'Adjective'}, {'input': 'hayvan', 'root': 'hayvan', 'type': 'Noun'}, {'input': 'değilsin', 'root': 'değil', 'type': 'Verb'}, {'input': 'değilsin', 'root': 'değmek', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Doganın sana aşk gereğince verildiğini sanma... hayvan değilsin.,"[{'input': 'Doganın', 'root': 'Dogan', 'type': 'Noun'}, {'input': 'Doganın', 'root': 'Dogan', 'type': 'Noun'}, {'input': 'sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sana', 'root': 'san', 'type': 'Noun'}, {'input': 'sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': 'gereğince', 'root': 'gereğince', 'type': 'Adverb'}, {'input': 'gereğince', 'root': 'gerek', 'type': 'Noun'}, {'input': 'gereğince', 'root': 'gerek', 'type': 'Noun'}, {'input': 'verildiğini', 'root': 'vermek', 'type': 'Verb'}, {'input': 'verildiğini', 'root': 'vermek', 'type': 'Verb'}, {'input': 'sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}, {'input': 'hayvan', 'root': 'hayvan', 'type': 'Adjective'}, {'input': 'hayvan', 'root': 'hayvan', 'type': 'Noun'}, {'input': 'değilsin', 'root': 'değil', 'type': 'Verb'}, {'input': 'değilsin', 'root': 'değmek', 'type': 'Verb'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"Doga ölümde, insan aşkda uludur.","[{'input': 'ölümde', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölümde', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümde', 'root': 'ölü', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'insan', 'root': 'insan', 'type': 'Adjective'}, {'input': 'insan', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Noun'}, {'input': 'uludur', 'root': 'ulu', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"tapınaktır doğa, sütunları canlı","[{'input': 'tapınaktır', 'root': 'tapınak', 'type': 'Noun'}, {'input': 'doğa', 'root': 'doğmak', 'type': 'Verb'}, {'input': 'doğa', 'root': 'Dog', 'type': 'Noun'}, {'input': 'doğa', 'root': 'doğa', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'sütunları', 'root': 'sütun', 'type': 'Noun'}, {'input': 'sütunları', 'root': 'sütun', 'type': 'Noun'}, {'input': 'sütunları', 'root': 'sütun', 'type': 'Noun'}, {'input': 'sütunları', 'root': 'sütun', 'type': 'Noun'}, {'input': 'canlı', 'root': 'canlı', 'type': 'Adjective'}, {'input': 'canlı', 'root': 'canlı', 'type': 'Adverb'}, {'input': 'canlı', 'root': 'canlı', 'type': 'Noun'}, {'input': 'canlı', 'root': 'Can', 'type': 'Noun'}, {'input': 'canlı', 'root': 'can', 'type': 'Noun'}, {'input': 'canlı', 'root': 'can', 'type': 'Adjective'}]"
Anlaşılmaz sözler duyulur zaman zaman,"[{'input': 'Anlaşılmaz', 'root': 'anlaşılmaz', 'type': 'Adjective'}, {'input': 'Anlaşılmaz', 'root': 'anlaşmak', 'type': 'Verb'}, {'input': 'Anlaşılmaz', 'root': 'anlaşmak', 'type': 'Verb'}, {'input': 'Anlaşılmaz', 'root': 'an', 'type': 'Noun'}, {'input': 'Anlaşılmaz', 'root': 'an', 'type': 'Noun'}, {'input': 'sözler', 'root': 'söz', 'type': 'Noun'}, {'input': 'sözler', 'root': 'söz', 'type': 'Noun'}, {'input': 'duyulur', 'root': 'duymak', 'type': 'Verb'}, {'input': 'duyulur', 'root': 'duymak', 'type': 'Verb'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}]"
Sembol ormanları içinden geçer insan,"[{'input': 'Sembol', 'root': 'sembol', 'type': 'Noun'}, {'input': 'ormanları', 'root': 'orman', 'type': 'Noun'}, {'input': 'ormanları', 'root': 'orman', 'type': 'Noun'}, {'input': 'ormanları', 'root': 'orman', 'type': 'Noun'}, {'input': 'ormanları', 'root': 'orman', 'type': 'Noun'}, {'input': 'içinden', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinden', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinden', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içinden', 'root': 'iç', 'type': 'Adjective'}, {'input': 'geçer', 'root': 'geçer', 'type': 'Adjective'}, {'input': 'geçer', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'geçer', 'root': 'geçmek', 'type': 'Verb'}, {'input': 'geçer', 'root': 'geçer', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Adjective'}, {'input': 'insan', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'insan', 'root': 'insan', 'type': 'Noun'}]"
Tanıdık bakışlar süzer gibidir sizi,"[{'input': 'Tanıdık', 'root': 'tanıdık', 'type': 'Adjective'}, {'input': 'Tanıdık', 'root': 'tanımak', 'type': 'Verb'}, {'input': 'Tanıdık', 'root': 'tanımak', 'type': 'Verb'}, {'input': 'Tanıdık', 'root': 'tanımak', 'type': 'Verb'}, {'input': 'bakışlar', 'root': 'bakış', 'type': 'Noun'}, {'input': 'bakışlar', 'root': 'bakmak', 'type': 'Verb'}, {'input': 'bakışlar', 'root': 'bakış', 'type': 'Noun'}, {'input': 'süzer', 'root': 'süzmek', 'type': 'Verb'}, {'input': 'süzer', 'root': 'süzmek', 'type': 'Verb'}, {'input': 'süzer', 'root': 'Süzer', 'type': 'Noun'}, {'input': 'gibidir', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibidir', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'sizi', 'root': 'siz', 'type': 'Pronoun'}]"
"derin, karanlık birlik içinde","[{'input': 'derin', 'root': 'derin', 'type': 'Adjective'}, {'input': 'derin', 'root': 'dermek', 'type': 'Verb'}, {'input': 'derin', 'root': 'deri', 'type': 'Noun'}, {'input': 'derin', 'root': 'derin', 'type': 'Noun'}, {'input': 'derin', 'root': 'deri', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'karanlık', 'root': 'karanlık', 'type': 'Adjective'}, {'input': 'karanlık', 'root': 'karanlık', 'type': 'Noun'}, {'input': 'karanlık', 'root': 'Karanlık', 'type': 'Noun'}, {'input': 'karanlık', 'root': 'karmak', 'type': 'Verb'}, {'input': 'birlik', 'root': 'birlik', 'type': 'Adjective'}, {'input': 'birlik', 'root': 'Birlik', 'type': 'Noun'}, {'input': 'birlik', 'root': 'birlik', 'type': 'Noun'}, {'input': 'birlik', 'root': 'bir', 'type': 'Adjective'}, {'input': 'birlik', 'root': 'bir', 'type': 'Numeral'}, {'input': 'birlik', 'root': 'bir', 'type': 'Numeral'}, {'input': 'içinde', 'root': 'içinde', 'type': 'Adverb'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}]"
"Aydınlık sonsuz, gece geniş","[{'input': 'Aydınlık', 'root': 'aydın', 'type': 'Adjective'}, {'input': 'Aydınlık', 'root': 'Aydın', 'type': 'Noun'}, {'input': 'sonsuz', 'root': 'sonsuz', 'type': 'Adjective'}, {'input': 'sonsuz', 'root': 'sonsuz', 'type': 'Noun'}, {'input': 'sonsuz', 'root': 'son', 'type': 'Noun'}, {'input': 'sonsuz', 'root': 'son', 'type': 'Numeral'}, {'input': 'sonsuz', 'root': 'son', 'type': 'Adjective'}, {'input': 'sonsuz', 'root': 'Sons', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'gece', 'root': 'gece', 'type': 'Adverb'}, {'input': 'gece', 'root': 'Ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'ge', 'type': 'Noun'}, {'input': 'gece', 'root': 'gece', 'type': 'Noun'}, {'input': 'geniş', 'root': 'geniş', 'type': 'Adjective'}]"
