original_line,processed
Akıl almaz kulak duymaz göz görmez,"[{'input': 'Akıl', 'root': 'akıl', 'type': 'Noun'}, {'input': 'Akıl', 'root': 'akmak', 'type': 'Verb'}, {'input': 'almaz', 'root': 'almak', 'type': 'Verb'}, {'input': 'almaz', 'root': 'almak', 'type': 'Verb'}, {'input': 'kulak', 'root': 'kulak', 'type': 'Noun'}, {'input': 'duymaz', 'root': 'duymak', 'type': 'Verb'}, {'input': 'duymaz', 'root': 'duymak', 'type': 'Verb'}, {'input': 'göz', 'root': 'göz', 'type': 'Noun'}, {'input': 'görmez', 'root': 'görmez', 'type': 'Adjective'}, {'input': 'görmez', 'root': 'görmek', 'type': 'Verb'}, {'input': 'görmez', 'root': 'görmek', 'type': 'Verb'}]"
Şükret kula Hakk'tan ihsan var iken,"[{'input': 'Şükret', 'root': 'şükretmek', 'type': 'Verb'}, {'input': 'kula', 'root': 'kula', 'type': 'Adjective'}, {'input': 'kula', 'root': 'kul', 'type': 'Noun'}, {'input': 'kula', 'root': 'kula', 'type': 'Noun'}, {'input': 'kula', 'root': 'Kula', 'type': 'Noun'}, {'input': 'Hakk'tan', 'root': 'Hakk', 'type': 'Noun'}, {'input': 'ihsan', 'root': 'ihsan', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': 'iken', 'root': 'iken', 'type': 'Adverb'}, {'input': 'iken', 'root': 'iken', 'type': 'Noun'}]"
Göz görmüş olduğun sanma öz görmez,"[{'input': 'Göz', 'root': 'göz', 'type': 'Noun'}, {'input': 'görmüş', 'root': 'görmek', 'type': 'Verb'}, {'input': 'görmüş', 'root': 'görmek', 'type': 'Verb'}, {'input': 'olduğun', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olduğun', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olduğun', 'root': 'olmak', 'type': 'Verb'}, {'input': 'sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sanma', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'öz', 'root': 'öz', 'type': 'Adjective'}, {'input': 'öz', 'root': 'öz', 'type': 'Noun'}, {'input': 'görmez', 'root': 'görmez', 'type': 'Adjective'}, {'input': 'görmez', 'root': 'görmek', 'type': 'Verb'}, {'input': 'görmez', 'root': 'görmek', 'type': 'Verb'}]"
küfre yar olma iman var iken,"[{'input': 'küfre', 'root': 'küfür', 'type': 'Noun'}, {'input': 'yar', 'root': 'yarmak', 'type': 'Verb'}, {'input': 'yar', 'root': 'yar', 'type': 'Noun'}, {'input': 'yar', 'root': 'yâr', 'type': 'Noun'}, {'input': 'olma', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olma', 'root': 'olmak', 'type': 'Verb'}, {'input': 'iman', 'root': 'ima', 'type': 'Noun'}, {'input': 'iman', 'root': 'iman', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': 'iken', 'root': 'iken', 'type': 'Adverb'}, {'input': 'iken', 'root': 'iken', 'type': 'Noun'}]"
Hırs varise cihan kavgasız olmaz,"[{'input': 'Hırs', 'root': 'hırs', 'type': 'Noun'}, {'input': 'varise', 'root': 'varis', 'type': 'Noun'}, {'input': 'varise', 'root': 'vâris', 'type': 'Noun'}, {'input': 'varise', 'root': 'Varis', 'type': 'Noun'}, {'input': 'cihan', 'root': 'cihan', 'type': 'Noun'}, {'input': 'kavgasız', 'root': 'kavga', 'type': 'Noun'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Adjective'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Noun'}]"
Harp olmasa toprak boşalıp dolmaz,"[{'input': 'Harp', 'root': 'harp', 'type': 'Noun'}, {'input': 'olmasa', 'root': 'olmak', 'type': 'Verb'}, {'input': 'toprak', 'root': 'toprak', 'type': 'Adjective'}, {'input': 'toprak', 'root': 'toprak', 'type': 'Noun'}, {'input': 'toprak', 'root': 'Toprak', 'type': 'Noun'}, {'input': 'boşalıp', 'root': 'boşalmak', 'type': 'Verb'}, {'input': 'dolmaz', 'root': 'dolmak', 'type': 'Verb'}, {'input': 'dolmaz', 'root': 'dolmak', 'type': 'Verb'}]"
Milletler muhtelif müttehid olmaz,"[{'input': 'Milletler', 'root': 'millet', 'type': 'Noun'}, {'input': 'Milletler', 'root': 'millet', 'type': 'Noun'}, {'input': 'muhtelif', 'root': 'muhtelif', 'type': 'Adjective'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Adjective'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olmaz', 'root': 'olmaz', 'type': 'Noun'}]"
Tevrat Zebur İncil Kur'an var iken,"[{'input': 'Tevrat', 'root': 'Tevrat', 'type': 'Noun'}, {'input': 'Zebur', 'root': 'Zebur', 'type': 'Noun'}, {'input': 'İncil', 'root': 'İncil', 'type': 'Noun'}, {'input': 'Kur'an', 'root': 'kurmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': 'iken', 'root': 'iken', 'type': 'Adverb'}, {'input': 'iken', 'root': 'iken', 'type': 'Noun'}]"
Seyrimiz Seyrani zahirde sair,"[{'input': 'Seyrimiz', 'root': 'seyir', 'type': 'Noun'}, {'input': 'Seyrani', 'root': 'Seyrani', 'type': 'Noun'}, {'input': 'zahirde', 'root': 'zahirde', 'type': 'Adverb'}, {'input': 'zahirde', 'root': 'zahir', 'type': 'Noun'}, {'input': 'zahirde', 'root': 'Zahir', 'type': 'Noun'}, {'input': 'zahirde', 'root': 'zahir', 'type': 'Adjective'}, {'input': 'sair', 'root': 'sair', 'type': 'Adjective'}, {'input': 'sair', 'root': 'Sair', 'type': 'Noun'}]"
Olsa batında Mevla'ya dair,"[{'input': 'Olsa', 'root': 'olmak', 'type': 'Verb'}, {'input': 'batında', 'root': 'bat', 'type': 'Noun'}, {'input': 'batında', 'root': 'bat', 'type': 'Noun'}, {'input': 'batında', 'root': 'batı', 'type': 'Noun'}, {'input': 'batında', 'root': 'Batı', 'type': 'Noun'}, {'input': 'batında', 'root': 'batın', 'type': 'Noun'}, {'input': 'batında', 'root': 'bâtın', 'type': 'Noun'}, {'input': 'batında', 'root': 'batı', 'type': 'Adjective'}, {'input': 'batında', 'root': 'bâtın', 'type': 'Adjective'}, {'input': 'Mevla'ya', 'root': 'Mevlâ', 'type': 'Noun'}, {'input': 'Mevla'ya', 'root': 'Mevla', 'type': 'Noun'}, {'input': 'Mevla'ya', 'root': 'mevlâ', 'type': 'Noun'}, {'input': 'dair', 'root': 'dair', 'type': 'PostPositive'}]"
