original_line,processed
"Tükendi gençliğim karanlıklarda,","[{'input': 'Tükendi', 'root': 'tükenmek', 'type': 'Verb'}, {'input': 'gençliğim', 'root': 'genç', 'type': 'Adjective'}, {'input': 'gençliğim', 'root': 'genç', 'type': 'Noun'}, {'input': 'gençliğim', 'root': 'Genç', 'type': 'Noun'}, {'input': 'gençliğim', 'root': 'genç', 'type': 'Adjective'}, {'input': 'gençliğim', 'root': 'genç', 'type': 'Noun'}, {'input': 'gençliğim', 'root': 'Genç', 'type': 'Noun'}, {'input': 'karanlıklarda', 'root': 'karanlık', 'type': 'Noun'}, {'input': 'karanlıklarda', 'root': 'Karanlık', 'type': 'Noun'}, {'input': 'karanlıklarda', 'root': 'karanlık', 'type': 'Adjective'}, {'input': 'karanlıklarda', 'root': 'karmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Çılgın fırtınalarda yağmurlarda;,"[{'input': 'Çılgın', 'root': 'çılgın', 'type': 'Adjective'}, {'input': 'fırtınalarda', 'root': 'fırtına', 'type': 'Noun'}, {'input': 'yağmurlarda', 'root': 'yağmur', 'type': 'Noun'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
"Güneş bazan açtı, kapandı derhal","[{'input': 'Güneş', 'root': 'Güneş', 'type': 'Noun'}, {'input': 'Güneş', 'root': 'güneş', 'type': 'Noun'}, {'input': 'bazan', 'root': 'bazan', 'type': 'Adverb'}, {'input': 'bazan', 'root': 'baza', 'type': 'Noun'}, {'input': 'bazan', 'root': 'Bazan', 'type': 'Noun'}, {'input': 'açtı', 'root': 'açmak', 'type': 'Verb'}, {'input': 'açtı', 'root': 'aç', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kapandı', 'root': 'kapanmak', 'type': 'Verb'}, {'input': 'kapandı', 'root': 'kapamak', 'type': 'Verb'}, {'input': 'kapandı', 'root': 'kapan', 'type': 'Noun'}, {'input': 'kapandı', 'root': 'kapmak', 'type': 'Verb'}, {'input': 'derhal', 'root': 'derhâl', 'type': 'Adverb'}]"
Bahtımın yazgısı karanlıklarda;,"[{'input': 'Bahtımın', 'root': 'baht', 'type': 'Noun'}, {'input': 'Bahtımın', 'root': 'Bahtı', 'type': 'Noun'}, {'input': 'yazgısı', 'root': 'yazgı', 'type': 'Noun'}, {'input': 'karanlıklarda', 'root': 'karanlık', 'type': 'Noun'}, {'input': 'karanlıklarda', 'root': 'Karanlık', 'type': 'Noun'}, {'input': 'karanlıklarda', 'root': 'karanlık', 'type': 'Adjective'}, {'input': 'karanlıklarda', 'root': 'karmak', 'type': 'Verb'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
Öyle harap ettiler gönül bahçemi,"[{'input': 'Öyle', 'root': 'öyle', 'type': 'Interjection'}, {'input': 'Öyle', 'root': 'öyle', 'type': 'Adjective'}, {'input': 'Öyle', 'root': 'öyle', 'type': 'Adverb'}, {'input': 'Öyle', 'root': 'Ö', 'type': 'Noun'}, {'input': 'harap', 'root': 'harap', 'type': 'Adjective'}, {'input': 'ettiler', 'root': 'etmek', 'type': 'Verb'}, {'input': 'ettiler', 'root': 'et', 'type': 'Noun'}, {'input': 'gönül', 'root': 'Gönül', 'type': 'Noun'}, {'input': 'gönül', 'root': 'gönül', 'type': 'Noun'}, {'input': 'bahçemi', 'root': 'bahçe', 'type': 'Noun'}, {'input': 'bahçemi', 'root': 'Bahçe', 'type': 'Noun'}]"
"Dallar hep kırıldı, yapraklar yerde","[{'input': 'Dallar', 'root': 'dallamak', 'type': 'Verb'}, {'input': 'Dallar', 'root': 'dallamak', 'type': 'Verb'}, {'input': 'Dallar', 'root': 'dal', 'type': 'Noun'}, {'input': 'Dallar', 'root': 'dal', 'type': 'Adjective'}, {'input': 'Dallar', 'root': 'dal', 'type': 'Adjective'}, {'input': 'Dallar', 'root': 'dal', 'type': 'Noun'}, {'input': 'hep', 'root': 'hep', 'type': 'Adverb'}, {'input': 'kırıldı', 'root': 'kırmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'yapraklar', 'root': 'Yaprak', 'type': 'Noun'}, {'input': 'yapraklar', 'root': 'yaprak', 'type': 'Noun'}, {'input': 'yapraklar', 'root': 'Yaprak', 'type': 'Noun'}, {'input': 'yapraklar', 'root': 'yaprak', 'type': 'Noun'}, {'input': 'yerde', 'root': 'yer', 'type': 'Noun'}]"
Kuytularda birkaç meyvesi kaldı...,"[{'input': 'Kuytularda', 'root': 'kuytu', 'type': 'Adjective'}, {'input': 'birkaç', 'root': 'birkaç', 'type': 'Adjective'}, {'input': 'birkaç', 'root': 'birkaç', 'type': 'Determiner'}, {'input': 'meyvesi', 'root': 'meyve', 'type': 'Noun'}, {'input': 'kaldı', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kaldı', 'root': 'kal', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
İşte ulaştım güz aylarına,"[{'input': 'İşte', 'root': 'işte', 'type': 'Adverb'}, {'input': 'İşte', 'root': 'iş', 'type': 'Noun'}, {'input': 'ulaştım', 'root': 'ulaşmak', 'type': 'Verb'}, {'input': 'ulaştım', 'root': 'Ulaş', 'type': 'Noun'}, {'input': 'güz', 'root': 'güz', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'Ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'Ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'Ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'Ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}, {'input': 'aylarına', 'root': 'ay', 'type': 'Noun'}]"
Fikirler sararmış yapraklar gibi;,"[{'input': 'Fikirler', 'root': 'fikir', 'type': 'Noun'}, {'input': 'Fikirler', 'root': 'fikir', 'type': 'Noun'}, {'input': 'sararmış', 'root': 'sararmak', 'type': 'Verb'}, {'input': 'sararmış', 'root': 'sararmak', 'type': 'Verb'}, {'input': 'sararmış', 'root': 'sarmak', 'type': 'Verb'}, {'input': 'sararmış', 'root': 'Sarar', 'type': 'Noun'}, {'input': 'yapraklar', 'root': 'Yaprak', 'type': 'Noun'}, {'input': 'yapraklar', 'root': 'yaprak', 'type': 'Noun'}, {'input': 'yapraklar', 'root': 'Yaprak', 'type': 'Noun'}, {'input': 'yapraklar', 'root': 'yaprak', 'type': 'Noun'}, {'input': 'gibi', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibi', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibi', 'root': 'Gib', 'type': 'Noun'}, {'input': ';', 'root': ';', 'type': 'Punctuation'}]"
Kullanmalı artık aleti,"[{'input': 'Kullanmalı', 'root': 'kullanmak', 'type': 'Verb'}, {'input': 'Kullanmalı', 'root': 'kul', 'type': 'Noun'}, {'input': 'Kullanmalı', 'root': 'kullanmak', 'type': 'Verb'}, {'input': 'Kullanmalı', 'root': 'kul', 'type': 'Noun'}, {'input': 'artık', 'root': 'artık', 'type': 'Adjective'}, {'input': 'artık', 'root': 'artık', 'type': 'Adverb'}, {'input': 'artık', 'root': 'artık', 'type': 'Noun'}, {'input': 'aleti', 'root': 'alet', 'type': 'Noun'}, {'input': 'aleti', 'root': 'alet', 'type': 'Noun'}]"
"Küreği, tırmığı ötekileri,","[{'input': 'Küreği', 'root': 'kürek', 'type': 'Noun'}, {'input': 'Küreği', 'root': 'kürek', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'tırmığı', 'root': 'tırmık', 'type': 'Noun'}, {'input': 'tırmığı', 'root': 'tırmık', 'type': 'Noun'}, {'input': 'ötekileri', 'root': 'öteki', 'type': 'Adjective'}, {'input': 'ötekileri', 'root': 'öteki', 'type': 'Adjective'}, {'input': 'ötekileri', 'root': 'öteki', 'type': 'Adjective'}, {'input': 'ötekileri', 'root': 'öteki', 'type': 'Adjective'}, {'input': 'ötekileri', 'root': 'öte', 'type': 'Noun'}, {'input': 'ötekileri', 'root': 'öte', 'type': 'Noun'}, {'input': 'ötekileri', 'root': 'öte', 'type': 'Noun'}, {'input': 'ötekileri', 'root': 'öte', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Düzeltip onarmak yeniden,"[{'input': 'Düzeltip', 'root': 'düzeltmek', 'type': 'Verb'}, {'input': 'Düzeltip', 'root': 'düzelmek', 'type': 'Verb'}, {'input': 'onarmak', 'root': 'onarmak', 'type': 'Verb'}, {'input': 'yeniden', 'root': 'yeniden', 'type': 'Adverb'}, {'input': 'yeniden', 'root': 'yeni', 'type': 'Adjective'}]"
Bahçemdeki bütün harap yerleri,"[{'input': 'Bahçemdeki', 'root': 'bahçe', 'type': 'Noun'}, {'input': 'Bahçemdeki', 'root': 'Bahçe', 'type': 'Noun'}, {'input': 'bütün', 'root': 'bütün', 'type': 'Adjective'}, {'input': 'bütün', 'root': 'bütün', 'type': 'Noun'}, {'input': 'harap', 'root': 'harap', 'type': 'Adjective'}, {'input': 'yerleri', 'root': 'yer', 'type': 'Noun'}, {'input': 'yerleri', 'root': 'yer', 'type': 'Noun'}, {'input': 'yerleri', 'root': 'yer', 'type': 'Noun'}, {'input': 'yerleri', 'root': 'yer', 'type': 'Noun'}]"
Suların basıp oyup açtığı,"[{'input': 'Suların', 'root': 'su', 'type': 'Noun'}, {'input': 'Suların', 'root': 'su', 'type': 'Noun'}, {'input': 'basıp', 'root': 'basmak', 'type': 'Verb'}, {'input': 'oyup', 'root': 'oymak', 'type': 'Verb'}, {'input': 'açtığı', 'root': 'açmak', 'type': 'Verb'}, {'input': 'açtığı', 'root': 'açmak', 'type': 'Verb'}, {'input': 'açtığı', 'root': 'açmak', 'type': 'Verb'}]"
Kocaman çukurları mezarlar gibi...,"[{'input': 'Kocaman', 'root': 'kocaman', 'type': 'Adjective'}, {'input': 'Kocaman', 'root': 'kocamak', 'type': 'Verb'}, {'input': 'çukurları', 'root': 'çukur', 'type': 'Noun'}, {'input': 'çukurları', 'root': 'çukur', 'type': 'Noun'}, {'input': 'çukurları', 'root': 'çukur', 'type': 'Noun'}, {'input': 'çukurları', 'root': 'çukur', 'type': 'Noun'}, {'input': 'mezarlar', 'root': 'mezar', 'type': 'Noun'}, {'input': 'mezarlar', 'root': 'mezar', 'type': 'Noun'}, {'input': 'gibi', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibi', 'root': 'gibi', 'type': 'PostPositive'}, {'input': 'gibi', 'root': 'Gib', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
"Hayal ettiğim yeni çiçekler,","[{'input': 'Hayal', 'root': 'Hayal', 'type': 'Noun'}, {'input': 'Hayal', 'root': 'hayal', 'type': 'Noun'}, {'input': 'ettiğim', 'root': 'etmek', 'type': 'Verb'}, {'input': 'ettiğim', 'root': 'etmek', 'type': 'Verb'}, {'input': 'yeni', 'root': 'yeni', 'type': 'Adjective'}, {'input': 'yeni', 'root': 'yeni', 'type': 'Adverb'}, {'input': 'yeni', 'root': 'yen', 'type': 'Noun'}, {'input': 'yeni', 'root': 'yen', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'çiçeklemek', 'type': 'Verb'}, {'input': 'çiçekler', 'root': 'çiçeklemek', 'type': 'Verb'}, {'input': 'çiçekler', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'Çiçek', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'çiçek', 'type': 'Noun'}, {'input': 'çiçekler', 'root': 'Çiçek', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Acaba bulurlar kimbilir,","[{'input': 'Acaba', 'root': 'acaba', 'type': 'Adverb'}, {'input': 'Acaba', 'root': 'acaba', 'type': 'Noun'}, {'input': 'bulurlar', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'kimbilir', 'root': 'kimbilir', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Ardıç kuşlarının bulduğu,"[{'input': 'Ardıç', 'root': 'ardıç', 'type': 'Noun'}, {'input': 'Ardıç', 'root': 'Ardıç', 'type': 'Noun'}, {'input': 'kuşlarının', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarının', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarının', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarının', 'root': 'kuş', 'type': 'Noun'}, {'input': 'kuşlarının', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'kuşlarının', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'kuşlarının', 'root': 'kuşlar', 'type': 'Noun'}, {'input': 'bulduğu', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'bulduğu', 'root': 'bulmak', 'type': 'Verb'}, {'input': 'bulduğu', 'root': 'bulmak', 'type': 'Verb'}]"
"Güç alabilecekleri gıdayı,","[{'input': 'Güç', 'root': 'güç', 'type': 'Adjective'}, {'input': 'Güç', 'root': 'güç', 'type': 'Adverb'}, {'input': 'Güç', 'root': 'Güç', 'type': 'Noun'}, {'input': 'Güç', 'root': 'güç', 'type': 'Noun'}, {'input': 'alabilecekleri', 'root': 'almak', 'type': 'Verb'}, {'input': 'alabilecekleri', 'root': 'almak', 'type': 'Verb'}, {'input': 'alabilecekleri', 'root': 'almak', 'type': 'Verb'}, {'input': 'alabilecekleri', 'root': 'almak', 'type': 'Verb'}, {'input': 'alabilecekleri', 'root': 'almak', 'type': 'Verb'}, {'input': 'gıdayı', 'root': 'gıda', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Gizemli gıdayı, özlü gıdayı","[{'input': 'Gizemli', 'root': 'Gizem', 'type': 'Noun'}, {'input': 'Gizemli', 'root': 'gizem', 'type': 'Noun'}, {'input': 'gıdayı', 'root': 'gıda', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'özlü', 'root': 'öz', 'type': 'Noun'}, {'input': 'özlü', 'root': 'öz', 'type': 'Adjective'}, {'input': 'gıdayı', 'root': 'gıda', 'type': 'Noun'}]"
