original_line,processed
Vara vara vardık kara taşa,"[{'input': 'Vara', 'root': 'varmak', 'type': 'Verb'}, {'input': 'Vara', 'root': 'var', 'type': 'Noun'}, {'input': 'Vara', 'root': 'var', 'type': 'Adjective'}, {'input': 'vara', 'root': 'varmak', 'type': 'Verb'}, {'input': 'vara', 'root': 'var', 'type': 'Noun'}, {'input': 'vara', 'root': 'var', 'type': 'Adjective'}, {'input': 'vardık', 'root': 'varmak', 'type': 'Verb'}, {'input': 'vardık', 'root': 'varmak', 'type': 'Verb'}, {'input': 'vardık', 'root': 'var', 'type': 'Adjective'}, {'input': 'vardık', 'root': 'varmak', 'type': 'Verb'}, {'input': 'vardık', 'root': 'var', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Adjective'}, {'input': 'kara', 'root': 'karmak', 'type': 'Verb'}, {'input': 'kara', 'root': 'karamak', 'type': 'Verb'}, {'input': 'kara', 'root': 'kar', 'type': 'Noun'}, {'input': 'kara', 'root': 'kâr', 'type': 'Noun'}, {'input': 'kara', 'root': 'kara', 'type': 'Noun'}, {'input': 'taşa', 'root': 'taşmak', 'type': 'Verb'}, {'input': 'taşa', 'root': 'taş', 'type': 'Noun'}, {'input': 'taşa', 'root': 'taş', 'type': 'Adjective'}]"
Yazılanlar gelir sağolan başa(aman efendim),"[{'input': 'Yazılanlar', 'root': 'yazmak', 'type': 'Verb'}, {'input': 'Yazılanlar', 'root': 'yazmak', 'type': 'Verb'}, {'input': 'gelir', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelir', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelir', 'root': 'gelir', 'type': 'Noun'}, {'input': 'sağolan', 'root': 'sağolmak', 'type': 'Verb'}, {'input': 'başa', 'root': 'baş', 'type': 'Noun'}, {'input': '(', 'root': '(', 'type': 'Punctuation'}, {'input': 'aman', 'root': 'aman', 'type': 'Interjection'}, {'input': 'aman', 'root': 'âmâ', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efendim', 'type': 'Interjection'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Noun'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efe', 'type': 'Noun'}, {'input': ')', 'root': ')', 'type': 'Punctuation'}]"
Bizi hasret koyar kavim kardaşa,"[{'input': 'Bizi', 'root': 'biz', 'type': 'Pronoun'}, {'input': 'Bizi', 'root': 'biz', 'type': 'Noun'}, {'input': 'Bizi', 'root': 'biz', 'type': 'Noun'}, {'input': 'hasret', 'root': 'hasretmek', 'type': 'Verb'}, {'input': 'hasret', 'root': 'hasret', 'type': 'Noun'}, {'input': 'hasret', 'root': 'Hasret', 'type': 'Noun'}, {'input': 'koyar', 'root': 'koymak', 'type': 'Verb'}, {'input': 'koyar', 'root': 'koymak', 'type': 'Verb'}, {'input': 'koyar', 'root': 'koyar', 'type': 'Noun'}, {'input': 'kavim', 'root': 'Kavi', 'type': 'Noun'}, {'input': 'kavim', 'root': 'kavim', 'type': 'Noun'}, {'input': 'kavim', 'root': 'kavi', 'type': 'Adjective'}, {'input': 'kardaşa', 'root': 'kardaş', 'type': 'Noun'}, {'input': 'kardaşa', 'root': 'Kardaş', 'type': 'Noun'}]"
ayrılık yoksulluk ölüm(aman efendim),"[{'input': 'ayrılık', 'root': 'ayrılık', 'type': 'Noun'}, {'input': 'ayrılık', 'root': 'ayrı', 'type': 'Adjective'}, {'input': 'yoksulluk', 'root': 'yoksul', 'type': 'Adjective'}, {'input': 'ölüm', 'root': 'ölüm', 'type': 'Interjection'}, {'input': 'ölüm', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölüm', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölüm', 'root': 'ölü', 'type': 'Adjective'}, {'input': '(', 'root': '(', 'type': 'Punctuation'}, {'input': 'aman', 'root': 'aman', 'type': 'Interjection'}, {'input': 'aman', 'root': 'âmâ', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efendim', 'type': 'Interjection'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Noun'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efe', 'type': 'Noun'}, {'input': ')', 'root': ')', 'type': 'Punctuation'}]"
Nice sultanları tahtan indirir,"[{'input': 'Nice', 'root': 'nice', 'type': 'Adjective'}, {'input': 'Nice', 'root': 'nice', 'type': 'Adverb'}, {'input': 'Nice', 'root': 'Ni', 'type': 'Noun'}, {'input': 'sultanları', 'root': 'sultan', 'type': 'Noun'}, {'input': 'sultanları', 'root': 'sultan', 'type': 'Noun'}, {'input': 'sultanları', 'root': 'sultan', 'type': 'Noun'}, {'input': 'sultanları', 'root': 'sultan', 'type': 'Noun'}, {'input': 'tahtan', 'root': 'tahta', 'type': 'Noun'}, {'input': 'tahtan', 'root': 'tahta', 'type': 'Adjective'}, {'input': 'indirir', 'root': 'indirmek', 'type': 'Verb'}, {'input': 'indirir', 'root': 'indirmek', 'type': 'Verb'}, {'input': 'indirir', 'root': 'inmek', 'type': 'Verb'}, {'input': 'indirir', 'root': 'inmek', 'type': 'Verb'}]"
Nicesinin gül benzini soldurur(aman efendim),"[{'input': 'Nicesinin', 'root': 'nice', 'type': 'Adjective'}, {'input': 'gül', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'gül', 'root': 'gül', 'type': 'Noun'}, {'input': 'benzini', 'root': 'beniz', 'type': 'Noun'}, {'input': 'benzini', 'root': 'beniz', 'type': 'Noun'}, {'input': 'benzini', 'root': 'Benz', 'type': 'Noun'}, {'input': 'benzini', 'root': 'Benz', 'type': 'Noun'}, {'input': 'benzini', 'root': 'benzin', 'type': 'Noun'}, {'input': 'benzini', 'root': 'benzin', 'type': 'Noun'}, {'input': 'soldurur', 'root': 'solmak', 'type': 'Verb'}, {'input': 'soldurur', 'root': 'solmak', 'type': 'Verb'}, {'input': '(', 'root': '(', 'type': 'Punctuation'}, {'input': 'aman', 'root': 'aman', 'type': 'Interjection'}, {'input': 'aman', 'root': 'âmâ', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efendim', 'type': 'Interjection'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Noun'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efe', 'type': 'Noun'}, {'input': ')', 'root': ')', 'type': 'Punctuation'}]"
Niceleri dönmez yola gönderir,"[{'input': 'Niceleri', 'root': 'nice', 'type': 'Adjective'}, {'input': 'Niceleri', 'root': 'nice', 'type': 'Adjective'}, {'input': 'Niceleri', 'root': 'nice', 'type': 'Adjective'}, {'input': 'Niceleri', 'root': 'nice', 'type': 'Adjective'}, {'input': 'dönmez', 'root': 'dönmek', 'type': 'Verb'}, {'input': 'dönmez', 'root': 'dönmek', 'type': 'Verb'}, {'input': 'yola', 'root': 'yolmak', 'type': 'Verb'}, {'input': 'yola', 'root': 'yol', 'type': 'Noun'}, {'input': 'gönderir', 'root': 'göndermek', 'type': 'Verb'}, {'input': 'gönderir', 'root': 'göndermek', 'type': 'Verb'}]"
ayrılık yoksulluk ölüm(aman efendim),"[{'input': 'ayrılık', 'root': 'ayrılık', 'type': 'Noun'}, {'input': 'ayrılık', 'root': 'ayrı', 'type': 'Adjective'}, {'input': 'yoksulluk', 'root': 'yoksul', 'type': 'Adjective'}, {'input': 'ölüm', 'root': 'ölüm', 'type': 'Interjection'}, {'input': 'ölüm', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölüm', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölüm', 'root': 'ölü', 'type': 'Adjective'}, {'input': '(', 'root': '(', 'type': 'Punctuation'}, {'input': 'aman', 'root': 'aman', 'type': 'Interjection'}, {'input': 'aman', 'root': 'âmâ', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efendim', 'type': 'Interjection'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Noun'}, {'input': 'efendim', 'root': 'efendi', 'type': 'Adjective'}, {'input': 'efendim', 'root': 'efe', 'type': 'Noun'}, {'input': ')', 'root': ')', 'type': 'Punctuation'}]"
Karacaoğlan derki kondum göçülmez,"[{'input': 'Karacaoğlan', 'root': 'Karacaoğlan', 'type': 'Noun'}, {'input': 'derki', 'root': 'derk', 'type': 'Noun'}, {'input': 'derki', 'root': 'derk', 'type': 'Noun'}, {'input': 'kondum', 'root': 'konmak', 'type': 'Verb'}, {'input': 'kondum', 'root': 'kondu', 'type': 'Noun'}, {'input': 'göçülmez', 'root': 'göçmek', 'type': 'Verb'}, {'input': 'göçülmez', 'root': 'göçmek', 'type': 'Verb'}]"
Acıdır ecel şerbeti içilmez,"[{'input': 'Acıdır', 'root': 'acı', 'type': 'Adjective'}, {'input': 'Acıdır', 'root': 'Ac', 'type': 'Noun'}, {'input': 'Acıdır', 'root': 'acı', 'type': 'Noun'}, {'input': 'Acıdır', 'root': 'A', 'type': 'Noun'}, {'input': 'ecel', 'root': 'ecel', 'type': 'Noun'}, {'input': 'şerbeti', 'root': 'şerbet', 'type': 'Noun'}, {'input': 'şerbeti', 'root': 'şerbet', 'type': 'Noun'}, {'input': 'içilmez', 'root': 'içmek', 'type': 'Verb'}, {'input': 'içilmez', 'root': 'içmek', 'type': 'Verb'}]"
