title,poem_cleaned
Topal Asker,
,Ey saçları “alagorsan” kesik hanım kız!
,Gülme öyle bana bakıp arsız arsız!
,Bacağımla alay etme pek topal diye.
,sorsana topallık bana nereden hediye ?
,"Şişli’de dans ederken gece gündüz,"
,"ötede ovalar, çaylar, dümdüz"
,"Yaylaları geçtik, karlı dağları aştık;"
,salonda dans ederken bizler savaştık .
,"Ey dudağı kanım kıpkırmızı kız,"
,Gülme öyle bana bakıp arsız arsız!
,Olan işler dimağını azıcık yorsun!
,Biliyorum elbisemle eğleniyorsun;
,Biliyorum baldırını nazla
,Örten tek ipek çorap kıymetçe fazla
,Benim bütün elbisemden... Hatta kendimden...
,Biliyorum: bugün dünyada
,Neyim? hiç... İşe güce yaramaz topal...
,"sağlamsın, senin hakkın, dünyadan zevk al:"
,orda düşmanlarla boğuşurken
,muhteşem salonlarda şarap içtiniz!
,"Ey gözünün rengi bana yabancı güzel,"
,yolcunun uğradığı ey hancı güzel!
,yabancı kucaklarda yaşarken gün
,"Yapıyorduk bizde kanla, barutla düğün."
,"sıcak odalarda cilveli, mahmur"
,"Dolaşırken... tipi, fırtına, yağmur,"
,"Kar altında kanlar döktük, canlar yıprattık;"
,"Aç yaşadık, susuz kaldık, taşlarda yattık."
,"açılmış bahardın, kara kıştık;"
,Bizden üstün ordularla böyle çarpıştık...
,Gülme öyle bana bakıp pek arsız arsız
,"ey dışı güzel, içi çamur kız!"
,"Sana karşı haykıranı, mecbursun dinle;"
,Bugün hesap göreceğiz artık seninle:
,"cephede geberirken, geride vatan"
,Aşkı bin belalı işe can atan
,"Anam, babam, karım, kızım, eziliyorken"
,"Dağlar yük altında... gel, cevap ver,"
,"Bana anlat, anlat bana, yaptınız?"
,"Köpek oynaştınız, fuhşa taptınız!"
,Anavatan boğulurken kıpkızıl kanda
,"Yalnız gönül verdiniz zevke, cazbanda..."
,"Ey nankör kız, ey fahişe unutma şunu:"
,Sizin harp ederken yedim kurşunu.
,"Onun topal kaldı böyle bacağım,"
,Onun tütmez oldu artık ocağım.
,Nazlı nazlı yatıyorken yataklarda
,Sallanarak ölü kaldık bataklarda.
,"Kalbur oldu süngülerle çelik bağrımız,"
,"amansız boğuşmada öldü yarımız,"
,nasıl yaşadınız? Bizim kanımız
,Size şarap oldu sanki... Şehit canımız
,Güya sizin mezenizdi! Yiyip içtiniz;
,"Zıpladınız, kudurdunuz arsız, edepsiz!.."
,"Gerçi salonlarda senin “yıldız”dı adın,"
,Hakikatte fahişesin ey alçak kadın!
,Ey allıklı düzgünlü yosma bil şunu:
,Bütün millet öğrenmiştir senin fuhşunu.
,Omuzun neden seni fuzuli çeksin?
,.........................................
,Kinimizin şiddetiyle gebereceksin!..
,1926
,
Ah Hüseyin Vah Hüseyin,
,Alemlerin serverisin
,"Ah Hüseyin, vah Hüseyin"
,Şehitlerin serdarısın
,"Ah Hüseyin, vah Hüseyin"
,"Hasan, Hüseyin'in yari"
,Muhammed'in gözü nuru
,Ali'nin yadigarı
,"Ah Hüseyin, vah Hüseyin"
,Zuhur oldun İmam Zeynel
,Muhammet Bakır'dan evvel
,Didene yanayım gönül
,"Ah Hüseyin, vah Hüseyin"
,İmam Cafer'dir yarimiz
,Musa-i Kazım şahımız
,Budur şems mahımız
,"Ah Hüseyin, vah Hüseyin"
,Ali Musa ilim hüner
,Muhammet Taki el sunar
,Hüseyin'im deyip yanar
,"Ah Hüseyin, vah Hüseyin"
,"Ali Taki, Hasan Asker"
,Muhammet Mehdi ser-defter
,İmam-ı Seyyid-i ekber
,"Ah Hüseyin, vah Hüseyin"
,Pir Sultan haber ver dosttan
,Bülbül ötüyor kafesten
,"gül ağlar, gülistan"
,"Ah Hüseyin, vah Hüseyin"
,
Vietnem,
,Vietnam
,Vietnam'daki şeyin
,basitliği
,kadına benzeyen
,genç rahibin cübbesini tutarken
,"sırtından vurulan adam,"
,burda takılıyoruz:
,ay parlak
,"eldivenlerimiz şıkır şıkır,"
,"yerde motosikletler, arılar uykuda,"
,"enjektörler paslanmış,"
,"iklim şaşırmış,"
,"kemiklerimizi titretiyoruz,"
