title,poem_cleaned
Bayraksızlar!,
,Bayraksızlar bayraksızlar
,Yere düşse bayrak sızlar
,Nerden bilsin kıymetini
,Soysuz sopsuz bayraksızlar
,olurdu yazmasaydım
,kara yazıyı
,Bilmeseydi namert soysuz
,İçimdeki sızıyı
,Yıldızların isyanı var
,Hilâl taşıyan felek
,Damla damla kan akıyor
,Delik deşik yürek
,Al rengine kara bağlar
,Yastadır deli gönül
,Aşık'ın olmuşum senin
,Hastadır deli gönül
,Renginde şehitlik gizli
,Hilâlinde mana var
,Yüreğimde saklamışım
,Kurbanında kına var
,Toprağa düşse yiğit
,Ölüm güç verir bize
,İnancıma teslim oldum
,Zulüm güç verir bize
,Uğrunda ölen yiğit
,Kim bilsin
,Geriye can kaldı
,Hepsini kurban adar
,Yamacında gezindiğin
,Şimdi dağlar ağlasın
,Bayrağım hançerlendi
,Şimdi çağlar ağlasın
,Bayrak yere düşerken
,Alkışlayan piçleri
,Kahredecek Türk milleti
,Destek veren güçleri
,Susmayın ey milletim
,Bayraksızda ar olmaz
,Susar yiğitler
,Vatan bize yar olmaz
,Başı bozuk yaylada
,Pusuları kurdular
,İki yaşında yiğit
,Kürşad'ımı vurdular
,Bundan gayrı düşmanım
,Bayrağa ters bakanlar
,Artık hesap vermeli
,Dağı taşı yakanlar
,Meleküt aleminde
,Destan olan can bizim
,Dalgalansın bayrağım
,Üstündeki kan bizim
,Dört aylık bebeklere
,Kurşun sıkan nerdesin
,Nereye gidersen git
,Öleceğin yerdesin
,Hükmü ilâhi varsa
,Belki korur Yaradan
,Kan düşmanı olmuşuz
,Çekilsinler aradan
,vatanın ekmeğii
,Gözünüze durmalı
,Yiğit can gelmeli
,Sizden hesap sormalı
,Sefai'yem yaşamak
,Bundan gayrı ar gelir
,Ay yıldızlı bayrağa
,yeryüzü dar gelir!
,
Ak Ellerim,
,Beş vakte yeşeren kutsal orman
,Yaprak yaprak ellerim
,Yapışmış aşk atının gök yelesine
,Pamuk sularında ak-pâk ellerim…
,Öylesine insan Müslüman
,"Öylesine dost, öylesine can"
,öylesine yakın
,"Allah’a, adak ellerim…"
,sabah kaktığımda turfanda
,İki esrik ak kuğudur abdest sularında
,Kelle sökmeye başlar iman tarlamda
,Başak başak ellerim…
,"Yalan yok, korku yok, kin yok"
,Döküldü dünyanın ham cümbüşüne
,Sonsuza kol atmanın düşleri
,Bayrak bayrak ellerim…
,Anaç keklik kızgın yatanda
,Yüreğimin üstüne üstüne
,Besmele göynüğüdür Kur’ân tutanda
,"Sanki tutmaz öper, dudak ellerim…"
,Beş vakte yeşeren kutsal orman
,Dal budak yaprak ellerim
,Vığıl vığıl ışıklarla konuşur
,Cümle kötülükten uzak ellerim…
,Bahaeddin KARAKOÇ (Ay Şafağı Çiçek- Beyan Yay. İstanbul / 1998)
,
Bu Bayrak,
,"Malazgirt'te Alpaslan'ın dilinde,"
,"Surlarda Ulubatlı'nın elinde,"
,Çanakkale cihadının yılında;
,"Zemin kan kırmızı, ayyıldızı ak,"
,"mübarek bayrak, işte bayrak!"
,"Rasül'ün övgüsünü kazanmıştı,"
,"Düşmanlarımız kahrıyla yanmıştı,"
,Viyana önlerine dayanmıştı;
,"Zemin kan kırmızı, ayyıldızı ak,"
,"mübarek bayrak, işte bayrak!"
,"Gelibolu'dan Ankara'ya baktı,"
,Kocatepelerden İzmir'e aktı.
,Aşkıyla milleti ısıtıp yaktı;
,"Zemin kan kırmızı, ayyıldızı ak,"
,"mübarek bayrak, işte bayrak!"
,"Kafkaslar'da bizi kaldırdı şaha,"
,"Yemen çöllerinde sığınak vaha,"
,Gönderlerinden hiç inmedi daha;
,"Zemin kan kırmızı, ayyıldızı ak,"
,"mübarek bayrak, işte bayrak!"
,"Destanlar yazıldı zalime karşı,"
,"Mazlumun duası kapladı arşı,"
,Uğruna yazıldı istiklal marşı;
,"Zemin kan kırmızı, ayyıldızı ak,"
,"mübarek bayrak, işte bayrak!"
,Peygamber kabrinde sadık muhafız
,"Bayraktan alırdı mücahitler hız,"
,Unutana hatırlatırız;
,"Zemin kan kırmızı, ayyıldızı ak,"
,"mübarek bayrak, işte bayrak!"
,(İstanbul:27.03.2005)
,
**Bayrak Sevgilim**,
,"Hilal olur kaşlar, gözlerin yıldız,"
,"Sancağın kurulmaz, bayrak sevgilim."
,Rüzgarım yanında kalmazsın yalnız
,"Dalgalar durulmaz, bayrak sevgilim."
,"Dilin susar birden, Cihan olur lâl."
,"Alınır yıldızla göklerden hilâl,"
,Kana kana kanım içersen helâl
,"Ellere verilmez, bayrak sevgilim."
,"Özün özümdendir, canın bedenden;"
,aşkın uğruna cihâd edenden.
,olmazsa ölümüm senden;
,"Tabuta sarılmaz bayrak, sevgilim."
,Saygıda duranı izle yüksekten
,Yer bulunur sana gözde bebekten.
,"Neslime mirasım dokuz göbekten,"
,"Vasiyet sorulmaz, bayrak sevgilim!"
,
Kurt başlı bayrak dalgalanacak yine,
,"Turan devleti yeniden kurulacak,"
,Kurt başlı bayrak dalgalanacak yine.
,"Ötüken başkent yapılıp durulacak,"
,Kurt başlı bayrak dalgalanacak yine.
,"Türk Obaları çoğalıp gürleşecek,"
,Türk yiğitleri buraya yerleşecek.
,"Bütün dünyadaki Türkler birleşecek,"
,Kurt başlı bayrak dalgalanacak yine.
,"Türkler cihan içinde olacak lider,"
,Türklerde sıkıntı kalacak keder.
,"Orta Asya'dan ta Avrupa'ya kadar,"
,Kurt başlı bayrak dalgalanacak yine.
,"Türkler Turan'da kendisini bulacak,"
,Turan Devletinde din İslam olacak.
,"Oğuz Kağan Başbuğ olarak gelecek,"
,Kurt başlı bayrak dalgalanacak yine.
,"Yusuf Dede Korkut gelecek törenden,"
,Orda Ayetler okunacak Kurandan.
