title,poem_cleaned
Yürün Aslanlarım Savaş Edelim,
,Yürün aslanlarım savaş edelim
,Buna kavga derler bey paşa
,Haykırıp haykırıp kelle keselim
,Seyreyleyin eli ayağı şaşana
,Yürü beyler cenge harbi çalınır
,İyi kötü meydanda bilinir
,Kılıç değer adam iki bölünür
,Nusret bizim beyler neci paşa
,Gürzün kösteğini kola takmalı
,Arap atı sağa sola yıkmalı
,Kargılar mızraklar birden kalkmalı
,Fırsat vermen Arap atlar kaçana
,Köroglu der durman edek cengimiz
,Bundan belli olsun yiğit hangimiz
,Üç saat sürmeli burda hengimiz
,Tarih yazın dağlara nişane
,
Hepsi Bu,
,değişen değilim
,dönüşen savaş
,yaşlanmakla ıslanmak aynı şey:
,yağmurun gölgesinde ihtiyarlamak
,şimdi ölüm yetmiyor
,acılarımızı tartmaya
,dostlar
,alıngan sahili pinekliyorlar
,merhaba'yı bıçaklar artık
,selamlaşmalar
,değişen değilim
,dönüşen savaş
,artık zaman yetmiyor
,yaşadığımızı sanmaya
,ışıklar kenti
,güzelmiş gösteriyor
,geceleri...
,geceler...
,yani
,Ahmet Haşim'in kafiyeleri....
,seni aklıma düşüren
,yerçekimi değil
,yalancı yıldızlar
,öyle uzaksın
,üflesem soğuyacaksın
,sarılsam okyanus
,aşka yetecek
,anımsatacak
,"sebepsiz ölümü,"
,acılarımız
,kafiyelerimiz var...
,işte hepsi kadar....
,
Strateji,
,Kim masaya serer
,Asıp duvara....................
,
Çağcıl Söylem,
,Akşam savaş alanına çöktüğünde
,Düşmanlar yenilmişti
,Telgraf tellerinin tınıları
,Haberi uzaklara taşıdı
,Dünyanın ucunda yandı
,"haykırış, gök kubbede parçalanarak"
,"çığlık, çılgın ağızlardan taşan"
,"esrik, göğü aşan."
,Bin dudak ilençle soldu
,"Bin yumruk, vahşi öfkeyle sıkıldı."
,Dünyanın ucunda
,"sevinç, gök kubbede parçalanarak"
,"Büyük sevinç, eğlence, çılgınlık"
,"Rahat soluklanma, gerinme"
