title,poem_cleaned
Türkiye’nin Gizi,
,türkiye kördüğüm
,ipi sıradağlardan
,iki kıtayı bağlar
,sımsıkı ulortadan
,hiçbir kılıç kesemez
,tarihi düğümü
,birbirine karışmış
,büyülü gizini
,türkiye kördüğüm
,sarmalanmış dağlarca
,birbirine karışmış
,halkalarıyla çağlarca
,türkiye kördüğüm
,onda sonsuzca yas
,sonsuzca coşku var
,günü gününe uymaz
,türkiye koca burgaç
,dünyanın dört yanından
,dün bugün yarından
,şeyi çeker yutar
,türkiye değirmen
,öğütür durur zaman
,gelecekten geçmişten
,şey onda aranan
,türkiye köprüdür
,altından toprak akar
,ay yıldız üstünden
,sonsuza doğru uzar
,türkiye bilmece
,sabahtan akşama dek
,çözülür ışıklarca
,akşamdan sabaha dek
,örer gizini gece
,
Uyan Türkiye! .,
,"cinnet krizi, gerçekler yolunuyor"
,Gönül parkımızdaki çiçekler yolunuyor
,"Kuzular yolunuyor, ördekler yolunuyor"
,"Kazlar tüyünü döktü, uyan artık Türkiye! ."
,"Iğdır’da şafak söktü, uyan artık Türkiye! ."
,Üç siyasi tecavüz üç ortağın niyeti
,Yapılan yanlışta millet öder diyeti
,"Koru hukukumuzu, koru cumhuriyeti"
,"Şerefimiz diz çöktü, uyan artık Türkiye! ."
,"Rize’de şafak söktü, uyan artık Türkiye! ."
,"Namaslu can derdinde, soyguncu mavi turda"
,Sosyete pazarında bütün eller uçkurda
,Yabancı müfettişler halt ediyor burda? .
,"Yeter, uyanma vakti, uyan artık Türkiye! ."
,"Ağrı’da şafak söktü, uyan artık Türkiye! ."
,Kimse senin adına borç alıp ruh satmasın
,"İşsiz, bunalmış gençler aklını oynatmasın"
,Çifte pasaportlular memleketi satmasın
,"zillet seni yaktı, uyan artık Türkiye! ."
,"Sinop’ta şafak söktü, uyan artık Türkiye! ."
,Aldanma yalancının yalanına daha
,Sarılma denenmişin yılanına daha
,Yol verme haydutların talanına daha
,"Bayrağın boyun büktü, uyan artık Türkiye! ."
,"İzmit’te şafak söktü, uyan artık Türkiye! ."
,"Dünümüz yağmalandı, yarınlar ipotekli"
,Sevip büyüttüğümüz torunlar ipotekli
,"Elif’ler, Alparslan’lar, Harun’lar ipotekli"
,"Kokla bak tuzlar koktu, uyan artık Türkiye! ."
,"Muğla’da şafak söktü, uyan artık Türkiye! ."
,Avrupa sevdalısı âşıktan hayır gelmez
,Ayının elindeki kaşıktan hayır gelmez
,Teslim tünelindeki ışıktan hayır gelmez
,"Uyurken yılan soktu, uyan artık Türkiye! ."
,"Mersin’de şafak söktü, uyan artık Türkiye! ."
,Kartel medya narkozu uyuşturmasın sizi
,"Hoyrat örselemesin, buruşturmasın sizi"
,Sistem birbirinizle vuruşturmasın sizi
,"Gök gürler-şimşek çaktı, uyan artık Türkiye! ."
,"Hatay’da şafak söktü, uyan artık Türkiye! ."
,Sütü bozuk olmayan sever milletini
,Hiç emdirmez kanını yedirmez etini
,"Kaybetmez inancını, çiğnetmez iffetini"
,"Uykun pek fazla çekti, uyan artık Türkiye! ."
,"Urfa’da şafak söktü, uyan artık Türkiye! ."
,Utansın paramızı pul yapan büyükbaşlar
,"Kesmesin yolumuzu küp başlar, kayık başlar"
,"sözlerim sizedir hür başlar, ayık başlar"
,"Ahlar semaya çıktı, uyan artık Türkiye! ."
,"Sivas’ta şafak söktü, uyan artık Türkiye! ."
,"Doktor bizden olmalı, ilaç bizden olmalı"
,Başımıza giyecek taç bizden olmalı
,"Ufuk bizden olmalı, miraç bizden olmalı"
,"Dağlara sisler çöktü, uyan artık Türkiye! ."
,"Konya’da şafak söktü, uyan artık Türkiye! ."
,Gel görkemli birlik birlikte gerçekleşsin
,Gel Anadolu’da huzur rüzgârı essin
,"Gel leş kargaları korksun, sesini kessin"
,"Mazlum canından bıktı, uyan artık Türkiye! ."
,"yerde şafak söktü, uyan artık Türkiye! ."
