title,poem_cleaned
Allah Diyene,
,"şey, şey tek müjdede;"
,"Yoktur ölüm, Allah diyene"
,"Canım kurban, başı secdede,"
,"İki büklüm, Allah diyene"
,"Akıl, kırık kanadı hiçin;"
,Derdi gücü 'nasıl' 'niçin'...
,"Bağlı, perçin üstüne perçin,"
,Benim gönlüm Allah diyene...
,
Be Sevdiğim,
,Be sevdiğim seni benden ayıran
,Din iman bulmaya diyelim Allah
,sinemi aşk oduna dağlayan
,Bekası olmayan diyelim Allah
,münafık sebep oldu işe
,Umarım başına taşlar düşe
,Kör yılanlar ura cesedi şişe
,Eriye döküle diyelim Allah
,benim yana kuruya
,Kısmeti tükene başı çürüye
,Seyit Vakkas ok ura devire
,Cennet'e girmeye diyelim Allah
,Allah anı bin belaya ata
,Kısmeti tükene vadesi yete
,Yetmiş seksen sene döşekte yata
,Yata kalkmaya diyelim Allah
,Pir Sultan Abdal'ım almadım hızaz
,kelp rakip bize eyledi garaz
,dertten gayrı bin kantar maraz
,Gire çıkmaya diyelim Allah
,
Daim Allah Kerim Allah..(İlahi),
,"Ellerim açtım, mevlaya,"
,"Dileklerim kabül olsun,"
,"Güvendim barihüdaya,"
,"Dileklerim, kabül olsun."
,"Daim Allah,kerim Allah,"
,"Allahüekber,Amentubillah,"
,"Hu dedim,abesttim aldım,"
,"şükür namazı kıldım,"
,"Daim Allah, birdir dedim,"
,"Dileklerim, kabül olsun."
,"Daim Allah,Kerim Allah,"
,"Allahüekber,Amentübillah,"
,"Şöl ilah bade içtim,"
,"İçip kendimden geçtim,"
,"Dua ekip,rahmet biçtim,"
,"Dileklerim,kabül olsun."
,"Daim Allah,Kerim Allah,"
,"Allahüekber,Amentübillah,"
,"Ariflerden,ibret aldım,"
,"Kevser havuzuna,daldım,"
,"Nur Muhammet,hak dır dedim,"
,"Dileklerim,kabül olsun."
,"Daim Allah,Kerim Allah,"
,"Allahüekber,Amentübillah."
,"İmdi niyaz,musa ile,"
,"Tur dağın asa ile,"
,"Muhammet,mustafa ile,"
,"Dileklerim,kabül olsun."
,"Daim Allah,Kerim Allah,"
,"Allahüekber, Amentübillah,"
,
 Deli Gönlüm Havalandı,
,Deli gönlüm havalandı
,Uçamadım Allah Allah
,Bahtımın bağı kitlendi
,Açamadım Allah Allah
,Girdim erenler bağına
,Çektiler Leyla dağına
,Düştüm aşkın tuzağına
,Kaçamadım Allah Allah
,Nidem hal olmadım
,Ağlağan oldum gülmedim
,"Hayal mi, düş bilmedim"
,Seçemedim Allah Allah
,Hamd olsun pîr himmetini
,Buldum iman devletini
,Hele vuslat şerbetini
,İçemedim Allah Allah
,Der Cemâl telâşımdan
,Sular coşar göz yaşımdan
,Dalgası aştı başımdan
,Geçemedim Allah Allah
,
Nimetine Şükür Allah...,
,"Veren sensin alan sen,"
,Nimetine şükür Allah…
,"Bağışladım kulum desen,"
,Rahmetine şükür Allah…
,"Şükür Allah, şükür Allah,"
,Nimetine şükür Allah…
,"Şükür Allah şükür Allah,"
,Rahmetine şükür Allah…
,"Ol deyince oluverdim,"
,Aşkın doluverdim!
,"Bende seni buluverdim,"
,Zahmetine şükür Allah…
,"Hayat bana zulüm olsa,"
,Çakırdiken gülüm olsa!
,"günüm ölüm olsa,"
,Ülfetine şükür Allah…
,"Boşa çıksa emellerim,"
,Hep yıkılsa temellerim.
,"Beni yaksa hayallerim,"
,Hiddetine şükür Allah…
,"Ansın seni öze dönsün,"
,Tüm bedenim göze dönsün!
,"Yansın yürek köze dönsün,"
,Şiddetine şükür Allah…
,"Susuz kalsam vahada,"
,Şahan olsam dehada!
,"an ölsem müntehada,"
,Hikmetine şükür Allah…
,
Esmaü'l Hüsna (Yüce Allah'ın isimleri),
,"Haydi Allah adını okuyalım,"
,Gönüllere nakşedip dokuyalım:
,"Dünyada Hak'kın sevgisini güden,"
,O'nu sevmelidir yolundan giden.
,"Acıyıp onlara merhamet eden,"
,Canı can Er-Rahman’dır Allah.(c.c)
,"Sevgisi gönüllere giren,"
,Dünyada insana kol kanat geren.
,"Merhamet ederek nimetler veren,"
,Rızk sahibi Er-Rahim’dir Allah.(c.c)
,"Gönülde müminlerin yari odur,"
,"şeyin tek sahibi,varı odur."
,"kainatın hükümdarı odur,"
,Şahların şahı El-Melik’tir Allah.(c.c)
,"Gücü hatadan uzak kalan,"
,Kendini aczden münezzeh kılan.
,"türlü eksiklikten uzak olan,"
,Varlığı temiz El-Kuddüs’tür Allah.(c.c)
,"Bizi selamete çıkarıp soran,"
,halükarda gözetleyip gören.
,"Cennette kullarına selam veren,"
,Sevgi sahibi Es-Selam’dır Allah.(c.c)
,"Gönlümüze iman ışığı katan,"
,Sevgisi gönlümüzde yatan.
,"Kullarını koruyup rahatlatan,"
,Düze çıkaran El Mü’min’dir Allah.(c.c)
,"dünyada sevgisini arayan,"
,İnsanları gözeterek koruyan.
,"Varlıkları rahmetiyle bürüyen,"
,alemde El-Müheymin’dir Allah.(c.c)
,"Hayatta varlıklar ölmeyen,"
,Dünyada yoktur gücünü bilmeyen.
,"Mağlup edilmesi mümkün olmayan,"
,En güçlü olan El-Aziz’dir Allah.(c.c)
,"On sekiz bin aleme imza atan,"
,Eksiği tamamlayıp değer katan.
,"şeyi yaptırmaya gücü yeten,"
,Bizi yaratan El-Cebbar’dır Allah.(c.c)
,"Geleceği,zamanı,dünü gösteren,"
,"Seneyi,mevsimi,günü gösteren."
,"Herkese büyüklüğünü gösteren,"
,cihanda El-Mütekebbir’dir Allah.(c.c)
,"Sevgisini müminlere yar eden,"
,Kötü kimseye dünyayı dar eden.
,"varlığı,her şeyi yoktan var eden,"
,Mülkün sahibi El-Halık’tır Allah.(c.c)
,"Bütün eşyaları dengede tutan,"
,Varlığıyla vücuda şekil katan.
,"şeyi uygun şekilde yaratan,"
,Yaratıcımız El-Bari’’dir Allah.(c.c)
,"Tasvir ederek yüze bellik veren,"
,Özüyle insana güzellik veren.
,"Aleme değişik özellik veren,"
,Güzel olan El-Musavvir’dir Allah.(c.c)
,"Amel defteri günah dolan,"
,İnsanlara kurtuluş yolu kılan.
,"Affı mağfireti pek olan,"
,Affedici El-Gaffar’dır Allah.(c.c)
,"Bütün canlarla canı verip alan,"
,evrene gücünü hakim kılan.
,"Dünyadaki şeye galip olan,"
,şeyi yapan El-Kahhar’dır Allah.(c.c)
,"fazla ihsan ederek canlara,"
,Bol bol neler varsa verir onlara.
,"Çeşitli nimetler verip bunlara,"
,Hep bağışlayan El-Vahhab’tır Allah.(c.c)
,"Varlıkların daima sırrına eren,"
