title,poem_cleaned
Odur Halîfe-i Hak Muktedâ-yi Devlet Ü Dîn,
,Odur halîfe-i Hak muktedâ-yi devlet ü dîn
,Murâdı üzre döne dâ’imâ çerh-i berîn
,Vücûdın eyleyüp âfâtdan masûn ü emîn
,Mu’ammer eyleye hallâk-i âsmân ü zemîn
,Sipihr tâkına târîh-i sâl-i yümn-âsâr
,
Müfredât 159,
,Hazret-i Hak'dan ihsân ola
,Dîn ü dünyâ emri hep âsân ola
,
Dîvân-ı İlâhîyât 224,
,Na'îm-i dehr-i dûna olma mağrûr
,Yürü dîn emrini tekmîl edegör
,Yeter oldun fânî zevke mesrûr
,Yürü merzât-ı Hak tahsîl edegör
,Bilirsin kimse kalmaz bunda bâkî
,Visâlinin mukarrerdir firâkı
,Hudâ'ya et edersen iştiyâkı
,Yürü dîn emrini tekmîl edegör
,Hevâlarda olup ey gâfil insân
,Seni azdırmasın nefs şeytân
,Kerîm Allah ede yolları âsân
,Yürü merzât-ı Hak tahsîl edegör
,Basîret nûru ger var sende
,cân bâkî kalır sanma bedende
,günü yarına salma inende
,Yürü dîn emrini tekmîl edegör
,Hüdâyî'nin sözün gûş eyle ey yâr
,fânî mülke mağrûr olma zinhâr
,Tarîk-i Hakk'a sa'y et imdi bâr
,Yürü merzât-ı Hak tahsîl edegör
,
Uzun Uzun Kamışlar,
,Uzun uzun kamışlar
,Ucunu boyamışlar
,Benim nazlı yarimi
,Gurbete yollamışlar
,Hop dın dın dın varıvendi
,Haydi dın dın dın davranda
,Oyna dın dın dın sallanda
,Haydi dın dın dın varıvende
,Ay ikimiz ikimiz
,Eli bağda yükümüz
,gurbetten gelince
,Evleniriz ikimiz
,Hop dın dın dın varıvendi
,Haydi dın dın dın davranda
,Oyna dın dın dın sallanda
,Haydi dın dın dın varıvende
,Karşı karşı evimiz
,koyaktır sevimiz
,seviler bizdeyken
,Telef olur birimiz
,Hop dın dın dın varıvendi
,Haydi dın dın dın davranda
,Oyna dın dın dın sallanda
,Haydi dın dın dın varıvende
,
Ey Cancağızım!,
,Hiç ölmeyeceksin sandın değil mi? Kabullen(e) medin hiç...
,"Umursamadın ölümü, hatta aklına dahi getirmedin."
,kurduğun “böylece bana gelmez” toteminden kadarda emindin.
,"ölüm gelse bile, kendini cennetlik atfederdin."
,Haşa! Allah (cc) senden daha layıkını bulacak dünyada (diye) zannederdin.
,"Güç, para, şöhret, makam, kadın, eğlence(vur patlasın çal oynasın) ..."
,"Yaşamak dibine kadar, hayattan an zevk almak oldu gayretin."
,"neydi hayat, dünyaya kere gelmiyor muydu insan de(r) din."
,"sevmek, daha ziyade sevilmek iste(r) din."
,"Asıl’ı hissetmekten mahrum (hasta) kalbini, aşkla dolu göster(ir) din."
,yapmacık duygularını safiyane sergile(r) din.
,Herkese değer biçip ederi mualemele göster(ir) din.
,"Hep vazgeçilmez sandın kendini, sence kadarda eşsizdin."
