title,poem_cleaned
Acı Gurbet,
,"Çilelerim köprü oldu Tuna'ya,"
,Dilimden anlamaz kulun Almanya.
,"Döneceğim günü hep saya saya,"
,Ömrümü tüketti yılın Almanya.
,"çıkardın beni batırdın,"
,"Emeğimi yiye yiye bitirdin,"
,"Gençliğimi benden aldın götürdün,"
,Bana kalacak malın Almanya?
,"Yıllar var hasretim, yârana dosta,"
,"Isıcak çorban görmedim tasta,"
,"Sana sağlam geldim, eyledin hasta,"
,"Zıkkım olsun paran, pulun Almanya."
,"El sıraya katışamadım,"
,"Evlat oldum elden tutuşamadım,"
,"Anam, babam öldü yetişemedim,"
,Köyüme uzak yolun Almanya
,"murat almışım, alırım,"
,"Daha vatana hasret kalırım,"
,"Vâde dolar köşende ölürüm,"
,Ârif'i götürür salın Almanya.
,
Acı Salkım,
,Vakit yaklaşıyor toparlan ahbap
,Yarın gün meydanda talan var
,"Nasıl olsa görülecek hesap,"
,Sanma dünyada baki kalan var!
,"Nic'oldu ticaret,hani karımız?"
,Yağmaya gidiyor bütün varımız
,"Görmesek,şahittir kulaklarımız"
,Duymasak kapımızı çalan var
,Haramdan eksik tartıp helalı
,Dengeye getirdik zehirle balı
,Has diye yutturduk en sahte malı
,Sanki kendimizden alan var.
,haklı iş tuttuk doğru sanat
,"Ayağa baş dedik,kuyruğa kanat"
,Komaz yakamızı şol meşhur inat
,"Ağızda gem,arkamızda palan var."
,kuru mantıkla kalmışız yayan
,Menzile varır yerinde sayan
,dünyada ab-ı hayat tatmayan
,"Beklesin,ahrette kevser falan var."
,Bekir Sıtkı'm kalem banıp özüne
,Uykuları haram ettin gözüne...
,Oysa kim aldanır şair sözüne
,Sende dokuz köyden dönmüş yalan var!...
,
Çok Acı Bir Ölüm,
,Amma ölüyorsunuz
,kere doğmakla.
,korkuyorsunuz
,allahın günü yeniden ölerek
,Analar avaza keyifle
,kerede doğururlar çocuklarını
,çocuklar yaşam güzelin ölmeden
,gün yeniden doğarlar güne.
,Amma ölüyorsunuz
,Boy boy ilanlarla utanmadan
,Su su katan kollektif şirketi
,komandit
,limited
,anonim
,holding
,acılı ailesi
,bankası
,şubesi
,Velhasıl sinsilesi
,Ölümde ölümü üretiyorlar
,
Kadın Olmak,
,"Kadın olmak acı verir,"
,"genç kız olduğunuzda, acı verir,"
,"sevgili olduğunuzda, acı verir,"
,"anne olduğunuzda, acı verir,"
,"yeryüzündeki bütün acıların en dayanılmazı,"
,"kadının, gün biteceğini"
,Bilmeden çekmesidir
,Bütün acıları…
,
Düşler ve Umutlar,
,"Düşlerim beni yoruyor rabbim. Sessiz gecede düşlerimi sana emanet etmenin teslimiyeti içinde yüreğime sonbahar dolduruyorum. Yeni başlangıç olması gerekirken ilkbahar, neden güzleri yaşıyor gönlüm? Sevinçlerimin hüzne dönüştüğü mevsimin adı ne? Hüzün neden sevinç oldu? Ayrılıklar neden üzmüyor artık beni? acımasız fikirler zaman girdi aklıma?"
,"puslu yüz bana ait rabbim? doğum günümde nefes nefese aynanın karşısına geçiyorum yıl daha silik buluyorum yüzümü. Gözlerim acı acı gülümserken kaybolanlara, ellerimden sonsuzluk tutuyor. Yenilginin kekremsi tadını hücrelerime çekmeye hazırlanırken, cenneti hayal ediyorum. ömrümün yalanlığını, aşkın tek gerçek olduğunu daha iyi anlıyorum..."
,"Dün şarkı duydum, kalbim acıdı! Neden rabbim? Çehremi aydınlatan nurundan istiyorum şimdi. Ellerim sana açılırken gönlüm hep alemlerin türküsünü söyledi. şeye senin adınla başlarken, dilimden adın düşmezken, kalbim nurundan mahrum kaldı. Affet..."
,"Şimdi yeni umutlarla, senin adınla, yeniden başlıyorum! Biliyorum sen, yeniden başlayanların yardımcısısın. Niyetimi yoluna adıyorum rabbim. Hayallerimden sımsıkı tut, bırakma beni hiçliğin karanlık girdaplarına..."
,
Muhannetin Acı Sözleri,
,Sinem üstü ateş oldu od oldu
,Yakar muhannetin acı sözleri
,Hızır Paşa'nın ettiği derd oldu
,Çıkar muhannetin acı sözleri
,Seni şekva edem Urum Beyine
,Bakmıyon sinemin dağına
,Hançer oldu yüreğimin bağına
,Kakar mahannetin acı sözleri
,Engel geldi aramızda dolaşır
,Yusam çıkmaz kara olmuş bulaşır
,Top top olmuş mah yüzünde dolaşır
,Takar muhannetin acı sözleri
,Muhannet elinden halim pek şaşkın
,Deli gönül gah bulanık gah taşkın
,Gönlümün sarayın kalbimin köşkün
,Yıkar mahannetin acı sözleri
,Pir Sultan Abdal'ım vadem yeterse
,Şah'ım gelir salacamdan tutarsa
,Karış karış üstümde ot biterse
,Çıkar muhannetin acı sözleri
,
Çırak Aranıyor,
