title,poem_cleaned
Mutlu Aşk Yoktur,
,İnsan şeyi elinde tutamaz hiç zaman
,gücünü güçsüzlüğünü yüreğini
,açtım derken kollarını haç olur gölgesi
,sarıldım derken mutluluğuna parçalar şeyi
,Hayatı garip acı dolu ayrılıktır an
,Mutlu aşk yoktur
,Hayatı silahsız askerlere benzer
,kader giyinip kuşanan
,yarar var onlara sabah erken kalkmaktan
,akşamları aylak kararsız insan
,Söyle bunları Hayatım bunca gözyaşı yeter
,Mutlu aşk yoktur
,Güzel aşkım tatlı aşkım kanayan yaram benim
,İçimde taşırım seni yaralı kuş
,bilmeden izler geçiyorken bizleri
,Ardımdan tekrarlayıp ördüğüm sözcükleri
,hemen can verdiler iri gözlerin
,Mutlu aşk yoktur
,Vakit geç artık hayatı öğrenmeye
,Yüreklerimiz birlikte ağlasın sabaha dek
,En küçük şarkı nice mutsuzluk gerek
,ürperişi nice pişmanlıkla ödemek
,Nice hıçkırık gerek gitar ezgisine
,Mutlu aşk yoktur
,tek aşk yoktur acıya garketmesin
,tek aşk yoktur kalpte açmasın yara
,tek aşk yoktur iz bırakmasın insanda
,senden daha fazla değil vatan aşkı
,tek aşk yok yaşayan gözyaşı dökmeksizin
,Mutlu aşk yoktur
,Böyledir ikimizin aşkı
,
Aşk Risalesi,
,uzaklardaydın ey kalbim
,"Uzaklardaydın, sevdiğim uzaklardaydı"
,Ayın yıldızların çağlayarak
,Berrak şelaler yaparak
,Coşku içinde aktığı
,yerlerdeydi.
,Hani gün çobana rastlamıştık
,Adı Ferhat mıydı neydi
,"Koyunların, kuşların, böceklerin çiçeklerin"
,Sadakatten mest oldukları
,Herbirinin gözlerinde
,Kaybolur kayar
,Dalıp gittiğimiz saadet evreni
,Kayaların yüzlerinden okuduğumuz ebedi bilinç
,Bizi çekip almıştı kılcal damarlarımızdan
,Yaslan göğsüme sevdiğim
,Benim gönlüm gök gibidir açık deniz gibidir
,Pas tutmaz benim içim yeryüzü gibidir
,Toprak gibidir
,bulut gibisin
,Ay gibisin güneş bazen
,Usul usul inen
,Yağmur tıpırtılarını
,Dinler
,Dalıp gitmiştik
,konuşuyordun
,İpil ipil yağan yağmur konuşuyordun
,konuklarımızdı
,"Adları Keremdi,Yusuftu, Kaystı"
,Hepside ezelden tanıdıktı dosttu.
,
Aşk,
,tek senin görebileceğin yerden
,sana gülümsüyorum...
,onların duydukları kahkahalarım değil
,aşkı tarif gerekirse sana
,anlatayım
,aşk biliyor musun
,"benim sana yaşadığım,"
,senin durmadan üstüne bastığın...
,
Aşk Masalı,
,Nerde zaman hava çalınsa
,Hoş geldi geçmişteki güzel günler
,Nereye gidersen git günlük tasa
,Bırak şad olsun gönüller
,Beşiktaş'ta gün görmüş bahçede
,Nisan akşamlarının en tatlısı
,Sevdiceğim on dördünü sürmede
,Bende gönüllerin en kanatlısı
,deli....................
,
Aşk yakıyor,
,Gözlerdeki kıvılcımla başlıyor
,Sonra tüm bedeni sarıyor
,Tutuşturup alev alev yakıyor
,Aşk yakıyor aşk acıtıyor
,Ateş olur düşer yüreğine
,Yakar derinden derine
,İpotek koymuştur kalbine
,Aşk yakıyor aşk acıtıyor
,Sızlatır ciğer başları
,Döktürüyor göz yaşları
,Eritir dağları taşları
,Aşk yakıyor aşk acıtıyor
,Umursamaz dengi dengine
,Bakmaz tenine rengine
,Esir ediyor kendine
,Aşk yakıyor aşk acıtıyor
,Hayata kahretirip küstürüyor
,Kaderine isyan etiriyor
,büyük acılar çektiriyor
,Aşk yakıyor aşk acıtıyor
,Seveni sabırsız ediyor
,Kimse söz dinletemiyor
,Düşürür çöllere deli ediyor
,Aşk yakıyor aşk acıtıyor
,Kul tekin aşk güzel diyor
,Tadanları sarhoş ediyor
,demden herkes içiyor
,Aşk yakıyor aşk acıtıyor
,14 04 2015
,
Aşk,
,Açınca baharın dişi gülleri
,rüzgar eser bahçelerde
,Dinle çılgınca....................
,
Aşk Dersi,
,Yabancı televizyon görüncesinde
,Bitkilerin nasıl çiftleştiğin seyrederken ağlıyorum
,Derken aklıma geliyor Güler'le ilk seviştiğimiz
,Orda ağladığımı gülerek hatırlıyorum
,
Aşk Adamı,
,"Dolaştığım denizlerce düşünüyorum,"
,Bineceğim son gemi değil midir
,Hayır sahibi omuzlarda giden tabut.
,"Herkes teselliye muhtaç olsaydım eğer,"
,Derdim ki: 'Elbet ağlayanım olur benim de;
,Ramazan geceleri Ya....................
,
"Aşk, Teknolojik Bir Kelime",
,I.
