title,poem_cleaned
Hasret,
,Şimdi tarlalarda güneş vardır.
,Karlar donmuştur otların uçlarında..
,Artık akşamları dinlenemem
,Başım avuçlarında.
,İçi korku dolu kış gecesi....................
,
Her Şey Sende Gizli,
,"Yerin seni çektiği ağırsın,"
,Kanatların çırpındığı hafif..
,"Kalbinin attığı canlısın,"
,Gözlerinin uzağı gördüğü genç...
,"Sevdiklerin iyisin,"
,Nefret ettiklerin kötü..
,"renk olursa olsun kaşın gözün,"
,Karşındakinin gördüğüdür rengin..
,Yaşadıklarını kâr sayma:
,"Yaşadığın yakınsın sonuna; yaşarsan yaşa,"
,Sevdiğin kadardır ömrün..
,Gülebildiğin mutlusun.
,Üzülme bil ağladığın güleceksin
,"Sakın bitti sanma şeyi,"
,Sevdiğin sevileceksin.
,Güneşin doğuşundadır doğanın sana verdiği değer
,karşındakine değer verdiğin insansın.
,gün yalan söyleyeceksen eğer;
,Bırak karşındaki sana güvendiği inansın.
,"Ay ışığındadır sevgiliye duyulan hasret,"
,sevgiline hasret kaldığın ona yakınsın.
,"Unutma yagmurun yağdığı ıslaksın,"
,Güneşin seni ısıttığı sıcak.
,Kendini yalnız hissetiğin yalnızsın
,güçlü hissettiğin güçlü.
,Kendini güzel hissettiğin güzelsin..
,İşte budur hayat!
,"İşte budur yaşamak,"
,Bunu hatırladığın yaşarsın
,Bunu unuttuğunda aldığın nefes üşürsün
,karşındakini unuttuğun çabuk unutulursun
,"Çiçek sulandığı güzeldir,"
,"Kuşlar ötebildiği sevimli,"
,Bebek ağladığı bebektir.
,"herşeyi öğrendiğin bilirsin,"
,"bunu öğren,"
,Sevdiğin sevilirsin...
,
"Özlem, hasret ciğerimi çok yakar gardaş",
,KARDEŞLERİME
,Gözlerimden yaş boşanıyor yavaş yavaş
,Geçmişe götürdün beni ağlattın gardaş
,Ah hasretlik var canım karındaş
,"Özlem, hasret ciğerimi yakar gardaş"
,Hepiniz benim nazlı çiçeklerimsiniz
,İçiniz bal dolu peteklerimsiniz
,Derdime derman sizler ilaçlarımsınız
,"Özlem, hasret ciğerimi yakar gardaş"
,Gönlüm hep sizinle cismim sizdende uzak
,"Kaderimizmiş, ayrılık, hasretlik bize tuzak"
,zaman sona erecek gece olacak şafak
,"Özlem, hasret ciğerimi yakar gardaş"
,Halil’i gözyaşına boğdun can gardaşım
,Acınızı bana göstermesin Allahtan niyazım
,Sizlerden uzak kalmakmış alınyazım
,"Özlem, hasret ciğerimi yakar gardaş"
,Halil ÇOLAK 14.02.2015
,KAYSERİ
,
Özlem,
,"gece,"
,Gecede uyku..
,Uykunun içinde ben..
,"Uyuyorum,"
,"Uykudayım,"
,Yanımda sen.
,"Uykumun içinde rüya,"
,"Rüyamda gece,"
,Gecede ben..
,"yere gidiyorum,"
,Delice..
,Aklımda sen.
,"seni seviyorum,"
,Gizlice..
,"El-pençe duruyorum,"
,"Yüzüne bakıyorum,"
,"Söylemeden,"
,Tek hece.
,Seni yitiriyorum
,karanlık anda..
,"Birden uyanıyorum,"
,Bakıyorum aydınlık;
,Uyuyorsun yanımda.
,Güzelce..
,
Özlem Beyaz Bir Gül Açar Bağrında,
,Mevsimlere dokunan tebessümün sıcağı
,Sana doğru akmayan ırmağın sığılığıdır
,Gariplerin hüzünle alevlenen ocağı
,Sana doğru süzülen damlanın çığlığıdır
,Maskesi çocukları aldatıyor ömrümün
,"Uyku, çıkmaz sokağın beynine vuran ağrı"
,Uğursuz ellerimde sararıp solmuştu dün
,Bugün bütün çiçekler açıyor sana doğru
,geçtim kanlı badireler şehrinden
,Salyangoz işgaline direnen kalmamıştı
,Çeşmeler simsiyahtı günahların kirinden
,Senden kopan hiç kimse bahtiyar olmamıştı
,Aşkını büyüsüne kapılan kertenkele
,Kabuğunu sıyırmak yollara düştü
,Çevresinde acılar biriken heykele
,Beddua göklerinden bulutlar kara düştü
,Ölülerin sessizce uyandığı yerde
,İhtiyar olmamıştı sana varan bedenler
,"Ayrılık me'yus, kıvranıyor kabirde"
,Bakmamışlar yüzüne yalnız sana gidenler
,
Seni Düşünmek,
,"Seni düşünmek güzel şey, ümitli şey."
,Dünyanın en güzel sesind....................
,
Dudak Payı,
,Çay bardağında
,Bırakılan dudak payı
,
,Uzak kalamam
,Gözlerine
,Yakın olsun isterim
,Ellerime ellerin
