title,poem_cleaned
"Bu Aşk, Bu Şehir, Bu Keder",
,1.
,hoşça kal ayak izim
,serseri sokaklarda
,hoşça kal
,kendine
,gökyüzü büyüten
,kardeşim
,gece feneri
,hoşçakal kal çaldığım
,ıslık
,söylediğim türkü
,doludizgin karlarda.
,hoşça kal
,annemin
,yüzü
,hep beyaz yaşmaklı
,sırı dökülmüş yalnız
,aynada.
,hoşça kal
,dolunayın
,altında
,ıhlamur ağaçlarına
,kazıdığım
,şey
,hoşça kal uzaklarda yanan
,anızların parıltısı hoşça kal.
,2.
,gün gelecek gün
,anı olacak nasılsa
,oturduğumuz masa
,"kum saati, rüzgar, eski"
,komodin
,kırık
,sandalye
,kelepir yürek
,aşk
,nasılsa.
,3.
,hoşça kal ayak izim
,serseri sokaklarda
,hoşça kal
,yarım kalmış
,duvar yazıları
,hoşça kal
,gün gelecek
,akacak yeraltı suları
,hoşça kal
,"yakut, bezirgan, gön"
,hoşça kal eski zaman
,aktarları
,gidiyorum
,şehri yağmuru
,düşleri
,aşkı kavgayı kederi
,size bırakarak.
,
Müfredât 75,
,Kim dünyâda li-vechi'llâh esir âzâd eder
,Âhiretde ol dahi âzâd olup görmez keder
,
Karakavak 1,
,"Kıyıda tahammülfersa çay bahçeleri,"
,Sıcak güneşte parlayan semaverler
,olmayacak..böyle gitmeyecek
,"Çoraklaştı bayırlar, çoraklaştı yer"
,hatırlar gibiyim çiçekleri....
,uğultudan nasıl ayrılır kederim?
,"Savrulurken tipi kent üzerinde kışın,"
,"Keder savrulsaydı ya..Hayır bilirim onu, kalır"
,Savrulmaz bilirim beni kül eder keder
,Uzakta çay bahçeleri yerde çerçöp
,"Gittiğimin farkında olsaydı eğer,"
,"Yeterdi bana, beklemiyordum özlenmeyi"
,kanıt istiyorum şimdi yorum
,Derin keder şimdi duyduğum
,Unutulmuş tren istasyonlarında ağaçlara
,Benzemek degildi hiç dileğim.....
,"Mahzun saksağanların konuk olduğu,"
,"karakavağım şimdi,"
,"Kentte tahammülfersa çay bahçeleri,"
,Oturmuş denize bakan insanlar.....
,"Burda Unutulmuş Sultan Aziz İstasyonu,"
,"Ben, demiryolu yanında karakavak"
,Nergis lale tarlalarına hayli uzak.
,Antalya 2001
,
Keder var KEDER,
,"Keder var var,keder, göçtü büyük lider."
,"Cennet'e dğoru, uçtu YAZICIOĞLU."
,"Keder var keder, öksüz bıraktı lider."
,"Mevlâ'ya doğru,uçtu YAZICIOĞLU."
,"Keder var keder,inandığımız gerçek lider."
,"Bizi yas'a boğdu,YAZICIOĞLU."
,"keder, '' TÜRK'üm '' diyeni üzer."
,"Keder var keder,gidişi CİĞER DELER."
,
Izdırap,
,"Takıldı boğaza çıkmadı sözü,"
,"İki damla yaşla ıslandı gözü,"
,"Hülasa dostlarım işin özü,"
,Bulaştığı yeri bitirir keder!
