title,poem_cleaned
Aşk Değil Nefret Değil,
,beynindeki ağları kalbime örmeyeceksin
,sevgi dolu yalanlarını söylemeyeceksin
,sevgim öyle çöktü altında ezileceksin
,artık benim nefretim değilsin
,duygu duygu
,düş değil gerçek değil
,duygu duygu
,aşk değil nefret değil
,benim artık
,koskoca boşluksun
,düşünmeden yaşanılmış
,kötü sarhoşluksun
,içimdeki boşluğa el sürmeyeceksin
,artık benden iz görmeyeceksin
,öylesine uzağım erişemeyeceksin
,artık benim nefretim değilsin
,
Ayrılık Havası,
,nefret eyledim sizin gerçekten
,"Yalanı severim, yalanı gayrı.."
,"Tiksindim bülbülden, gülden, çiçekten"
,"Yılanı severim, yılanı gayrı.."
,'Sapıtmış bu' diye beni yeriniz
,Hakkımda bin türlü hüküm veriniz
,Omuzumda yüktür dirileriniz
,"Öleni severim, öleni gayrı.."
,Uzun yaşamayı saymadım sanat
,"Kurda yürek oldum,kartala kanat"
,Oturup ağlayan korkağa inat
,"Güleni severim, güleni gayrı.."
,İyinin ardından 'kötü' demezdim
,Kötünün elinden ekmek yemezdim
,Birlikten kopana selâm vermezdim
,"Böleni severim, böleni gayrı.."
,Yıllarca boş yere canımı sıktım
,"Nihayet yol buldum, çığırdan çıktım"
,"'Bey'den, 'efendi'den, 'sayın'dan bıktım"
,"'Ulan'ı severim, 'ulan'ı gayrı.."
,(Vur Emri)
,
Ağlamak Güzeldir,
,Ağlamak güzeldir
,Süzülürken yaşlar gözünden
,Sakın utanma
,Ağlamak öfke delice nefret
,Doruklarda aşk doyumsuz sevinç
,Kahreden keder kısaca hayat
,nefesindir nefesindir
,Ağlamak geçici dünyada
,Herşeye rağmen varolmak demek
,Ağlamak yaşanan binlerce duygu
,İnsanca coşkunun güzel şeyidir
,Ağlamak senin kara dünyada
,sevdiğin hissettiğin
,Tüm güzelliğin çirkinliğinle
,Var olduğundur var olduğundur
,
Yalnızlık / Osman Tuğlu Çevirisi,
,Yalnızlık benzer yağmura.
,Yükselir denizden akşamlara;
,"çıkar göklere, ırak ücra"
,ovalardan zaman yerine.
,dökülür gökten şehrin üzerine.
,"Tüm sokakların yüzü sabaha çevrilirken,"
,şey bulamamış bedenler
,birbirilerinden hüsranla mutsuz ayrılırken;
,biri diğerinden nefret edenler
,yatakta beraber uyumaya mecbur kalırken
,aradaki saatlere yağar:
,Yalnızlık sonra ırmaklarla akar.
,Çeviri: Osman Tuğlu
,
Gel ogul,
,Gel oğul
,Gel oğul gel gerçeği gör elin vicdanında olsun
,Kin nefret dolu gözden millete Hayır gelmez
,Keder geliyorum demez ağlaki gözlerin dolsun
,Kin nefret dolu özler sevmeden mahşerde gülmez
,Candan geçip serem deme ilmi kullan hakkı bulsun
,Geçme benlik kapısından yaş dökki gözlerin dolsun
,Edep erkânla yürü adaptan haberin olsun
,Kin nefret dolu gözden millete Hayır gelmez
,Çıkma dağın zirvesine düşüp kolunu kırasının
,Hakikatı unutunca Mazluma hesap sorarsın
,Yamaclarda geze geze genç bedeni yorarsın
,Kin nefret dolu özler sevmeden mahşerde gülmez
,Akıllı ol Uyma nefse seni taştan taşa çalar
,Öldü diye Ağlayanlar saçını başını yolar
,Aklını başından alır kalbine gül güle dolar
,Kin nefret dolu gözden millete Hayır gelmez
,Ferit Battal
,
Ham Sofu,
,"Zahir kusur sakalsızlık,"
,"Nefret eder sofu benden,"
,"Batınıma vakıf değil,"
,"Nefret eder sofu benden,"
,"Vakıf olsa batınıma,"
,"Sofu gelmez hiç yanıma,"
,"gördükçe meydan okur,"
,"Nefret eder sofu benden,"
,"Ölçer biçer dış görüşle,"
