title,poem_cleaned
Yıkıntı Ve Çöküntüyü Yaşamak,
,"Başta,sevinç getirir kısa süre"
,Ortada sonda yıkıntıyı yaşamanın
,"Adı,Aşk'tır"
,"Hatta geriye sarıp kaseti,"
,ömür dolduran coşku haseti
,yaman çöküntüyü yaşamanın
,"Adı,Aşktır"
,
"Üzünç, Sevgilim ya da Nane Otları",
,gençken renkli cepken sevgilim
,çift bıçaklı sevinç
,unuttum diye şarkı
,gençken renkli cepken sevgilim
,önüne çıkan ata binme
,doğudan gelen kimsesiz tekne
,ona hüzün demeyi artık öğrendin
,kuzeyden gelen çift bıçaklı sevinç
,karıştırma daha fazla otları
,bak öğle güneşi
,şapkanı indir
,karıştırma sevgi....................
,
Sone 75,
,"an sevinç duyarken, korkuyorum sonra hemen,"
,Haydut yıllar çalar götürür diye hazinemi;
,"an, başbaşa kalmaktan öte şey istemezken,"
,"Sonra diyorum ki, alem niye görmesin sevincimi?"
,"Bazan, sana baka baka kendime çektiğim ziyafetle,"
,"Doydum sanırken, bakışın açlığıyla ölüyorum sonra,"
,"Senin bana verdiğin verebileceğinden öte,"
,"şeyden zevk alıyorum, çabalıyorum almaya."
,"İşte böyle, gün açlıktan ölüyor, tıkanıyorum;"
,"oburca şeyi yiyorum, hiçbir şeye dokunmuyorum."
,
Duyumsadığın Her Şeye,
,Duyumsadığın şeye
,En küçük önemi ver.
,Söylemişti sensiz yaşayamayacağını
,"Unutma bunu, yeniden rastlarsan ona"
,Tanıyacaktır seni.
,"Bana iyilik yap, sevme beni"
,Son kez sevildiğimde
,Duymamıştım en küçük sevinç bile.
,(turgay fişekçi)
,
Artık Umut Örüyoruz,
,bedel verdik
,acılar çektik
,Zindanlarda tutsak kaldık
,Sevinç nedir yaşayamadık
,Uğrunda öldüğümüz
,Kendi topraklarımızda yılarca esir kaldık
,yakılan-yıkılan yerler gördük
,katliamlara şahit olduk
,"Kanayan yüreklere, dertlere, çığlıklara alıştık"
,"Ağıtlara, hüzne rağmen"
,Özlediğimiz özgürlük
,Yüreğimizde sevda boy verdi
,Artık umut örüyoruz
,Gelecek şafakla doğacak güneşi bekliyoruz
,"Düşman kentleri, köyleri yıktı"
,Işıkları karartı
,Yüreğimizi kanattı
,Bizde huzur
,Nede sevinç kaldı
,"Çoluk-çocuk, kadın"
,"Genç, yaşlı, hasta demeden çoğunu katletti"
,Zor gönlerden geliyoruz
,zor günlerden
,Digor
,Cizre
,Silvan
,Kızıltepe taranırken
,kıyımlar yaşandı
,Bununla beraber
,Özgürlük kavgasında
,Yarınları bizlere vadeden
,yiğitler tanıdık kahramanlarla tanıştık
,Zifir gecelerden yıldızlar döküldü
,katliamlar oldu
,Katiller duysunlar
,aydınlığa sevdalıyız
,Yüreğimizi saran hasretle güneşe koşuyoruz
,08.01.2015
,İstanbul
,
Kara Sevda,
,... nihayet gelip çattı
,dilimi zehir zıkkım
,dilimi candan tatlı
,Masallarla indi yere
,Sebil oldu cümle hikâyelere
,Kar....................
,
İşte Sessizlik Sesimizle Buluşuyor,
,İşte sessizlik sesimizle buluşuyor
,Farkında olmasak
,şarkılar üzünç iklimi
,Harfler harfler harfler
,Harflerin yarattığı mutluluk bu...
,İşte sessizlik sesimizle çarpışıyor
,Tam karşında tutkunluk
,Tam karşımda gül
,Tam karşında özlem
,Tam karşımda vurgunluğum
,Tam karşında süvarin
,Tam karşımda sevinç
,Karşı karşıya aşk
,"Sözcüklerin taşıdığı duygular,"
,Değiştiriyor insanı yapsan
,Gözlerin görmeye başlıyor
,Kulaklarım işitmeye
,"Yüreklerimiz çarpmaya, coşkulu"
,"Yorgunluk, unutkanlığa yazdırıyor kendini"
,kılıncımı bıraktım
,kalkanını
,Pusatsız kaldık işte...
,Aşk aşk aşk
,Yengisi gövdesine saklı
,Yenilgisi de...
,
Sevinmeyi Bilenlerin Şiiri,
,Sevinç bizim güneşte üzümlerden
,Sabah işe giderken
,Düş diye süzdüğümüz güzelliktir
,Başını döndürür bekletirsen
,Ortanca çiçeğinin gölgesine
,Bize görünmeden sığınıveren
,Küçücük böceğin çıtırtılı sessizliği
,Simgesidir bitmez çabamızın
,Seni sevmek gibidir
,Çınar sanki mektubunu getiren
,güleç dalgacı arkadaştır
,Naneler üstünde yatacağımız halı
,Derenin sesi tren sesidir.
,Aşk bizim dokunuşta
,Ölür sarsıldığımız şeydir.
,
İmkansız Tesadüfler,
,Cahit Sıtkı Tarancı'ya-
,"Susamis, analara, ogullara, kizlara kardesim,"
,"Su,"
,Susamis vakte.
,Şimdi çıkıverecek karşıma arkad....................
,
Kasımpatı,
,Göl çevresinde tek kasımpatı...
,"Ölüm eğrisi tırmanışta şimdi,"
,"Hergün gözlerinin ekranında, Tavan çizerken güzellik eğrisi."
,"ikisini yaşadığından,"
,Farkında güzelliğin ölümün.
,"Beyaz, lekesiz kasımpatı..."
,Göl kıyısında toz çalılar...
,"Bâtın gölünde oynaşan balıklar,"
,"Belki böyle göl yok,"
,Çamur çalılar hayâl.
,Yalnız varolan Kasımpatı...
,"Göl kıyısında kaynaşarak,"
,"Karışmakta ümit, sevinç melâl."
,
Yüreğimde Bir Sevinç Var,
,"sevinç var yüreğimde,"
,"gözleri gül güzelliğinde hüzünlü,"
,"koşar oynar sevinçle düşlerimde,"
,"sevinç var yüreğimde,"
,"kordon boyunda adımlarken el ele,"
,"gözlerinde tatlı gülümseme,"
,sevinç var geceden bende
,"sevgi olup yağarken gökyüzünden yağmur,"
,"seviç coşar yüreğimde,"
,güneşe dönen
,"güne bakan çiçekleri gülümsemesinde,"
,sevinç var titrek bedenimde
,"umut olup beslenirken dizelerle şiir mısraları,"
,mısraların güzelliğine düşmüş
,"sevda dolu sevinç var yüreğimde,"
,"uzanır ellerim karşıyakadan,"
,"konak meydanında,"
,sahile sıralanmış güzeller
,"arasından gelen yüreğime sevinç var,"
,bakınca deryaya gülümserken
,"gül güzelliğinde hüzünleri,"
,düşlerim hasret ateşineteşine dönüşmemiş
,sevda alevinde sevinç var
,sevgimdedeki bulutları dağıtan
,"sevinç var duygularımda,"
,
Sevinç Kavuk ve Yaşar Gürlek.1. MSN atışması,
,"güzeldir havası, bizim ellerin"
,"başkadır kokusu, gonca güllerin"
,"hoştur sedası, şen bülbüllerin"
,"hasretlik revamıdır, be sevinç hanım…..yaşarî"
,"türlü varımızı, taşıdım vatandan"
,"Buralara gelmemin, suçunu unuttum"
,"Yıl yıl burada, sorunlara tarandım"
,"Göz, kulak kesiliydim vatana, bil be yaşarî…….Sevinç"
,"Nedir bizim suçumuz, günahımız"
,"Lânet olsun buraya, geldiğim güne"
,"Hasret acı, çilelerle, geldik bugüne"
,"acılar revamıdır, be sevinç hanım…..yaşarî"
,"çoçuk idim, alıp geldiler"
,"Geri dönmek istedim, göndermediler"
,"evim dedikçe, teselli kesildiler"
,"Benim canım vatanda, bil be yaşarî……..Sevinç"
,Ay yıldızlı bayrağım ezan sesleri
,Buralar’da geçir’dik bütün testleri
,Verdi gavur bize tür dersleri
,"Bunlar bize revamıdır, be sevinç hanım…..yaşarî"
,"Emeğim çalınmaz, verdim onu"
,"Sevdam acı, aşkım felçti, dayandım"
,"Burası ülkem, ülküm edemedim"
,"Benim özüm vatanda, bil be yaşarî……..Sevinç"
,"Sosyal hakmış diye, benden aldılar"
,"Maaşımın yarısını bölüp! , inan çaldılar"
,"Yaban’cıyız diye hep, hor gördüler"
,"oyunlar revamıdır, be sevinç hanım…..yaşarî"
,"düzeni burada böyle, kurmuşlar"
,"Bunlar artık düzenbazın, piri olmuşlar"
,"Sanki bize yerde, kota koymuşlar"
,"Yabanlıkları kahırdır, dayan be yaşarî……..Sevinç"
,"Hadi bizden vatana, bol selam olsun"
,"Vatanımda milletimin, yüzleri gülsün"
,"Bize zulüm edenlerin, hep gülü solsun"
,"kurbanım vatanıma, be sevinç hanım…..yaşarî"
,Nisan 2006…Almanya – Hollanda
,
Sevinç,
,"İbadette duyduğum sevinç gözüm yaşaında,"
,"Bismillahı söylerim,başlamadan işimde,"
,"Bilirim melun Şeytan an gezer peşimde,"
,"hayır iş yapmışsam,o gün içimde sevinç..."
,"sevinç varki kalpte,arşı titretir sesi,"
,"sevinç Rabbi'min rahmetinden nefesi,"
,"Sevinçle vurdu Musa suyu yardı asası,"
,Rahman'ını anmışsa an ordadır sevinç...
,
Kavak Yelleri…,
,Eylül’de aşk solmuş yapraklar
,Yağmuru gençliğin biten balları
,Kandıran heyecan tadar dudaklar
,sevinç başımda kavak yelleri
,Güneş aynı yerde aklıma perde
,Son mahsulü verir toprak loğusa
,Sonbahar konuşur duymayan darda
,sevinç başımda kavak yelleri
,Hummalı hazırlık ecel şerbeti
,Kışını bekliyor saklar lezzeti
,Yabancıyım sanki görmem sureti
,sevinç başımda kavak yelleri
,Ruhumda yok veda tenim sonbahar
,Yaşamaya razı olsa beter
,Hiç bitmeyecekmiş seher
,sevinç başımda kavak yelleri
,
Cennet’ten Atam gözler-yüreğim seni özler Sana doğru döndükçe-sevinç duyar o gözler,
,Güneş nur saçtın -o manalı gözlere
,Işık oldun Kemal'im- nur dolu yüzlere
,öğrettin canlara-o binlere saygıyı
,İçimizden sizinle-hepten attık kaygıyı
,Cennet’ten Atam gözler-yüreğim seni özler
,Sana doğru döndükçe-sevinç duyar gözler
,Cahilliği sözünle-sağ koymadın hakladın
,Öğrenciyi sınıfta-hep sayarak yokladın
,Bilgilerin bizlere- güneş oldu ruhlara
,Dağ taşlar dayanmadı-o çektiğin ahlara
,Cennet’ten Atam gözler-yüreğim seni özler
,Sana doğru döndükçe-sevinç duyar gözler
,Türkiye'yi sevdirdin-hep harfleri öğrettin
,Zorluklardan yılmadın-zevk duyarak eğittin
,Sorardınız bizleri-hep gülerdin daima
,Merhem oldun ruhlara-Senle düzeldi yama
,Cennet’ten Atam gözler-yüreğim seni özler
,Sana doğru döndükçe-sevinç duyar gözler
,Ümitliyim mutluyum- bitecek dertlerimiz
,Yetişen yeni nesle-hep örnek oldunuz
,Türk Gençliği azimli-çalışacak gülecek
,Vatan bayrak için-gerekirse ölecek
,Cennet’ten Atam gözler-yüreğim seni özler
,Sana doğru döndükçe-sevinç duyar gözler
,Yetiştirdin çocuğu -mühendisi doktoru
,Cevap verdin herkese- bırakmadın hiç soru
,Yöneteni yargıcı- yaşattın yetiştirip
,Su verdin çiçek oldu- bütün ruhlara girip
,Cennet’ten Atam gözler-yüreğim seni özler
,Sana doğru döndükçe-sevinç duyar gözler
,Emek verdin Türk'üme-hür şekilde yaşarım
,Senin coşkun sevginle-ileriye koşarım
,Sevdan bizi yüceltti-geliştirdi büyüttü
,Ruhumuzu yukarı-düşüncelerin itti
,Cennet’ten Atam gözler-yüreğim seni özler
,Sana doğru döndükçe-sevinç duyar gözler
,Büyük güçlüsünüz- inanç sizde topyekün
,Burçlardan yükseliyor- yüzyıllara gider ün
,Seni anlar çocuk genç- ruhlardasın daima
,Öğretmen Hasan söyler-son verdin yurtta gama
,Cennet’ten Atam gözler-yüreğim seni özler
,Sana doğru döndükçe-sevinç duyar gözler
,
Mutlu olurum,
,İsminin harfini gördükçe
,Mutlu olurum sevinç duyarım
,Yüzümü toprağına sürdükçe
,Mutlu olurum seviç duyarım
,yırtık fotoğrafına baktıkça
,Aşkın hasreti beni yaktıkça
,Gözlerimden yaşlar sel aktıkça
,Mutlu olurum sevinç duyarım
,Yar sözlerin aklıma geldikçe
,Hasret kalbi ok deldikçe
,Sevgin aklı başımdan çeldikçe
,Mutlu olurum sevinç duyarım
,Girersin yar gece rüyama
,Neşe tat verirsin dünyama
,Sevgin yakıyor beni yar
,Mutlu olurum sevinç duyarım
,
Sevgi Be Sevinc,
,Ufkunda mehtabin hep acik olsun
,senin yuregine mutluluk dolsun
,Aglamasin guzel gozlerin gulsun
,istedigin mutluluk be sevinc
,Dert keder gelip kapin calmasin
,Sevgisiz gonuller sahin olmasin
,gunun nese dolsun ahin olmasin
,istedigin sevgi be sevinc
,Cokmu uzak sanki tum umutlar
,Hep mavi olsun sana bulutlar
,Gonul tabulari hepmi sustular
,istedigin gulmek be sevinc
,Sarap olur dukulursun hep dudaklara
,Serap olur bakilirsin cok uzaklara
,Harap olup yakilma bak tuzaklara
,istedigin mutluluk be sevinc
,Cok derinden dokersin gonul nameni
,Ask atesi korludur yakmasin seni
,Yaşarî neylesin boyle beni
,istedigin huzurdur be sevinc
,Yaşarî den selam olsun arkadasima
,Felek ortak oldu benim ekmek asima
,Gelmedik dert kalmadi garip basima
,istedigim huzur be sevinc…
,01-04-2006
,ROTTERDAM
,HOLLANDA
,
Ayşe'ye,
,Mini miniydin ilkokulda
,"Siyah önlük beyaz yaka,"
,Aradan yıllar geçti
,Değildir şaka
,Tek ümidimizsin
,"Neyim var başka,"
,"sevinç var içimde tarifsiz,"
,sevinç var bambaşka
,"ondokuz yıllık emeksin,"
,"Peri desem değil,"
,meleksin
,"Tanrıdan istediğim dileksin,"
,"İçimizde çarpan yüreksin,"
,"Yuvamızda açan çiçeksin,"
,"Senindir sevinç,"
,"Senindir neşe,"
,Başarını yürekten kutlarım Ayşe.
,(Lise'yi bitirdiği yıl sevgili kızım Ayşe'ye)
,Antakya -Hatay 12. 06. 1984
,
Eski Trenler,
,Nerde tren görsem
,İçimde belirir sevinç hüzün
,Birlikte
,Çocukluğumun çağrışımı
,Umutları taşıyan eski trenlerde
,Raylarda kenetlenirdi
,Umutlar sevinçler
,raylarda çözülürdü
,Sevinç hüzün
,Birlikte
,Kimi giderdi gurbete
,Bakışlar takılırdı istasyon kaldırımlarına
,Kimi gelirdi gurbetten
,Sevinçleri takılırdı tren düdüğüne
,Kiminin vardı gurbete gideni
,Kiminin vardı döneni
,Hareket memurunun düdüğü
,Başlatırdı ayracı
,Götürürdü trenler
,Sevinç hüzünü
,Birlikte.
,(07.06.1989)
,
"Sevinç, sessizlikti...",
,"Sevinç, çocuğun"
,gözlerindeydi parlayarak.
,sonsuz atmosferde kanat çırparak
,uçuyordu kelebek rengarenk...
,Yırtılacak diye tutamadığın
,kanattı sessizliğin adı
,sevinçti sessizlik.
,Yakalayamadığın çocuğun gözleriydi
,yıldızlara dokunamayacağın
,gerçek olan...
,"Tutamazsın, zarar veremezsin."
,"yırt, yırtabilirsen çocuğun gözlerini"
,"yakala, yakalayabilirsen sessizliği..."
,"Sevinç,"
,sessizlik
,"sevinç,"
,çocuğun gözleri
,tut tutabilirsen ellerinle.
,Gözlerinle tutamazsan
,ulaşamazsın çocuğun gözlerine...
,
Bayramlık 9,
,Kendini kardelen çiçeği say
,Yokluğun herkese umut olsun
,Varlığın büyük sevinç
,
Annem,
,"Canım,hayatım,benim güzel Annem"
,"Ümidim,hasretim,tek,biricik Annem"
,"Sevinç mutluluk inan sendin,Annem"
,"Geri dön,hastayım.Özledim tanem"
,
Coşkun Mutlu Beye,
,COŞKUN MUTLU BEY’E
,Coşkun Mutlu Beyin yazdığı “Sivas’a Selam Olsun” Şiirine Nazire
,Coşkun gardaşım yazmış dosta selam diyerek
,Yürekteki sevdayı saklayıp silmeyerek
,daha görmek çırpınmaz yürek
,-Gönlünüze mutluluk sevgi neşe dolsun
,-Acıkuyu’lu Gardaş aleykümselâm olsun
,Dost kıymeti bilenler zaman benimsenir
,Böyle vefalı dostun takdirine denir
,Aynı yolun sonunda birlikte gülümsenir
,-Gönlünüze mutluluk sevinç neşe dolsun
,-Acıkuyu’lu Gardaş aleykümselâm olsun
,Şereflikoçhisar’dan selam salıp ses vermiş
,Kalbindeki özlemi yazıp ortaya sermiş
,Sultanşehir Sivas’ta Aşık Ruhsat’ı görmüş
,-Gönlünüze mutluluk sevinç neşe dolsun
