title,poem_cleaned
Ağaç,
,"Ağacım, dört kol çengi kıyamet"
,dalımda memleket
,Uzar kollarım uzar ....................
,
Duman Çıkaran Ağaç,
,avcı geyik orman
,Yaklaşınca bütün kuşlarını birden uçuran
,tılsımlı söz ağacı
,Tırmanıp en yüksek dalından kopardım
,mahcup tiz sesli kavalı
,Alevli rüzgarlı dalından
,üflüyorum odamda şimdi
,Daracık sokaklarda
,Surlarda
,Eski tramvaylarda
,inançla çalışır
,bilirsem beklemesini
,Gün gelir - Tanrı' nın bağış vakti
,Belki çıkarırım ucundan
,ispinoz
,kaç tüy
,dumanların içinden
,Hak edilmiş ezgi.
,
Zehirli Ağaç,
,"Kızmıştım dostuma,"
,"Açıldım ona, kızgınlığım geçti,"
,hasmıma kızdım
,"Söyleyemedim, kızgınlığım aştı beni,"
,"kızgınlığımı; suladım korkularımla,"
,"Gözyaşlarımla gece gündüz,"
,"Güneşlettim gülümsemelerle,"
,"Oyunlarla, yalanlarla, hilelerle,"
,"Büyüdü biteviye günden güne,"
,"Parıldayan elma oldu dalında,"
,"Hasmım farkına vardı,"
,"Benim elmamdı, biliyordu,"
,"Kutup yıldızının şavkının perdelendiği gece,"
,"Girdi bahçeme elmamı yedi,"
,"Sabah olduğunda gördüm ki,"
,Hasmım ağacın altında yatıyordu sereserpe.
,Hangi uzak yarlarda hangi uzak göklerde
,Kurban edildi gözlerindeki ateş?
,Hangi kanatlar erişebilir ona?
,Hangi el kavrayabilir ateşi?
,hangi güç hangi beceri
,Bükebilirdi kaslarını yüreğinin?
,"Ve, yüreğin çarpmaya başladığında,"
,Hangi dehşetli el hangi dehşetli ayaklar?
,
Bir Kız,
,Ellerime girdi ağaç
,"Suyu kollarıma yürüdü,"
,Göğsümde boy verdi ağaç -
,"Aşağı doğru,"
,"Dallar dallanır benden, kollar gibi."
,"Ağaçsın sen,"
,"Yosunsun sen,"
,Üzerinden yeller esen menekşesin.
,"çocuksun - kadarcık,"
,Bütün bunlar umurunda dünyanın.
,
Herkes Yorgun ,
,Herkes dinlenmek istiyor...
,"Yorgun bedenleri, yorgun düşleri, yorgun düşünceleri."
,ağaç gölgesi huzur veren insanlarda.
,"Sıcak ellerde, şefkatli dillerde, güven kokusuyla, huzur uykusuyla, yıpranmış gözlerini kapatıp, omuzuna yaslanmak orda yaşlanmak istercesine..."
,
Gel Çadır Kur,
,"Hiçbir kuşun, üstüne konmadığı ağaç;"
,Ömrüm; diye kondun ağacın üstüne?
,"Sana kim dedi ömrüm kuşa, şarkıya muhtaç?"
,Hiçbir kuşun üstüne konmadığı ağaç;
,gün ahenkte söylediğin şark....................
,
Rektör Müsveddesine,
,"Bugün lüks otomobilde, yarın ağaç saldasın,"
,"Söyle be ağzı bozuk, hangi kanaldasın? .."
,"Dolaşıp duruyorsun, serçe misin karga mı? .."
,"Şimdiki yerin belli, yarın hangi daldasın? .."
,14.08.2008
,
Birikime İnanmak,
,Dalgayı haber veren yakamoz
,kimin gözüne çarpar kıyıda?
,Çiçeğe durduğunu kim ayırt eder
,tepeden tırnağa giyinmeden ağaç?
,Kimin dikkatini çeker küçücük bulut
,güneşi kapatmadan önce?
,
Palmiye,
,ağaç olabilseydim palmiye olmak isterdim. Belki benim cahilliğimdir bilmiyorum palmiye ormanı diye şey duymadım hiç. En azından benim ülkemde yok palmiye ormanı. Birbirine yakın dikilmiş olanların arasında hep ciddi mesafe oluyor. Palmiye deyince aklıma yalnız mağrur ağaç geliyor. Tek ağaç. Birden fazla palmiyeyi aynı anda hayal etmekte zorlanıyorum. Tek ağaç.. Tek işe yaramaz…
,"Kendisinden beklentilerin en düşük olduğu ağaç galiba palmiye. meyvesi var, dalları işe yarar zavallı, ip gölgesi derde deva olur. Palmiyeden yapılan mobilyanın iyi olduğunu yapraklarının bilmem hastalığına iyi geldiğini gölgesinde serin huzurlu öğle uykusu çekilebildiğini hiç duymadım. Kessek gövdesinin boka yarayacağını zannetmiyorum. Üstelik neredeyse hiçbir işe yaramıyor olmasına rağmen yaprakları olabildiğince yukarda, kibirli artist.. Velhasıl işe yaramaz kelimesini palmiyeye yakıştırabiliyorum kendime…"
,"Evrene huzurunuzda mesajımı iletiyorum. Reenkarnasyon diye şey varsa eğer, sonraki hayatımı palmiye olarak geçirmek istiyorum. Amin…"
,
Ağaç  da şefkat Güneşi gönlüme,
,Ağaç şefkat Güneşi gönlüme
,Ağaç şefkat güneşi gönlüme
,Kuşlar ...
,Ağaç şefkat güneşi gönlüme
,Ağaçta dik duruş
,Ağaçta fedakarlık...
,Gözlerim dinlenir yeşil dallarında
,meyve verir
,neşelidir kuşları
,kuşlar ağaç şefkat güneşi gönlüme
,Şehir kapkara taş gönüllü gönlüme
,Tek ağaç şefkat güneşi gönlüme...
,Kıymeti bilinmedi şehirde ağacın
,Dalını kestiler gövdesini çizdiler
,Gönlüme tek gülüyor şehirde
,Ağaçlar çağırır bulutları göklerime
,Serinlik düşürür ömrüme
,Ağaçları sevdim
,Gönlüm saf duru oluşunu sevdim
,Ağaç şehir kovuyor seni beni
,Havlıyor köpek gibi...
,ağaç şefkat güneşi gönlüme şehirde
,şehir varsın bilmesin kıymetini
,taif şehir bilmez kim altın kim gümüş
,yaz günü
,Gölgelerken köpeğin yavrularını
,mutluydu ağaç
,Ormanlar ona kucak aç
,Ona bana
,Ağaçta aşk var maviliğe uzar maviliğe
,Ağaç şefkat güneşi gönlüme
,Meyve sayısınca yaprak sayısınca
,Hecelerim göklerdeki maviliği...
,bilsin nankörse şehir
,Taif bilmez gül koklamayı
,şehirde ağaçlar gönlüm dertli
,Ah şehir Taif
,şehrin zindanındayız yusufuz ey ağaç
,ormana köyüme yakup bekleyen var bizi
,Koca çınar büyüyor göğsümde
,şehir Taif yabancı göğsümde güle
,Gönlümü ağaçları taşlıyor şehir
,Tek ağaç şefkat güneşi gönlüme
,Bilmez şehir kıymet bilmez...
,Ah şehir Taif
,Maviliğe aşk var gönlümde ağaçlarda...
,Bilmez şehir kıymet bilmez...
,Maviliğe koşar adım adım uzayışlarını sevdim ağaçların
,şehirde tek ağaçta şefkat güneşi gönlüme
,şehir Taif cahil nasipsiz
,Şehir görmese
,Ağaç şefkat güneşisin gönlüm
,İmanlı insan gibisin şehirde ey ağaç
,Dik duruşunu sevdim şehirde
,ayakta ölüşünü
,şehir sevmez dik duranı
,şehir Taif haşin
,şehir mısır Zelihalı zindanlı
,Andolsun yakub’a döneceğim ...
,şehir Taif hırsız
,Ah dişleri kanlı şehirsin
,ağaçlar devrildi gönlüm sende
,Şehir ey kirli fikirli şehir
,Ağaç imanlıdır yeşil zikirli
,Diri canlı gönül
,İmanlı kişi altın fikirli...
,taif şehir bilmese
,Ağaç şefkat güneşisin gönlüm gibisin
,bahar yaprak yaprak yeşil gülüşünü sevdim
,Gönlüm göklere yeşil yeşil güler
,Ağaç şefkat güneşisin gönlüm
,Ah şehir dişlerin kanlı
,Şehir insafa gelmez
,Gör aşikar gizliyi
,Haydi gel gidelim artık ağaç
,Andolsun yakub’a döneceğim ...
,şehir sarhoş bulamaz doğru çizgiyi
,Ey ağaç ey şefkat güneşi
,Gidelim şehirden körden kaçalım
,deli yakanı kurtar
,Selleri deli rüzğarı kör...
,Andolsun yakub’a döneceğim ...
,Yeşil ormanlar bulalım
,Yayalalara hicret edelim
,Sevgili bakar kayalıklar seyredelim uzaktan
,Yeşilliğin serin denizine gidelim
,yangından çıkalım gel ağaç
,şehir mısır Zelihalı zindanlı
,Andolsun yakub’a döneceğim ...
,Arkadaş ol gönlüm senin dostun ağaç
,Derdiniz aynı sevdanız aynı
,Meyve meyve güzelleşirsiniz
,Ağaç ey şefkat güneşi
,Ah dişleri kanlı şehrin
,Dikenli elleri zehirli dili var
,ağaçlar devrildi gönlüm şehirde
,Kaldım gitti şehirde
,Hikmeti bilsem Allahım
,mısır taif şehir
,Andolsun yakub’a döneceğim ...
,Şehir görmese
,güzel yaratmış yaradan seni
,Saygım sonsuz elif oluşuna
,Ey ağaç ey şefkat güneşi
,Gönlüm dal dal duadasın hep
,Neden kestiler dallarını...
,Kestiler dualarını
,Gönlümün sesine nefesine kafes şehir
,İkimizi üzdü şehir
,Andolsun yakub’a döneceğim ...
,Anla
,şehir kovuyor bizi
,şehir kör.anla arkadaş sarıl bana artık
,şehrin dişleri kanlı sana gönlüme düşmanlığı var
,Gidelim gel
,Yeşile ağaca düşmanlığın
,Gözün çıksın şehir
,Leylanın gözleri yeşil değil
,Ey mecnun dost sana ağaç
,Ağaç şefkat güneşi
,Şehir görmese
,ağaç şefkat güneşi
,ağaç derviş gönüllü
,vatanda
,Gözün çıksın şehir
,Ağaç dost kuşlar dost maviliğe
,Neden kovdun ağaçları kuşları
,Canavarlaşan şehir
,Babadır ağaçlarımız
,vatanda
,Ağaçlar şefkat güneşi oldu bize vatanda
,Şehir körsün
,Andolsun yakub’a döneceğim ...
,Gözün çıksın şehir
,Ey şehir dişlerin kanlı
,Andolsun yakub’a döneceğim ...
,Yedin bitirdin ciğerimi
,Canavarlaşan şehirsin
,Ağaçlar kuşlar dost maviliğe
,kestin ağaçların dallarını
,Onlardı ağacın duaları
,benim dualarım nerede
,Andolsun yakub’a döneceğim ...
,Ey kör şehir
,Canavarlaşan şehir
,Ağaç şefkat güneşi
,Ağlamaklılar ağaçların benim neden
,Canavarlaşan şehirsin
,Andolsun yakub’a döneceğim ...
,Yüreğim derviş yüreklerine kim salmış ateş
,ağacın güzelliğine bak
,Maviliğe uzatmış dallarını
,Dalları duada
,Maviliğe körleşen şehirsin
,Daha kurumamış gövdesi kökleri
,Rahat bırak kucaklasın mavi gökleri
,Mavi hırsla
,Ağaç dost maviliğe
,Canavarlaşan şehirsin gönlüme
,Andolsun yakub’a döneceğim ...
,Şehir görmese
,Toprak ananın kolları ağaç
,dualı toprakda
,Şefkatle sarmış bizi
,Ağaçla büyüyen şefkattir
,Canavarlaşan şehirsin
,Kestin yeşilliği
,Daldal öldürdün ağacı
,Gönlümü öldürdüğün
,Andolsun yakub’a döneceğim ...
,Döneceğim sıla
,ormanlara gür akan pınarlara ...
,Kim yaratmış ağacı
,Ağaç şefkat güneşi
,Öperim ayaklarından
,Ellerinden ağaçların...
,Anladım ey ağaç şehir elinde balta kovuyor ikimizi
,Ağaç dost maviye
,Zaman boğuluyor şehirlerde yaz
,Ağaç dost mavi zamana
,Ağaç gönlüm maviliğe uzuyor
,Andolsun yakub’a döneceğim ...
,Yakup sıcak kucaktır
,Dostudur maviliğin...
,Ey şehir körsün maviliğe...
,şehir beyaz olmaz
,Çırpınıyorsun şehirlerde ey ağaç
,Gel gidelim artık
,Yeşilin denizi ormanların dalgalanışı
,Denize düşmüş çocuklar gibisin
,Gidelim şehirden yüzme bilmeyen
,şehir kovuyor bizi
,şehir kör
,Gel gidelim artık
,Dolmadı çilen...
,şehrin dişleri kanlı
,Ağaç sevmiş kuşları
,Kuşlar maviliğe aşık gönlüm
,Gönlümde uçardı olsa kanadı
,Toprak ananın kollarıdır ağaç
,Toprağın mavi duasıdır ağaç
,Ağaç seninle büyüyen şefkattir
,Demirde kömürde çelikte betonda var yeşil şefkat...
,şehir kovuyor bizi
,Şehir kör gözüne kum kaçmış
,şehir lekeli kirleniyor betonlarla
,Şehir görmese
,Gölgesinde uyuyor bebe
,Ağaç dost bebelere
,Sevilmez misin ağaç
,
Yansın zararlı dallar bedeniyle birlikte,
,"İnce ekşi dikenler içinde yabani ağaç,"
,Faydasız bitkilerle örtülmüş.
,"Kendi içine çekilmiş,kurumaya yüz tutmuş,"
,"Güneşe,aşıya hasret yabani ağaç."
,"Köküne,dallarına,meyvalarına kızıyor yabani ağaç,"
,Dikenler çevirmiş fidanken dallarını.
,"Dalları uzamış ağaca dönüşmüş,"
,"Aşısız,meyvası ekşi,buruk hüzünlü yabani ağaç."
,"Kökünden filizsiz yabani ağaç,"
,Dalları gövdesi zararlı sarmaşıklarla kaplı.
,"Sıkılyor,boğuluyor,daralıyor,"
,tane aşı binlerce acıya hasret yabani ağaç.
,"Kurusun dallar,ekşi meyvaları birlikte,"
,"Hışımla düşsün toprağa saramaşığı,dikenleriyle birlikte."
,"Yansın zararlı dallar bedeniyle birlikte,"
,"Ateş ateş,köz köz yabani alemiyle birlikte...! ! !"
,
Kuru Ağacın Dileği,
,"Toprağın sinesinden serzeniş yağarsa,"
,"Süt misali; gözüyle eliyle sağarsa,"
,"Zifiri siyah saçı kar beyazı ağarsa,"
,"Kuru ağaç Gül'üne, meyveye kavuşur mu?"
,"Doğamı değiştirip, köklerimi koparsam"
,"şeyi göze alsam halde yaşarsam,"
,"Gönülleri fethedip, güzel şeyler başarsam,"
,"Kuru ağaç Gül'üne, meyveye kavuşur mu?"
,"Yanan sevda ateşi; sineleri yakınca,"
,"Mahsulü olgunlaşıp, emek bakınca,"
,"dünya duvarına çivi çakınca,"
,"Kuru ağaç Gül'üne, meyveye kavuşur mu?"
,"Ensemdeki kötüden ilel-ebet savuşsam,"
,"Karanlıktan şifaya, aydınlığa kavuşsam,"
,"tür iyilik gece, gündüz çalışsam,"
,"Kuru ağaç Gül'üne, meyveye kavuşur mu?"
,"Anlam ardında anlam, ufkumuzda çıkınca,"
,"Saman alevi çaba, kanadını çırpınca,"
,"Uzaktan tamam denip, şöyle göz kırpınca,"
,"Kuru ağaç Gül'üne, meyveye kavuşur mu?"
,Üstündeki taşları atar insan kalkıştan
,"Yürekten çırpınışa, gayret gelir alkıştan."
,"Döker kalem haykırış, azığını al kıştan,"
,"Kuru ağaç Gül'üne, meyveye kavuşur mu?"
,"Gül'üm yegâne gayem, beden kurumuş ağaç,"
,"Gül yoluna hikâyem, gel yolda çağ aç,"
,"Engelleri kaldır at, gerekir dağ aç,"
,"Kuru ağaç Gül'üne, meyveye kavuşur mu?"
,"Kuru ağaç Gül'üne, meyvesine kavuşsun,"
,"Tüm gönüller şen olsun, kötülükler savuşsun..."
,
Ağaçlarda gönlüme Yeşil Güneş,
,Ağaçlarda gönlüme Yeşil Güneş
,Ağaçlarda gönlüme yeşil güneş
,Gönlüm ağaçlar öksüz
,Ağlasın gönlüm bulutlar
,kerede gönlümün küllerine es rüzğar
,Büyüyor sevincim baktıkça ağaçlara
,Dimdik duruyorlar
,Yaralara aldırış etmiyor ağaçlar
,Ağaçlarda yeşil güneş...
,İçimi aydınlatır ağaçlar baharda
,Ağaçlarda yeşil güneş
,Ağaç kara toprağın yeşil rüyası
,Ağaçlarda yeşil güneş
,Ağaçların yeşildir gözleri...
,Ağaçlar maviliğe çağırır bizleri
,İki gözüm iki çeşme olur
,Ağaçlarda yeşil güneş var
,çöl dünya
,Çöl olur insanın dünyası
,Ağaçlarda yeşil güneş var
,Ağaç kara toprağın ak rüyası
,Güzel bak ağaçlara
