title,poem_cleaned
"Sinem Üstü Düğüm Olsun, Dağ Olsun",
,"Elım yıktım, boşandı bendim."
,"Coşkun sular çağlar, gezerim."
,"Yitirdim kendimi, bulmadım gitti."
,"Sevdası başımda ağlar, gezerim."
,"Sinem üstü düğüm olsun, dağ olsun;"
,Çevre yanı mor sümbüllü bağ olsun;
,"Irak, yakın kömür gözlüm sağ olsun;"
,"Hayalin gönlümde eğler, gezerim."
,"Benden selam olsun yedi benlime,"
,"gam, kasavet bastı gönlüme."
,"Saçım, başım yolup kendi eğnime"
,"Geyik postlarını bağlar, gezerim."
,"Karac`oğlan der ki: Derdim deşmeğe,"
,"Arzuhal yazdırdım, yare göçmeğe,"
,"Aman deyip kapısına düşmeğe,"
,"Dertli yüreğimi dağlar, gezerim."
,
Dağ Köylerinin Kadınına Övgü,
,Göğsü ızgaralı kadın
,Kalk artık
,Acılardan bugünkü öğünü kotarmaya
,Bebeler acıkmadan daha
,Kalk artık
,Gönlü yaralı kadın
,Dağa güneşten önce tırmanmalısın.
,Kamyonlar boşalmadan kasabaya
,Kalk artık
,Sırtında odun yükü
,Koynunda çağan
,Koltuğunda peynir çıkın
,"Pazara başlamalısın,"
,Gözleri garazlı kadın
,Kalk artık
,Gurbeti en uzun yaşadın
,Hasretin düğümlü kaldı
,Sor artık
,Kimin boynuna vebalın.
,Çevirmişler pazarı
,Sakın ilişme tezgahların yanına
,mayın!
,Mayınlar...
,Ölü döner huduttan
,Yaralı
,zindanda kocan
,Aylar var ayrılalı.
,Derdi horalı kadın
,"Yerinme, küşüm çekme"
,Kalk artık
,Hazırda merhemin
,Ekmeğin tandırda mı?
,
Yüce Dağ Başında Kar Var Buzunan,
,(of of) Yüce dağ başında kar var buzunan
,Yaktın beni edayınan nazınan (vay vay)
,(of of) Yaremi doldurdun ince duzunan
,Üstüne biber ektin öl deyi (vay vay)
,(of of) Sabahtan kalktım günden ileri
,kimi sevmişim senden ileri (vay vay)
,(of of) Ziyaret olmuşsun kurban istersin
,Dahi malım yoktur candan ileri (vay vay)
,(of of) Yüce dağ başına yağmaz dolu
,Yarinden ayrılan olmaz deli (vay vay)
,(of of) Günde üç beş defa gördüğüm yari
,Şimdi aylar geçti görmüyom gayrı (vay vay)
,
Dâg-ı Gam Nakd-ı Dil,
,Dâg-ı gam nakd-ı dil ü raht-ı revânum gözedür
,Dîdebân oldı meger hâne-i cânum gözedür
,Gamzeler tîg-zen olmışdur ol ebrû kavvâs
,Râh-ı ‘aşkı gün ol kaşı kemânum gözedür
,Hirmen-i cân u dile âteş urup giñ yirden
,Şerer-i âh âlûde duhânum gözedür
,Gözeden ‘âlemi müjgânuñ gamzeñdür
,Dime ey şâh-ı cihân tîg u sinânum gözedür
,Çeşm-zahm-ı felegi n’eyledi gör ey Bâkî
,Dime dahı beni şâh-ı cihânum gözedür
,
Usta Çiçek,
,Fikir çiçek açar bağ bostan
,Yeli çağrı olur dağ dosttan
,Uyan tiritlenir yağ ustan
,Uymayan sallanır sağ mestan gibi.
,
Dağ Kadını,
,"Kadına yer ıssız,"
,yaban gelirdi.
,"Çocuksuz,"
,kendi erkeği.
,"Evin ufak tefek uğraşı,"
,işi yoktu kadının.
,"Çift sürerken tarlada, ağaç keserken"
,Ardında kocasının.
,Yorulup dinlenerek....................
,
Gene O Dağ Yollarında,
,Yıllar sonra Alplerden inerken
,dağ yolu diye kendine sorarsan
,daha binbir soru varken zihnini kurcalayan
,elinde dağlalesiyle seni karşılayan
,küçük kızı alnından öp
,dinlen biraz.
,"Yıllar önce, uzaklarda,"
,"doruklarına tırmandığın,"
,"rüzgârlarını ezberlediğin,"
,dağları düşün.
,"bildik dağların koyaklarında biriken,"
,sonra eriyip boz bulanık ırmaklara karışan
,kadarıyla ak git
,"uzaklara, dağların ardına,"
,kavruk çöllere.
,"Uçak gürültülerinin, kum fırtınalarının içinden,"
,"Düşlerinde küçük kız,"
,dağlalesi elinde.
,
Leyla Leyla (Dinliyelim Dağ Başında),
,Dinliyelim dağ başında figanı
,Görelim söyler Leyla Leyla
,İkimiz oturalım diz dize
,hu çekelim hu Leyla Leyla
,Bela çakmağını üstüme çaktın
,Beni unulmaz derde bıraktın
,Vücudum şehrini odlara yaktın
,Yandım ateşine su Leyla Leyla
,Mahabbet zencirin eyledin çengel
,Yare varam derim koymuyor engel
,Ölürsem sevdiğim üstüme gel
,Çeşmin yaşı yu Leyla Leyla
,Gurbetlere düştü Mecnun gulamın
,Bari gelmezsen gönder selamın
,Başımızda sevda dilde kelamın
,Daim aklımızda Leyla Leyla
,Emrah der başım üzre hümam ol
,Hublar içre karış şirin kelam ol
,ölürsem cenazeme imam ol
,Kıl kara zülfünle hu Leyla Leyla
,
Bana Türkçe Bir Ekmek Ver / Bir Badem Ağacı Gibi Yaşamak,
,"Gülben Anastasias hep duygularına göre hareket etti. Öyle yaşadı. Duyguları daha sahiciydi, onlara inandı. İlk kocasından ayrılıp Almanya’ya işçi olarak gitmeye karar verdiğinde aristokrat ailesi şiddetle karşı çıktı kendisine. Aldırmadı, gitti. Siemens fabrikasına girdi. Almancasını geliştirdi. Onu büro işine aldılar. süre sonra büro işi onu boğdu. sırada Victor (Anastasias) adlı Güney Amerikalı dişçiyle tanıştı. Sevdi onu; bağlandı. Birlikte Türkiye’ye geldiler. Güzel Sanatlar’ın Seramik Bölümü’ne girdi.3. sınıfa okudu. Kocasıyla Ege sahillerini dolaşırken Bodrum’da Yalıkavak Köyüne geldiler. 'İşte burası sahici yer' dediler, manzarasına, doğasına hayranlıkla bakarak. Yalıkavak’ta ev, iki değirmen, tarla alıp burada yaşamaya başladılar. Burada Gülben’in Viktor adında çocuğu oldu. Sonra kocası kendi dünyasına, Şili’ye döndü. Gülben, Yalıkavak’ta duygularına göre yaşamayı sürdürdü. Vejetaryendi, vegan oldu. Yani hayvan sütünü, yumurtayı, yoğurdu, tereyağını, sentetik şekeri, deri ayakkabıları kendine yasak etti. Köylülerden yufka ekmeği yapmasını öğrendi. Buğdayın besleyici gücünü keşfetti. Buğdaydan çeşitli yemekler yapmasını öğrendi. güneşin, ayın, börtü böceğin, badem ağacının ritmiyle yaşamayı sevdi. Hep duygularıyla. Akşamları yaptığı en sahici iş, bütün işlerini bitirip günbatımını seyretmek oldu. Tıpkı badem ağaçları hayal kurarak yaşamaya başladı..."
,"Yalıkavak’ta kaçtığı şeyler peşini bırakmadı: Para, yol, televizyon, teknoloji, beton binalar... Yalıkavak 'beyazlar' tarafından işgal edilmişti. sevdiği köylüler ocaklarını söndürmüşler, Aygaz edinmişler, toprak tencerelerini atıp, emayeler almışlar; el örgüsü halılarını, dokuma halılarla değiştirmişler; dantel perdelerini çıkarıp sentetik perdeler takmışlardı. Artık akşamları, günbatımlarını değil, televizyonda 'yalan rüzgârları'nı seyrediyorlardı! .."
,"Gülben, Yalıkavak’taki düşünü bitirip Fethiye’deki dağ köyüne göç etti. marangoz arkadaşına,3 metreye 5 metre baraka yuvasını yaptırdı. Ormana denize kendini konuk ettirdi. Seramik fırınları yaptı kendine burada. Köylülerle, çevredeki hayvanlarla, ağaçlarla, börtü böcekle tanıştı. Gökyüzüyle, çeşit kokuyla..."
,"Yıllardır olduğu burada hep güneş doğmadan uyandı. Kuşluk vakti, çiçeklerin uyanışıyla birlikte. Kahvaltı yapmadan dışarı çıkıyor, ormana, ormanı derin duygularla geçip denize ulaşıyor. Kayalıklardan iyileştirici sulara bırakıyor kendini. Yaz-kış, hep güneş doğarken. Dağların doruklarında kar varken yüzmekten delice zevk alıyor. Tekrar ormana döndüğünde bedenindeki sağlıklı sıcaktan; içindeki kanın delice akışından da. Sonra 'selam, selam' adını verdiği meditasyon hareketleriyle doğan güneşi karşılıyor. gün başlıyor. Gün onun bizlerde olduğu anlamsız bölümlere ayrılmamış. Gün akış onun için. Mükemmel bütünlük... Yemek öğünlerine bölünmüş telaşlar, koşuşturmalar, kopuşlar hali değil. ırmak erinçli şey onun için..."
,"Peki, yer içer kadın? şeyi, doğadaki saf olan şeyi. Köylü kadınlarla yufka ekmek açar. zeytinle yufka ekmeğinin tadına doyulmaz. Sonra sevdiği gomassio vardır yediği. Susam deniz tuzu karışımı yemektir bu. Zeytinyağından tampirinç yapar. Meyvenin çeşidi. Sebzeler. Buğdaydan yapılan onlarca ekmek. Buğday tatlısı. Şekersiz aşureler. Bulabilirse koko adı verilen tahıl sütü. Doğa cömerttir ki..."
,"Peki, ona kentli soru soralım: Koca gün nasıl biter dağ başında? Bağışlar soruyu, tebessümle karşılar. İş çoktur dağ başında. Seramik fırını yakılır. Seramikler, emaylar yapılır. Buğday öğütülür. Ekmek açılır. En uzak çeşmeden su getirilir. Çiçeklerin saksısı değiştirilir. Köylü kızlara çeyiz yapılır. Onlara İngilizce öğretilir. El işi yapılır. Otlar toplanır. Değişik çaylar yapılır. Doğal yaşam beslenme üzerine kitaplar yazılır."
,"İşte büyüleyici sessizlik! Çoban kız yayladan dönüyor keçileriyle. Sesleri derinden derine yankılanıyor. İşte çoban kız keçileriyle konuşuyor, onlarla dertleşiyor. 'Boziş gel buraya, Kırıkboynuz neyin var? ' Gülben işte sesleri duyunca bütün işini gücünü bırakıp dinlenmeye başlıyor. Günün sahici işlerinden biri bu. Günbatımını seyretmek apayrı iş onun için. Sonra cin fikirli köy çocuklarını evine çağırıp, beyaz kâğıtlara renkli kalemlerle şekiller çizdiriyor. şekilleri alıp bembeyaz perdelerine desenler yapıyor. İşte size iş daha! .."
,"Sonra gün tamamen batıyor. Güneşle vedalaşıyor. Uyku vakti gelmiştir. Hayvanlarla, ağaçlarla, börtü böcekle birlikte. Doğanın, uykusunun koynuna girip melekler uyumaya başlar. Güneş hiç üzerine doğmayacaktır."
,"Peki Gülben neleri bırakmıştır yaşadığı hafiflik, özgürlük saf sağlık duygusu için? Elektrik kullanmıyor. Güneş ışığıyla aydınlanıyor. Buzdolabı, çamaşır makinesi, televizyon, telefon, gazete, ilacın türlüsünü hayatından çıkarmış. Yanında para saat taşımıyor. Yaşadığı yerde tek bakkal yok. Burada rekabet, hırs, nefret, kin, kıskançlık, didişme, ayak oyunları, sevgisizlik yok. badem ağacı neşeli, güleryüzlü, bereketli yaşayıp gitmek var. Yumuşacık düş gibi..."
,"Peki 'yalnızlık' diyorum. 'Sen badem ağacı değilsin. Kentlerin havasını yıllarca soludun. dostun var, ilişkilerin.' 'Asıl kentte yalnızım' diyor. 'Beni anlamayan, beni, yaşantımı garip, tuhaf bulan insanlar arasında inan yalnız hissediyorum kendimi. burada dağ köyümde, buradaki, kentteki dostlarımı düşünerek daha dopdoluyum. aradan yıllar geçti. kenti, kentleri çoktan kapattım. Tanıdığım insanlar orada kaldılar.'"
,"Gülben uzak, ıssız dağ köyünde kentteki kaçınılmaz, zorunlu 'dostluklar' yaşamıyor üstelik. Dünya küçük. Onun dağ köyündeki pastoral yaşantısını duyan insan gelip onu buluyor burada. Avusturya’dan, İngiltere’den, Latin Amerika’dan, İstanbul’dan, Ankara’nın yerinden kazanılmış hayatı arzuyla merak edenleri küçücük barakasında, köylü dostlarının yardımıyla konuk ediyor. Ormanı gezdiriyor, hayvanlarıyla, ağaçlarıyla tanıştırıyor."
,"'Peki, tümüyle hayatına baktığında, eksiklik duygusu, keşke şunu yapsaydım arzusu, içinde uyanmaz senin? ' diyorum. 'Kentte, kentlerde sık yakalar duygular insanları. dersin? ' 'Söylediğin duyguların zerresi yok içimde' diyor. 'Öylesine dolu dolu yaşadım ki, inan bazen, artık yeter, diyorum. Doydum, diyorum. Öyle an gelirse, yani duygunun sahiciliğine tamamen inanırsam, hayatıma kendi ellerimle son vermek istiyorum. Bunu kez yoğun duydum. keresinde ‘Heraklia’ diye yere gitmiştik. Geceydi. Yazdı. kaleye çıktık. Aşağıda deniz muazzam görünüyordu. Gökyüzünde yıldız yağmuru vardı. Doğa sarhoş gibiydi sanki. an kendimi öylesine mutlu hissettim ki, işte an hayatıma son vermeyi düşündüm. Kendimi denizin yumuşacık kollarına bırakmayı...'"
