title,poem_cleaned
Bir Başka Gökyüzü Bir Başka Sevda,
,"mavi gök, yeşil yaprak, gri su altında"
,Hüzün asla yakışmıyor sana
,Stockholm'de dünyanın yerinde
,"Kalbim, ah kalbim tarifsiz alevler içinde"
,İstanbul'da dünyanın yerind....................
,
Ağustos Kuşları,
,Ağustos kuşları
,"Derin, saf, mavi gökyüzünde kara noktalardan oluşmuş kıpırtılı kara yumak helezonlar çizerek dönüyor."
,Onlara bakıyorum.
,ucundan katılan kalabalık karışık siyah noktalarla büyüyen yumak diğer ucundan zarif düzenli ok çıkarak maviliğin içlerine doğru uçuyor.
,Gidiyorlar.
,Onlara bakıyorum.
,Garip hüzünle bakıyorum onlara.
,şeyin bittiğini söylüyorlar bana.
,şeyin başlayacağını da.
,gittikten sonra zaman boş kalacak saf mavilik.
,Bilmediği şeyi özler bomboş bekleyecek.
,"Ayrıldığımız sevdiklerimizle, buluşacağımız henüz kim olduklarını bilmediğimiz seveceklerimiz arasındaki kederli, yalnız yalnızlığında gizli ümitlerle beklentiler taşıyan boşluk."
,"Uzaklaşanları görüyoruz, anıları taze."
,Tanıyoruz gidenleri.
,"berrak mavilik zaman sonra yeni kuşlar bulacak, ışıkları değişecek, bulutları, yağmurları, sonbaharla şeffaflaşmış güneşleri olacak."
,Yaşanmış olanlardan kopmak zor.
,Yaşanacak olanları beklemek heyecanlı.
,"İkisinin arasında, derin yalnız gökyüzü hüzünlü boşluk var."
,İçinden geçilmesi en zor olan zaman.
,"Kendi boşluğuyla daralmış kederli ruh nasıl gidenleri yakalamak, geçmişe tutunmak ister."
,Nasıl hüzünle bakar gitme vakti gelenlere.
,"insan, böyle kederli boşlukta, geleceği beklemeye sabrı gücü yetmediğinden yanlış karar verip geçmişi yaşatmaya çalıştı."
,Halbuki kural açık.
,Gitme vakti gelen gidecek.
,Boş gökyüzü gelecek olanları bekleyeceksin.
,"Kederle, hüzünle sabırla."
,Gitmenin mevsimi var.
,Gelecek olanları karşılamanın mevsimi.
,mevsimi var boş gökyüzü beklemenin.
,Gidenleri biliyoruz.
,"Sesleri, fısıltıları, kokuları, gülüşleri tanıdık, yakın."
,Bize değdikleri yerleri kopartacaklar giderken.
,Kopmanın sancısını duyacağız.
,Kuşlarını yitirmiş gökyüzü kendi acısıyla yankılanacak içimiz.
,"zaman, sonsuza dek öyle bomboş kalacağından korkacak."
,Sonra tek tük yeni kuşlar gelecek.
,Sonra değişik ötüşleri olan dağınık sürüler.
,"Bulutlar, yağmurlar, yeni ışıklar, şeffaflaşmış güneşler."
,Gelecek olanları tanımıyoruz.
,"Yüzleri nasıl, sesleri nasıl, kokuları nasıl bilmiyoruz, üzülünce nasıl bakıyorlar, sevinince nasıl, bilmiyoruz."
,Yeni gülüşlere alışacağız. Yeni dokunuşlara.
,"Sözcüklerin biçimde söylenebileceğini göreceğiz. anda hiç tanımadığımız beden birkaç ay sonra sıcak sokulganlıkla yanımıza uzandığında, yabancıdan sevgili yaratan tabiata şaşacağız."
,Giden kuşlara bakıyorum hüzünle.
,Süzülerek uzaklaşıyorlar.
,Gitmenin mevsimi var.
,Gelecek olanları karşılamanın mevsimi.
,mevsimi var bomboş gökyüzü beklemenin.
,"Niceleri, bomboş gökyüzü durmanın azabına dayanamadığından gidenleri yolundan döndürdü."
,Ölü kuşları oldu onların.
,Ölü kuşlarla doldu mavilikleri.
,"Derin, saf, boş gökyüzü kederle durun."
,Gelecekler.
,"Yeni sesleri, yeni kokuları, yeni dokunuşlarıyla gelecekler."
,Sözcüklerin türlü söylenebileceğini öğreneceksiniz.
,kederden ümide kapı açan tuhaf tabiata şaşacaksınız.
,"Unutmayın, gitmenin mevsimi var."
,Gelecekleri beklemenin mevsimi.
,mevsimi var bomboş gökyüzü durmanın.
,"Gelenler, beklemesini bilenlere geliyor."
,Bekleyin...
,Gelecekler.
,
Dar Açı,
,Uzun saçlar yakışırdı sana uzun yıllar
,gökyüzü bitince öteki başlardı
,Çevik taylar dururdu güneşte olgun başaklar
,"gölgelikler dururdu,"
,Ovalar aydınlıkta dururdu
,Bulut geçti derdik bilemedin
,yağmur yağacak derdik
,Fesleğen saksıda güzel dururdu
,Bak olacak şey kömür beni vurdu
,Ayaklarım aldı başını gitti
,Ellerim kaldı duvarda
,Kalk olur pencereyi aç
,Uzun saçlar yakışırdı sana uzun yıllar
,gökyüzü bitince öteki başlardı.
,
Ağla gökyüzü,
