title,poem_cleaned
Var İken (Akıl Almaz Kulak Duymaz),
,Akıl almaz kulak duymaz göz görmez
,Şükret kula Hakk'tan ihsan var iken
,Göz görmüş olduğun sanma öz görmez
,küfre yar olma iman var iken
,Hırs varise cihan kavgasız olmaz
,Harp olmasa toprak boşalıp dolmaz
,Milletler muhtelif müttehid olmaz
,Tevrat Zebur İncil Kur'an var iken
,Seyrimiz Seyrani zahirde sair
,Olsa batında Mevla'ya dair
,Ümidin keser ehl-i kebair
,Şefi-i Rahmet-i Rahman var iken
,
Kıt'alar-rubâiler 55,
,Sıhhat-ı ebdân îmân-ı kâmil var iken
,Tâc ü taht ister Mevlâ'dan aceb âkil olan
,Ni'met-i sıhhat dahi îmân-ı kâmil var iken
,Mâl ü mülk ü saltanat ister hîç âkil olan
,
Müfredât 131,
,Âkil isen nevm-i gafletden uyan
,Vâsıl olmaz Hakk'a şeytâna uyan
,
Özdüşüm,
,ÖZDÜŞÜM
,Ah hep duyguyla akıl
,Kapılarını bunca yıl
,Zorladım. düş gerçeği
,Topladım gerçek düşümde.
,"Savaştı huyla akıl,"
,Hep kafamda gönlümde.
,"Baktım, bölüşmüş gerçeği,"
,Aklım düş-dönüşü'mde.
,Duyguyla anlaşmış akıl..
,"Aşk motoru olmuş düş'ün,"
,düş aklın eşeği.
,Vardığım öpüşüm'de
,Aklım ısırdı şeyi.
,"Motor çıkmaza dayandı,"
,Eşek renklere boyandı.
,"Baktım, uslanmaz aklım,"
,"Elinde duyu çiçeği,"
,"yorgun, renkli eşeği"
,Koklayarak okşayandı.
,
Ah Rambo Ah Ne de Aslandın Ne de Kaplandın,
,"Amerikalılar alem adamlar vallahi... Dünya film piyasasının büyük bölümü ellerinde olduğu için, insanları olayları cilalayıp parlatmayı biliyorlar, ülkeleri yerden yere vurup silkelemeyi biliyorlar... Holywood denen sinema fabrikasının ülkenin milli gelirinden ihracatından fazla gelir elde ettiği kulağımıza gelen haberler arasında... Milyonlarca dolar bütçeler filmler çeviriyorlar, hiç masraftan kaçınmadan, sonrada parsayı topluyorlar milyon dolar olarak..."
,"Silvester Stallone'nin oynadığı meşhur hayali kahraman Rambo'yu hepiniz tanıyorsunuz. Belki içinizde ''Onu tanıdığım güne lanet ediyorum.'' diyenlerde vardır... Televizyonda filmlerini defalarca izlediniz. Uçtu, kaçtı, on kişinin arasına daldı sağ çıktı, helikopter düşürdü, düşman askerlerinin sabrını taşırdı... Nihayetinde beş altı tane Rambo Filmi yaptı köşeyi döndü arkadaş. filmleri bizim ülkeler birlikte dünyanın ülkesine kakaladı dünya paralar kazandı Amerika kendisi..."
,"zamanlarda rastlamışsınızdır basında Türk Ramboları benzetmesine yalan yanlış söylem olduğu gün ortada... Benim tertemiz, vatan sevgisi dolu dolu askerimi Amerikalının hayali kahramanına niye benzeteyim ki? Hiç duydunuz onlardan Amerikan Mehmetçiği İngiliz Mehmetçiği diye kelime cümle, duyamazsınız... Mehmetçiğin anlamı küçük Muhammed'tir..."
,"ülke askerlik paralıdır, buna ABD' dahil, paralı olduğu içindir onların vatan namus kavramları bizim kıyas kabul etmez... Gerçek savaşların çekilmiş belgesellerini izleyin bakın, askerler hep tankın arkasından saklanarak şekilde korka korka ilerlerler çatışma bölgesinde... Belli Rambo benzeri filmler kendi askerlerinin cesaretini arttırmak için, kısaca onlara gaz vermek çevrilmiş medya tik materyallerdir... Gerçek savaş onların çevirdiği film süngü takıp mermilerin üstüne giden askere subaya rastladınız mı? Rastlayamazsınız, böyle olaylar, bizim Mehmetçiklerimize özgü, onlara ait kahramanlıklardır..."
