title,poem_cleaned
Rubai,
,Ocaklar yansın dem
,Bacada is olmasın.
,Gökyüzü mavi kalsın
,Ufukta sis olmasın.
,Kötülük yansın yıkılsın
,Lale gül kesilsin dünya
,Herşeyde terhis olsun
,Aşkta terhis olmasın...
,
"Kötülük Mü,iyilik Mi Güzel",
,"Kötülük pahalı, iyilik ucuz."
,"Kötülük kısıtlı, iyilik uçsuz."
,"Kötülük cezalı, iyilik suçsuz."
,"Güvenle, huzurla yaşamak güzel"
,"İyilik şükürlü, kötülük nankör."
,"İyilik tutumlu, kötülük bonkör"
,"İyilik kalp gözlü, kötülük hep kör"
,"Tefekkür, şükürle yaşamak güzel."
,"İyilik tebessüm, kötülük sertlik"
,İyilik bereket kötülük kıtlık
,"İyilik hoşgörü, kötülük zıtlık"
,"Sevgiyle, saygıyla yaşamak güzel"
,"Kötülük tedirgin, iyilik rahat."
,"Kötülük hastalık, iyilik sıhhat."
,"Kötülük düşünmez, iyilik dikkat"
,"Tedbirli, sabırlı yaşamak güzel."
,"Kötülük zarardır, iyilik kazanç"
,"Kötülük inkârdır, iyilik inanç."
,"Kötülük utançtır, iyilik kıvanç"
,Gönül rahatıyla yaşamak güzel.
,Kötülük zararı en kendine.
,Kötülük cehennem olur kalbine.
,Kötülük kendisi yanar derdine.
,Birlikte el ele yaşamak güzel
,"İyilik onurlu, kötülük yüzsüz."
,"İyilik sadıktır, kötülük sözsüz."
,"İyilik imanlı, kötülük özsüz."
,Özünle iç içe yaşamak güzel.
,
,"İyilik aşikâr, kötülük sinsi"
,"İyilik gelişken, kötülük irsi."
,"İyilik güzellik, kötülük tersi"
,Göründüğün yaşamak güzel
,"İyilik tasarruf, kötülük israf."
,"İyilik tasavvuf, kötülük insaf,"
,"İyilik hep kardır, kötülük masraf"
,Bire on kazançla yaşamak güzel
,"Kötülük sıkıntı, iyilik huzur"
,"Kötülük yıkıntı, iyilik mamur"
,"Kötülük takıntı, iyilik mesrur"
,"Ümitli, neşeyle yaşamak güzel"
,"İyilik tatminkâr, kötülük azar."
,"İyilik mutmain, kötülük murdar"
,"İyilik mülayim, kötülük kızar"
,Kalp rahatlığıyla yaşamak güzel.
,"Kötülük risklidir, iyilik risksiz"
,"Kötülük kirlidir, iyilik temiz"
,"Kötülük seslidir, iyilik sessiz"
,"Sakince, huzurla yaşamak güzel"
,12.9.14-İzmir-
,NEML SÜRESİ-46 AYET
,"- Abdulbaki Gölpınarlı: Ey kavmim dedi, iyilikten önce diye çarçabuk kötülüğü istersiniz? olur, Allah'tan yarlıganma dileseniz merhamete lâyık olsanız."
,
Bir Deliye Sormuşlar,
,"deliye sormuşlar, neden deli oldun?"
,İnsanlara kötülük etmemek demiş.
,"Şimdi bana kötülük eden kimse kalmadı,"
,kimseye kötülük edeyim niçin demiş?
,
Bu Ülkenin İnsanı,
,"Ülkemizin insanı, gerçekten güzel insan,"
,"Bozukları olsa da, kötülük yapamazlar,"
,"Olur yerlerden, hata var diye duysan,"
,"Soyu-Sopu belliyse, kötülük yapamazlar."
,"Evet bazen hatalar, yapılmış görüyorsun,"
,"Çeşitli unsurlar var, farkına varıyorsun,"
,"Düşmanımız fazla, beni anlıyorsun,"
,"insanlar bizdense, kötülük yapamazlar."
,"Hani vâki olur ya, küçücük fikir farkı,"
,"Fitne bunu fark eder, aleyhde döner çarkı,"
,"Su uyur, düşman asla, kesilir suyun arkı,"
,"Korkuyorsa Allah’dan, kötülük yapamazlar,"
,"Bakarsın, insanız ya, yanlışlık sadır olur,"
,"Düzeltirsin hatayı, adalet yerin bulur,"
,"Teskin etsen insanı, durur durulur,"
,"Sinirler yatışırsa, kötülük yapamazlar."
,"Ekseriyet olup da, seçip göndeririz,"
,"biri bizim gibi, biliriz,"
,"Gene çatlak ses duysak, ürperir irkiliriz,"
,"şekil seçilenler, kötülük yapamazlar."
,"Hasbel-kader karışır, içine seçilmişin,"
,"Seçimle ayıklamak, olmalı senin işin,"
,"Ayıklatmaz seçimle, önleniyor gidişin,"
,"Önleyenden gayrısı, kötülük yapamazlar,"
,"Gönderilen kimseler, göndereni dinliyor"
,"Yapmayı istese de, yapılan önleniyor,"
,"fasit daireler, işte böyle dönüyor,"
,"Farkına varsalar da, kötülük yapamazlar."
,"Buna rağmen gene de, indirirse birisi,"
,"Dikkât etsen görürsün, hainin irisi,"
,"Seçenler hüzünlüdür, kına yakar gerisi,"
,"Hatta kına yakana, kötülük yapamazlar."
,"Çirkinler karışırlar, güzellerin içine,"
,"Karışır diyelim, elâlemin hiçine,"
,"gitmelidir, gitsek Maçin’e?"
,"Bizimki gitse bile, kötülük yapamazlar."
,04.03.2009
,
Kalbimize Yüklediğimiz İyilikleri,
,"Pazar akşamı Yasemin Demir Hanımefendiyi dinlerken müthiş yüreğime işleyen cümle olmuştu ''Kalbimize Yüklediğimiz İyilikleri Diğer Aylara Taşıyalım.'' Yasemin Turan Demir... Evet, evet mübarek Ramazan Onbir Ayın Sultanı olarak anılıyorsa esas önemli konu Ramazan Ayında sevap adına, güzellikler adına ardına açtığımız kapıları, Ramazandan sonra kapatmadan devam edebilecek miyiz?"
,"İyilik yapan tabi iyilik bulacak eninde sonunda sabırlı olmak lazım. Bazılarının imtihanı gerçekten çetindir. Başlarına gelmedik kalmaz peş peşe gelir olumsuzluklar, aksilikler. Yılmamak, direnmek, Rabbı an akıldan çıkartmamak lazım..."
,"gün dünyamızda savaşlardan, açlıktan, vahşetten geçilmiyor. Gün geçmiyor insanlar kıyıma uğramamış olsun. Neyi paylaşamıyoruz üç günlük dünyada neyi? Yarın gün sınırlı kısa olan ömrümüz son bulacak. Ahirette hesaba çekileceğiz, çetin hesap hesap. günün dehşetini şiddetini gözünüzün önün getirin kere..."
,"Çoğu insanımız Ramazan Ayın kendisine çeki düzen verir. İçki içiyorsa, sigara içiyorsa onları kenara koyar. ruhunu bedenini temiz tutmaya gayret gösterir. Ramazan yerde nefis terbiyesi... Kim nefsine hakim olursa en kazançlı olacak olanda odur zaten... ''İki şeyi asla unutma Allah'ı ölümü, iki şeyi unut yaptığın iyiliği gördüğün kötülüğü.'' demiş özlü sözde Lokman Hekim... Hiç kimseye kıl haksızlığın edilmeyeceği ahiret hayatı bilirsek hepimize yakın. gün varsın, bakmışlar gün yoksun..."
,"Dileyelim insan Ramazanı hakkı idrak etsin günah denizinde boğulmaktan kurtulsun. İyilik damarları kabarsın herkesin. Tabi Ramazandan sonrada aynı hızla devam iyi insan olmaya iyiliklerimizi diğer aylara aynı coşku şevk taşımaya. Ünlü antik çağ filozoflarından Eflatun'da ''İnsanlara kötülük etmek, iyilik etmekten daha kolaydır.'' demiştir. zor olanı seçelim kötülükler yok olmasa azalsın azalabildiği kadar. antik çağ filozofu olan Sokrates'de ''Güç olan, ölümden kaçınmak değil kötülükten kaçınmaktır; kötülük ölümden daha hızlı koşar.'' demiş. Değerli büyüğümüz Ali Fuat Başgil'de ''İyiliğe karşı iyilik, adalettir. İyiliğe karşı kötülük, cinayettir. Kötülüğe karşı iyilik, ihsan âtıfettir insanlığın en yüksek derecesidir.'' diyerek iyiliğin önemine vurgu yapmıştır. Evimizden, ailemizden, ülkemizden iyilikler eksik olmasın hiç zaman. Hepinize en derin sevgi saygılar..."
,
Az Kalsın Bir Çocuk Öldürecektim,
,"Çocuklar, ah çocuklar! yaramaz, akıllı, bilmiş, pek fazla şey bilmez, sevimli, bize dert ortağı zaman zaman. sanki çocuk olmadınız mı, hep yaşlarda mıydınız? İçinizde sizi sürükleyen çocuk yok mu? Zaman zaman onlara özenmiyor musunuz? Aralarına girsem iki top tepsem saklambaç oynasam onlarla demediniz hiç?"
,"İnsan hayatının en güzel evresidir çocukluk. Para kazanma telaşı yoktur, siyasal ortam önemlidir sosyal çalkantılar. Babaları anneleri kazanır onlarda afiyet yerler. Onlarda büyüyüp ana baba olunca onların çocukları içlerinde hiç dert tasa olmadan yaşar gider, devran ta ezelden beri böyle döner. Hepimiz büyüdük, olgunlaştık, ana baba olduk, hatta kimilerimiz dede oldu lakin zaman çocuk tarafımız var de... Merhametliyiz, duygu yüklüyüz... yaşananlar haliyle üzüyor bizleri, diğer insanları üzdüğü gibi. İnsanların birbirini öldürmesi, birbirine kazık atması, dünyayı ana gaye edinip ahireti hiçe sayması yaralıyor gerçekten duyarlı insanları..."
,"kötülük gelmiştir sizin başınıza, arkadaşlarınızdan kazık yemişsinizdir. terk edilmişsinizdir. acımasız olmak istiyorsunuz belki, size kazık atanlara, emeğinizi çalanlara, duygularınızı paramparça edip, gecelerinize kan doğrayanlara, hakkınızı helal etmiyorsunuz. Hepsi hak ediyorlar beddualarınızı diye düşünseniz size onulmaz acılar yaşattıkları için, merhamet var içinizde, çocuksu yanınız var aslında... İçinizde çocuğu öldürdünüz önünüzde kimseler duramaz. merhamet kalır yüreğinizde, vicdan öz benliğinizde. Öldürüp içinizde çocuğu zalim diktatörlere, kafa kesenlere, katliamcılara, hayvanlara acımayan yaratıklara benzeyemezsiniz..."
,"kötülük yapamazsınız kolay kolay, içinizde masumluğu yok edemezsiniz, içinizde çocuğu öldürmeden. İyi olmayayım artık, iyi olmayacağım dedim kendi kendime. Bunun içinde ilk önce içimde çocuktan başlamam lazım büyüdüm baba oldum, dede adayıyım, neymiş içimde çocuk, çocuksu duygular. Bana kötülük yapanlara kötülük yapsam ya, intikam alsam güzel olur. Paramı çalanları, duygularımı çalanları, kötü davrananları mahkemeye versem ya! yapamam. Tabi yapmayacaksın, yapamayacaksın, insansın, kötülüğe karşı kötülük adalet kötülüğe karşı iyilik düşünürün dediği insanlığımızın en yüksel derecesi. alçalsınlar bakalım yeter bizler alçalmayalım."
,"Niye öldüreyim içimde çocuğu çocukluğu, tertemiz el değmemiş duygularımı, güzellikleri mi? Tabi vazgeçtim bundan. İçimde çocuğu öldürdüm mü, vahşi olurum, acıma duygu yitiririm, göz pınarlarım kurur, kayıtsız kalırım zalimler, zulümlere..."
,"Yok, yok katı değilim asla. içimde çocuğu öldürebilirim, canlıyı. içinizde çocuğu sakın yitirmeyin, sakın öldürmeye kalkmayın. bizim insan tarafımız, insanlık tarafımız. vahşiler, insan kesenler, insanlara sırtını dönüp küsenler hep kaybedenler tarafında olacaklar, kimsenin kimseye faydasının olmadığı büyük hesap gününde..."
,"Masal anlatın çocuklarınıza, beraber sinemaya tiyatroya gidin, Sakın, sakın vurmayın yüzlerine kabalarına, sonra bakamazsınız yüzlerine... suratına tokat atarsınız, suratı değildir, yüreğidir yaralanan, yürek yarası kolay kolay tedavi edilmez bilesiniz. Onun kafasında merhametli, sevecen anne baba olgusunu anda yerle edersiniz. çocukken babalarınız yapamadığınız şeyleri çocuklarınız yaparsanız bundan güzel mutluluk yoktur... İçlerinde çocuğu öldürmeyen insanlar kolay kolay adam öldürmüyorlar. Hepinize en derin sevgi saygılar..."
,
Düşman olma Müslüman müslümanın kardeşidir,
,Neden birbirine düşman olursun?
,Müslüman müslümanın kardeşidir.
,"Kötülük yapsan kötülük bulursun,"
,Müslüman müslümanın kardeşidir.
,"İnsan kendi benliğinden kopamaz,"
,Dostluğa kimse kapıyı kapamaz.
,"Kardeş kardeşe kötülük yapamaz,"
,Müslüman müslümanın kardeşidir.
,"Kötülüğü bırakın orda kalsın,"
,Düşmanlığın yerini sevgi alsın.
,"Dargınlıklar kırgınlıklar son bulsun,"
,Müslüman müslümanın kardeşidir.
,"Yapılan kötülük hoşuna gitmez,"
,kötülük etsen bitmez.
,"İnsan kardeşine kötülük etmez,"
,Müslüman müslümanın kardeşidir.
,"Yusuf insanlar görüşelim,"
,iyilik üstüne yarışalım.
,"Gelin dargın olanla barışalım,"
,Müslüman müslümanın kardeşidir.
,
Nefsimde Yoklamışım,
,"Kötüler iyiyi hedef seçer bilemem,"
,"Batıl, kötülük sever, iyilik bilemem…"
,"Lafla engelleyemem, kötülük içinde mi?"
,Elimle durduramam yoksa genlerinde mi?
,"Bizler seçiyoruz kötülüğün yolunu,"
,"Yoksa kötülük bizim, en yakın dostumuz mu?"
,"Nefsimiz düşmanımız, boş ver felsefe yapma,"
,Akıl ürünlerini Hakk’a batıla katma!
,"Varlığını geliştir, yavaş yavaş olgunlaş,"
,Rab’bi hakikati bil hakikatte yoğunlaş!
,"Müminsen iyisindir, şekil kodlamışım,"
,"Kâfirlikse kötülük, nefsimde yoklamışım…"
,(2000)
,
Kötünün kazanması için seyirci kalmak yeterlidir,
,"Kötü insan kötülük yapar zararlıdır,"
,İyi insanlar kötülük yapmaz arlıdır.
,"Dünyada kötülerin kazanması için,"
,İyilerin seyirci kalması yeterlidir.
,
Bir iyilik kalır Birde Kötülük,
,"iyilik kalır, birde kötülük"
,"Dünyada hiçbir şey, baki değil ki,"
,"iyilik kalır, birde kötülük."
,"Hesap vereceksin, mahşerde bil ki,"
,"iyilik kalır, birde kötülük."
,"İşini doğru yap, hileden kaçın,"
,"Halini anla doyur, karnı açın,"
,"taht fayda verir, nede tacın,"
,"iyilik kalır, birde kötülük."
,"Allah yardım eder, dardaki kula,"
,"Köle olma sakın, paraya, pula,"
,"İstikamet doğru, olsun pusula,"
,"iyilik kalır, birde kötülük."
,"Hakka bağla, vicdanını özünü,"
,"Kötülükten uzak eyle sözünü,"
,"Haramdan uzak et, gören gözünü,"
,"iyilik kalır, birde kötülük."
,"Hor görme insanı, ayırım etme,"
,"Kutsal Değerleri, Aman terk etme,"
,"Kalpleri kıracak, sözler sarf etme,"
,"iyilik kalır, birde kötülük."
,"Allahın emrettiği, yoldan gidesin,"
,"Saygıda, sevgide, hürmet edesin,"
,"Atasözleri doğrudur, iyi bilesin,"
,"iyilik kalır, birde kötülük."
,"Ülkemiz huzuru için, dua edelim,"
,"Kısır çekişmelere, son verelim,"
,"Türk, Kürt, Çerkez, Laz, kardeş bilelim,"
,"iyilik kalır, birde kötülük."
,"KÜTÜKOĞLU, yaş kemale eriyor,"
,"Rabbim yarattığına, rızkın veriyor,"
,"Hayat denen yaşam, sona eriyor,"
,"iyilik kalır, birde kötülük."
,02.02.2016
,Sami AMBARKÜTÜKOĞLU
,
İyilikler Kötülüklere Yenik Düşmemeli,
,"İyilik azalıyor, kötülük çoğalıyor,"
,"Sebep bizleriz, bâtıl örnek oluyor…"
,"Hakk’ı örnek al iyilik yaygınlaşsın,"
,"Kötülük desteklenmez, bunu anlamalısın…"
,(2012)
,
Vatan ve Türk-- (minik bir hikaye) ….3,
,"Kuran’ın gerçeği, Kuran harflerinin Arap alfabesinde kullanılıyor olduğu şaşmaz. uzay kıyafeti giymekle uzaylı olunmaz. Eşeğe kitap yüklemekle eşekten alim olmaz. Hazır bununla başlamışken şöyle demonstrasyon denemiştim, anlatmaya değer buluyorum:"
,
,"Baş parmak Arenadan kalma vahşet coşkusu, diğer dört parmak da: serçe parmakla Zebur’u, yüzük parmağıyla Tevrat’ı, orta parmakla İncil’i, işaret parmakla Kuran’ı sıralayalım demonstrasyon olarak. Yahudilik beliren baş parmak, yüzük parmağı orta parmağı avucunuzun içinde tutun, çıkıyor? gölge oynunda ‘Kurt başı’ dikkatimi çekti, böylesi anlatıma başlayınca tesadüf karşılaştım. İlginç buldum. Önce şaşırdım, sonra tebessüm ettim düşündüm. Eminim, sizler düşünüyorsunuz ilginçliği…"
,"diğer ilginçlikte sıralama haliydi, Zebur şeytan tanımı olarak dokunduğum parmaklarımı açarak: ‘Zina’, ‘fitne-fesat’, ‘kapatma (orospuluk) ’, ‘harem-kerhane’ 2000’li yılların belirtisi olarak sanıyorum ‘çocuk pornosu’ alınacak sözlüğe. Bunlar sözlük etmez, bütün bunlar Yahudiliğin armağanıdır yeryüzüne. Buna büyük farklılıktır göz, kulak, burun, ağız dokumuzdan sağduyu anlayışını insanlığa emeklemek."
,"Peygamber efendimizin vefatından sonra ‘ancak yine’ millete yılışıyor Yahudi dağıtıyor: Hz. Ali sizi seviyordu diyerek Alevilik, Ağalık sizdeydi diyerek Şii vs. bölük pörçük böldü onları Yahudi ordusu olarak hep yedeğine aldı, ihtiyacına fitneliği eğiterek parayı sözüne bedel ederek bölük pörsük kullandığı Yahudi orduları olduğunun utanç halini sanki biliyorlardı gibi, dağlarda, çetelikte, saldırmaya havlatılanlar edildiler, insanlığın yüreği kayba ağlıyor, yarattıkları ölüm terörlüğü, huzuru refahı yaraladıkları acılardan hüzünleri derin değil…."
,"Vatikan, Avrupa’yı uşaklığa eğiten kontrol mekanizmasıdır. İnanç gücünü anladığı paralelinde ‘son kitap’ müjdelendiği Arap lakabıyla müttefiklik büyüttü. Harem-Kerhane imajların seyridir. Arap şeytandır! çağımızda bile! yüzden genelleme benim kusurum olsun, kabulümdür…"
,"Bununla Vahşet-şeytan-Yahudi olarak şeytan üçgeni yerini Yahudi-Vatikan-Arap birliğini ortak yemlendikleri Tarikatı şeytan üçgeni haliyle sürdürdüler, çağımıza kadar…"
,"Roma baştan başa ateşte yakılmış. böyle Almanya’yı işgal etti Yahudi. Avusturya’ya işgal hazırlığı olarak Yahudi felsefecisi Freud, AKP hükümeti alkışlandı, para gösterisiyle donatıldı, hastane kuruldu gösterişi kusursuz felsefeci başarıyı ‘çocuk seksüelliği’ni incelemekte sağladı. Hitler Avusturyalıdır. işgale karşı, yüz yıl sonrasını gördüğü için, acilen önlemek amacıyla Almanların başına geçmiş diye anlayabildim. geç anlama kusurum işte hüzündür bana. Roma ateşini Yahudilere büyük ihtar olarak fırınlarda yaktı işgallere son vermelerini anlatamadı topluca susturuldu, üstüne üstlük, Yahudi tazminata haklandırdı kendini, Atom planını Amerika’ya satarak, sonra böyle bütün Avrupa’nın suçunu Yahudi söyledi Almanlar yüklendiler. Hitler olaya olay karşılık verdi. acıttı insanlığı elbette. neyse… Atomu Yahudi bulmadı, Hiroşima’ya atomu attırmayı başardı. Benzersiz Kuraldır: Yahudi kötülük etmez, kötülük ettirir. Tarikat kötülük işini üstlenir, Yahudi-Vatikan-Arap birliktir şeytan üçgenini, soysuzluk yeminin zengin bağışçıları soylular onlar…"
,
Sözün Özü 216,
,"Anladım ki; kötülere yapılan iyilik; kötülük, iyilere yapılan iyilik; iyilikmiş..."
,
İnsanın Tutumlarındaki Evirilim 03,
,"Üstelikte sizin iyilik diye ortaya koyacağınız, büyük ekseriyetle üzerinde ittifak edilmemiştir. şey gibi, salt iyilik, salt kötülükte yoktur. Sizin iyilik dediğinize de, başkası kötülük diyor. Bunlar hep öznel kuruntulardır. İnsan öldürmeyi âlemi öldürmekle sayarız! insan öldürmeye, cennet vaadi huruç ederiz! Böylesine savuma psikolojisine girip, masal anlatmaya gerek yoktur! İyilikler kötülükler algısı düzey düzlem algısının ego sistem savunmasının düzenleşiş yansıma yansıtılması düzlemidir. toplumdur."
,"Özellikle özelleşen yaşam özelleşen mülkiyetin doğurduğu bunlardan yoksunluğun ortaya koyduğu, eşitsizlikler kırılmasında yansıyan; anlama anlamlandırmalardır. Başlangıcın sosyal birliğinde özel yaşam özel mülkiyet olmadığından böyle iyilik erdemi yoktu. tür öğrenmeleri yaparken, yukarıda belirtilen ekseriyet kavramı unutulmamalıdır. Yani sosyal birlik yaşamında kimi tikel önemsiz duran, özel yaşamaların da, sahiplenmelerinde olacağı hatır edilmelidir."
,"Söz gelimi siz, şimdiki halde arka ayakları kırılmış köpeğe, arka ayak işlevi gören, araba yaparak iyilikte bulunursunuz! Kanadı kırık serçeyi müşfik şekilde alıp, veterinere götürürsünüz! Bunlar kuşkusuz iyilik!"
,"Oysa bundan, elli bin yıl önce, kanadı kırık, ayağı sakat hayvanı bulan insan, yaralı hayvanı bırakın veterinere götürmeyi, bırakın veterinerin yokluğunu; onu salim ortama alıp beslemezdi bile. Onu, kolaylıkla ele geçirilmiş av olarak görürdü. Belki kendini şanslı addeden mutlulukla; yaralı, çaresiz avları, doğallıkla iştahla kendisine verilmiş nimet olarak yiyecektir!"
