title,poem_cleaned
Zeyde İle Sitem Mektubu,
,Gayr dem nedür seyr-i gülistân etdüğün
,Bezm urup halvet kılup yüz lutf u ihsan etdüğün
,Ahd bünyâdın mürüvvetdür virân etdüğün
,Kanı ey zâlim bizümle ahd u peymân etdüğün
,
Kırgınlık Şiiri,
,Kırgınlık
,Sanki his
,Hiç hiç
,Yaşamamış gibiyim.
,Kırgınlık
,Beyoğlunda ara sokakta
,Yapıldığı yıllarda muhteşem
,Şimdi küf soğan kokan
,bina
,Kime sitem etsem veya yakınsam
,Bütünü sana
,yol tutturup kendiliğinden
,Hepsi sana yöneliyor
,Bedenim
,Toprak üstünde kaldıkça
,Benden selam sitem
,yakınma
,"Bekleme, yollara bakınma"
,"Son gün Yeraltına gidişte,"
,yüreğim Tanrı'ya
,Döneceğiz kırgınlığım
,Yani soğan kokulu apartman
,Sana döndürülecek unutma
,
Kısa Pantolon Paslı Çakı Dizde Kabuk Bağlamış Yara,
,Nazlan
,Sitem et
,Kırıl bana
,Beni geç vakit
,Tek başıma suya yolla
,bahçede yüzünü öteye çevir
,Güle hayret ediyormuş yap
,Gülümseyerek konuş başkalarıyla
,Somurt avluda ikimiz kalınca
,Kızıp en sevecen adımlarla üst kata çık
,En sevdiğim çiçeğin saksısı kaysın elinden
,Derinleşsin içerledikçe ruhumdaki sakarlık
,Yamru bastım iş değildi hake çakılmak bayırdan
,Dağ sıra dağdı hangi haşin belden yol veresi
,Gece hep süzüldü yukarıdan lakayt kehkeşan
,Altımda beni hep yutmaya çağladı nehir
,Yetişir heceleme(n) sök beni kere
,En zoruma gideni yap hegame getir
,Çel beni tökezlet tuttur çitlere
,Ahla istida edecek ahval değil
,Kim bana kıymazsan bilebilir
,Dünya dedikleri samut küp
,Acılar tıkandıkça bende
,Hep seni seslendirir
,
Bedri Rahmi Eyüboğlu,
,zaman seni ansam hayalimde hep şiir var
,'Önde zeytin ağaçları arkasında yar'
,Sanki sonbaharı seninle yaşıyorum
,Kara s....................
,
Hayat işte....,
,Hayat işte
,plan yapmaya gelir
,sitem etmeye
,söz vermeye
,Plan yaparsın alt üst olur
,Sitem edersin hiçbir şey karşıdan göründüğü değildir
,"Söz verirsin, hayat seni öyle noktaya getirir"
,Tutmak istersin sözünü tutamazsın
,Susmak istersin susamazsın
,Yenir yutulur değildir bazıları
,"Kusmak istersin içindekileri, kusamazsın"
,"Yutmak istersin kelimeleri, yutamazsın"
,"Gözlerini kapatır, yumruklarını sıkarsın"
,Kelimeler aciz kalır çaresizlikten
,Konuşulacak yerde SUSARSIN
,Hayat işte.......
,
Yağmur Havası,
,"Seni bekliyordum yağmur, küçük yağmur"
,"Ekinlerim değil, kendim"
,Hani ellerinle bende yeşerttiğin
,yağmur kokulu düşün....................
,
Bilseydim,
,Meydan verirdim ayrılığa?
,Bilseydim zor olduğunu.
,"Bilseydim dünyanın böyle karanlık,"
,Bilseydim dar olduğunu.
,Dilimden sıçrayan kıvılcımın
,Bilseydim anda kor olduğunu.
,Bilseydim anki gönül acımın
,Senin yokluğundan var oldugunu.
,"Boyun bükmezdim sitem etmene,"
,Bilseydim sükutun kar oldugunu.
,"Sebep olurdum dargin gitmene,"
,Bilseydim küsünce sır oldugunu.
,"Bilseydim yüzümün dört mevsimi güz,"
,İçimin ağlayan nar oldugunu.
,"Bilseydim odamın dört duvarı buz,"
,Sensiz yatagimin kar oldugunu.
,Fırsat tanırdım dargınlığa
,Bilseydim zor olduğunu.
,"Bilseydim zindandan daha karanlık,"
,Bilseydim hücreden dar olduğunu....
,
 Sır İçinde Sır Gördün Mü,
,Kuru lâf da‘van var
,esrara erdin
,Esrarın eyle aşikâr
,Sır içinde sır gördün
,Boş boşuna çekersin gam
,Sabrın var olsa sitem
,Hakikattan vurursun dem
,Kapusun açıp gördün
,Âşık ah çeker yarine
,Tama eylemez varına
,zâlim nefsin serine
,Teber çalıp yardın
,Zarbım arslanı devürür
,Sendekilerin kavurur
,Lâkin dağdan kar savurur
,Toz dumanı ayırdın
,"Cemâl, bahtı karalısın"
,âşıktan turalısın
,böyle yaralısın
,Yar melhemini sardın
,
Şair İşçidir,
,Bağırırlar şaire:
,'Bir torna tezgâhı başında göreydik seni.
,Şiir ne?
,Boş iş.
,"Çalışmak, harcınız değil demek ki...'"
,Doğrusu
,bizler
,en yüce değerdir çalışmak.
,kendimi
,fabrika saymaktayım de.
,
,bacam yoksa
,İşim daha zor demektir bu.
,Bilirim
,hoşlanmazsınız boş lâftan
,"kütük yontarsınız kan ter içinde,"
,
,bizim işimiz farklı sanırsınız bundan:
,Kütükten kafaları yontarız de.
,hiç kuşkusuz
,saygıdeğer iştir balık avlamak
,çekip çıkarmak ağı.
,doyum olmaz tadına
,balıkla doluysa hele.
,
,daha saygıdeğerdir şairin işi
,"balık değil, canlı insan yakalamadayız çünkü."
,doğrusu
,işlerin en zorlusu
,yanıp kavrularak demir ocağının ağzında
,su vermektir kızgın demire.
,kim
,aylak olduğumuzu söyleyerek
,sitem edebilir bize;
,Beyinleri perdahlıyorsak
,dilimizin eğesiyle...
,"Kim daha üstün, şair mi?"
,yoksa insanlara
,Pratik yarar sağlayan teknisyen mi?
,İkisi de.
,Yürek motordur
,"ruh, onun çalıştırıcısı."
,Eşitiz bizler
,şairler teknisyenler.
,Vücut ruh emekçileriyiz
,aynı kavganın içinde
,ortak emeğimizle
,bezeriz evreni
,marşlarımızı gümbürdeterek
,Haydi!
,laf fırtınalarından
,ayıralım kendimizi
,dalgakıranla.
,İş başına!
,Canlı yepyeni çalışmadır bu.
,ağzıkalabalık söylevci takımı
,değirmene yollansın dosdoğru!
,Unculuğa!
,Değirmen taşı döndürmeye laf suyuyla!
,
Sitem,
,Nasıl geçersen geç artık ömrüm sana kalmış
,Sevdiğim mavi gözlümü melek almış
,Beklemiyorum artık gelmez özlüyorum
,Bize tekrar kavuşmak mahşere kalmış
,Nerden isterse ordan essin artık rüzgarlar
,Kalbimin en derin yerinde onun gözleri var
,Etmiyorum şikayet etmiyorum sitem
,Bana ondan kalan ömürlük hatıralarım var
,Dünya ister dönsün ister dursun başımda
,Hüzün sarmış yanımı sensizliğin çağında
,Vedaya gerek yok bekler beni bilirim
,Yağmur damlası dökülen gözyaşımda
,............................Necla Argüz....27 7 2009
,-izmir
,Yüreğine Misafirim Gece Şiiir ktb (2011)
,
KALBİMEDiR BU SİTEMİM,
,Sitemimdir benim kendime sessiz suskun yüreğime ederim hep sitem
,Yüreğimin isyanıdır yüzüme gülen sırt çeviren vefasızadır acı dolu sitem
,Beni hiç anlamayan inandığım benden suskun yüreğimedir sitem
,Riyakarlığını anlayamadığım kendi yüreğimedir sınırsızca olan sitem
,dilden konuştuğunu bilemedim sana inandığım kendimede sitem
,Sırtımdan vurulmuşken sırt dönmedim senin yüz çevirmen bilmem neden.
,Yüreğimi eline almak varken ayak altına almak istemenedir sitem
,güzel yüreğimi yitirdiğin durma et kendine sende beddualı sitem
,Sitemim saflığıma riyasız çıkarsız dostluğum içindir yüreğe sitem
,İhanete uğradım riyakar yüreklere kandığım içindir yüzdendir hep sitem
,Kalbim inanmaz sana desemde bilirim kalbim söz dinlemez onada sitem
,sitem etsede yürek kendimedir kimseye edemem sitem.
,REYHAN ALTAŞ
,DEĞERLİ DOST KALEMLER:
,Bırak yüreğindeki sitemi sevgiyle bak etrafına
,Bak güneş doğacak birazdan kuşlar ötecek cıvıl cıvıl
,Sabah ezanına kulak ver yakamozu düşün
,Denizin maviliği içini aydınlansın sevdalarla günün aydın
,Ufkun açık olsun.....................................................................Hanım Gemici Üzel
,ŞİİRİN HİKAYESİ:
,Not:Bu şiirdeki sitem seven insanın kendi kalbine olan sitemdir
,sevdiği insan riyakar olsada asla ona sitem edemeyeceğini
,ona inandığı onu seven duygusallığı yüzünden kendi kalbinedir sitem.
,
Etmedim ki,
,"Sırtını döndün diye, bana"
,Sitem etmedim Sana
,"Aşkın beni yaktı diye,"
,Sana hiç sitem etmedim
,Gönlüm sana küskün diye
,Gonca çiçeğimi soldurdun diye
,Aşkın bana hicran oldu diye
,Sana hiç sitem etmedim
,Gerçek aşkta kalp yanılmaz
,Seven sevene darılmaz
,Hatıralar hiçte unutulmaz
,Sana hiç sitem etmedim
,Bensiz devam et hayatına
,Sokma sakın rüyalarına
,Hesabımız Allah huzurunda
,Sana hiç sitem etmedim
,Halil hatıraları unut gitsin
,Nasıl olur akıbetin senin
,Allah’ım herkese huzur versin
,Sana hiç sitem etmedim
,Halil ÇOLAK 24.04.2005
,ANKARA
,
YA R s i t e m   E y l e m i ş,
,Gözlerinde yüklü yağmur bulutu
,"Sözleri sitem, sanki Ağu otu"
,Yüzünde hüznün kırık çizgileri
