title,poem_cleaned
Sarıkamış'ta Şehit Oldular...,
,"Sarıkamış'ta şehit olanlar hep yiğitler,"
,"Vazgeçin vatana kurşun sıkan itler,"
,"Ey Şehitler! Peygamber sizleri bekler,"
,"Sarıkamış'ta şehit olanlar, hep yiğitler,"
,"Aç olarak şehit oldu yurdu savundular,"
,"Şehit olacağız şehit diyerek avundular,"
,"Hepsi şehit oldu hiç geriye kalmadılar,"
,"Sarıkamış'ta şehit olanlar, hep yiğitler..."
,
ŞeHiT,
,Al kanımla dalgalansın bayrağım
,"Bin can verem,vatan kalsın toprağım"
,Vatan sağ oldukça bil sağım
,"Ahmet şehit,Ali şehit,ben şehit."
,Dağlar söylüyorken türkümüz
,Kaçabile vatandan hangimiz
,Nerde düşsek orda bizim gönlümüz
,"Yahya şehit,Seyyit şehit,ben şehit."
,"Dünya gelse,vatan için,din"
,"Gözüm kırpmam can için,baş"
,Derim 'Allah! muzaffer et hak için'
,"Resul şehit,Nebi şehit,ben şehit"
,(27.02.2005/pazartesi - SİVAS)
,
ben Şehit Yetimi,
,ŞEHİT YETİMİ
,"Babamı aradım yoktu yerinde,"
,"Dediler şehit, yara derinde,"
,Tut elimi babam günün birinde.
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Gözlerimde hasret, kirpiğimde nem,"
,"Kanadım kırıldı, neyleyim ninem?"
,Babasız evlerde durur annem?
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Babam bayrağıma sarılı geldin,"
,"Acı haberinle bağrımı deldin,"
,"Gönlümde yanardağ, gözümde seldin."
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"şanlı şehitsin, vatan sağ olsun,"
,"Kanını bayrağa katan sağ olsun,"
,Yerine nöbeti tutan sağ olsun.
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Babam kurşun değmiş hilal kaşına,"
,"Karılmışsın toprağına, taşına,"
,Cennet tacı konmuş şehit başına.
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Anneciğim babam bizi bekliyor,"
,"geçen gün, güne halka ekliyor,"
,Kavuşma anını kader denkliyor.
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Tut kardeşim, tut yetimin elinden,"
,"Yetim anlar, yetimin halinden,"
,Şüheda dökülür âlim dilinden.
,
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Bundan böyle hasretini çekerim,"
,"Kabrinin üstüne güller dökerim,"
,"gün, gün batımı boyun bükerim."
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Cennet gülüsün koklarım seni,"
,"Cehennem ateşi yakmaz teni,"
,Umarım yanına alırsın beni.
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,"Şehit babam kanın yerde kalmasın,"
,"Öz yurduma yaban eller dalmasın,"
,Gül yüzümden gülücükler solmasın.
,"şehit yetimi, şehit kızıyım,"
,Şanlı bayrağımın ay yıldızıyım.
,Rabia BARIŞ
,
Şehidin Arzusu...,
,"Şehidin arzusu daha şehit olmak,"
,"Herkese nasib olmaz şehit olmak,"
,"Vaad edileni, Mevla katında bulmak,"
,Şehidin arzusu daha şehit olmak.
,"Şehidin arzusu daha şehit olmak,"
,"Cennetin kapısında habibini bulmak,"
,"Şehitler üzülür, dualardan unutulmak,"
,Herkese nasib olmaz şehit olmak....
,
Çanakkale Şehitleri,
,Çanakkale Cephesi'nde
,Binlerce şehit oldu
,bizim milletimiz
,Vatan sağ olsun diyordu
,Önce Allah sonra vatan diye diye
,Şehadete eriyorlardı
,sonra sorgusuz sualsiz
,Cennete giriyorlardı
,askerin şehit oluşu
,Nice yürekler sızlattı nice analar-babalar ağlattı
,şeye göğüs gererek
,Bizim vatanı kurtardı
,Şartlar zordu
,"Silah yok para yok, yok yok yok"
,Türk askeri sağ olsun
