title,poem_cleaned
Vatan Destanı,
,"dolu toprağın şanla,"
,"değil, sanki bin vatan gibisin."
,Yüce dağlarına çöken dumanla
,Göklerde yazılı destan gibisin.
,"Hep böyle bulutlar içinde başın,"
,Hilâli kucaklar vatandaşın.
,"Geçse asırlar, tazedir yaşın,"
,"leventsin, fidan gibisin."
,"Çiçeksin, bayılır kuşlar kokundan,"
,dalın yay zümrüt okundan
,Müjdeler fısıldar Ergenekon'dan:
,sese gönülden hayran gibisin.
,"Ey bütün cihana bedel Türkeli,"
,Açtığın cenklerin yoktur evveli.
,Tarih nehir coşkundur seli.
,"ona nisbetle, umman gibisin."
,"yandan hep böyle taştın, köpürdün,"
,"yandan cefalı ömür sürdün,"
,derece ezildinse dün.
,Şimdi gene tunçtan kalkan gibisin.
,"insan nihayet kemikle ettir,"
,"et, kemiğe can hürriyettir."
,"En büyük hürriyet Cumhuriyettir,"
,Demek şimdi cihan gibisin.
,"Ey ana toprağı, ey Anadolu,"
,Açıldı önünde terakki yolu.
,"Hamdolsun yanın bereket dolu,"
,Cennette yeşil meydan gibisin.
,"Yeni ay ördün al bayrağına,"
,"Girdin en sonunda irfan bağına,"
,Medeni hayatın nur ırmağına
,Ezelden susamış ceylan gibisin.
,
Vatan Haini,
,"``Nazım Hikmet vatan hainliğine devam ediyor hala,"
,"Amerikan emperyalizminin yarı sömürgesiyiz, dedi Hikmet"
,Nazım Hikmet vatan hainliğine devam ediyor hala.´´
,"Ankara gazesinde çıktı bunlar, üç sütun üstüne,"
,"kapkara haykıran puntularla,"
,"Ankara gazetesinde, fotoğrafı yanında Amiral Vilyamson'un"
,"66 santimetre karede gülüyor, ağzı kulaklarında,"
,Amerikan amirali ....................
,
Bahar Sarhoşluğu,
,İlk sevgilimin gülüşüne benzer
,Nisan havası değil esen?
,"Zincirlere, kelepçelere inat,"
,Kanatlarımı açmak zamanıdır;
,Allahaısmarladık kaldırımlar.
,Giyenler düşünsün dar elbiseyi;
,"Ölçülü sözü, hesaplı adımı"
,kurtuldum kafeste ....................
,
Anadolu,
,Seni sevenler(!) örseledi
,"Oy güzel vatanım, oy Anadolu.."
,"Açların çalıştı, tokların yedi"
,"Oy güzel vatanım, oy Anadolu.."
,"Yanan hep oldun, yakılan sensin"
,Ruhuna çiviler çakılan sensin
,Şekilden şekile sokulan sensin
,"Oy güzel vatanım, oy Anadolu.."
,Sınırlar çizildi rüyalarına
,Yasaklar konuldu dualarına
,Hangi sesler hâkim semalarına
,"Oy güzel vatanım, oy Anadolu.."
,"Ahlat’ın, Afşin’in, Söğüt’ün mahzun"
,"Evladın, âşığın, yiğidin mahzun"
,"Tebessümün mahzun, ağıdın mahzun"
,"Oy güzel vatanım, oy Anadolu.."
,Metrûk manastırlar ihya olmakta
,"Hüzün, camilere mahya olmakta"
,Yadlar başımıza kâhya olmakta
,"Oy güzel vatanım, oy Anadolu.."
,"Üzerinden hak, adalet silindi"
,Hayâ zırhı delik delik delindi
,zelil duruma nasıl gelindi? ! .
,"Oy güzel vatanım, oy Anadolu.."
,Dün şehit kanıyla sulanan sensin
,Bugün alkollere belenen sensin
,Düşmandan sadaka dilenen sensin
,"Oy güzel vatanım, oy Anadolu.."
,Şehit torununa “sen sus” diyorlar
,“Vatan sevmek bize mahsus” diyorlar
,"taraf toz-duman, kâbus diyorlar"
,"Oy güzel vatanım, oy Anadolu.."
,Hariçten gelenler köprüyü tutmuş
,Dost karşı kıyıda seni unutmuş
,Hınzır yeller yaprakların kurutmuş
,"Oy güzel vatanım, oy Anadolu.."
,"“Biraz azim, gayret” derim ha"
,"“Delinir karanlık, sabret” derim ha"
,“Şanlı mazi döner elbet” derim ha
,"Oy güzel vatanım, oy Anadolu..."
,(Parmak İzi)
,
Vatan sevdalısı bizim gençler,
,"Vatan deyince akan sular durur,"
,Vatan sevdalısı bizim gençler.
,"Kalpleri vatan aşkı vurur,"
,Vatan sevdalısı bizim gençler.
,"Vatan deyince bayrağı alırlar,"
,Koşup Ülkü Ocağına gelirler.
,"Türkiye'yi candan aziz bilirler,"
,Vatan sevdalısı bizim gençler.
,"Vatan sevdasını öne koyarlar,"
,Kanunlara nizamlara uyarlar.
,"güzel vatanı kutsal sayarlar,"
,Vatan sevdalısı bizim gençler.
,"Vatan atadan miras olup haktır,"
,Vatan ölecek insan çoktur.
,"Vatanı sevmenin sınırı yoktur,"
,Vatan sevdalısı bizim gençler.
,"Yusuf gençler vatan can bulur,"
,Gerektiği zaman vatanda ölür.
,"Uğruna seve seve şehit olur,"
,Vatan sevdalısı bizim gençler.
,
Şüheda Kanıyla Yoğrulan Bu Yurt,
,Şüheda kanıyla yoğrulan yurt
,Sana yan bakanlar çekmez bela
,Sende yaşayan Türk mert oğlu mert
,Biri yüz bin olup cihana dola
,Cihana dolasın buluban izzet
,Senin sahibindir sâhib-nübüvvet
,Bunu fehm edemez ehl-i gaflet
,Zanneder gelip geçen beyhuda
,Türk oğlu mertlikte yektâ cihandan
,Vatanıyçün geçer ser candan
,Kahreder düşmanı çekinmez andan
,nusret veren Hazret-i Mevlâ
,Dinimiz İslamdır almışız himmet
,Himmet alan kılmaz kimseye minnet
,Hep âlem İslamda bulur hürriyet
,"Kırım, Bahçesaray, Hîve, Buhara"
,"Irak, İran, Afganistan, Suriye"
,"Mısır diyarı, Fas gele beriye"
,birliğe karşı düşman eriye
,zaman dünyada bak ola
,"Endozin, Pakistan gele yetişe"
,Bütün dindaş hep el ele tutuşa
,vakit ülkemiz döner ateşe
,Kimse parmak uzatamaz alava
,Alava düşenler yanar çıkamaz
,Yüz bin kedi arslanı yıkamaz
,Ordumuza kimse hain bakamaz
,Sâdıktır hep sâdık emîr ümerâ
,Celal Bayar milletin sultanı
,"Adnan Menderes vekiller hanı,"
,Refik Koraltan’ı ordu tekmanı
,Umaram yaşasın dünya durdukça
,Çakmak ataşlansa cihanı dağlar
,"Doğuya, batıya yıldırım yağar"
,"Dostları şad olur, hep düşman ağlar"
,Salar cümlesini hay vaya
,Gene gönlüme geldi efkâr
,Bari saklamayam kılam âşikâr
,Bizim gavsü’l-a‘zam kutb-ı zaman var
,Dar günde imdada gelir evliya
,Umaram yurda gelmesin keder
,Hain bakanları ola derbeder
,Cümle âşk-ı sâdık hep dua eder
,niyâz eyle ey Cemâl Gedâ
,
Azerbaycan-Türkiye,
,Azerî Türkçesi
,"ananın iki oğlu,"
,amalın iki qolu.
,"ulu, ulu"
,Azə rbaycan - Türkiyə .
,"Dinimiz bir, dilimiz bir,"
,"Ayımız bir, ilimiz bir,"
,"Eşqimiz bir, yolumuz"
,Azə rbaycan - Türkiyə .
,"millə tik, iki dövlə t"
,"Eyni arzu, eyni niyyə t."
,Hə r ikisi cümhuriyyə t
,Azə rbaycan-Türkiyə .
,Birdir bizim hə r halımız—
,Sevincimiz - mə lalımız.
,Bayraqlarda hilalımız
,Azə rbaycan - Türkiyə .
,"Ana yurdda - yuva qurdum,"
,Ata yurda könül verdim.
,"Ana yurdum, ata yurdum"
,Azə rbaycan - Türkiyə .
,Türkiye Türkçesi
,"ananın iki oğlu,"
,amacın iki kolu.
,"ulu, ulu"
,Azerbaycan - Türkiye...
,"Dinimiz bir, dilimiz bir,"
,"Ayımız bir, yılımız bir,"
,"Aşkımız bir, yolumuz"
,Azerbaycan - Türkiye...
,"milletiz, iki devlet"
,"Aynı arzu, aynı niyet."
,ikisi cumhuriyet
,Azerbaycan - Türkiye...
,Birdir bizim halimiz
,"Sevincimiz, melalimiz."
,Bayraklarda hilalimiz
,Azerbaycan - Türkiye...
,"Ana yurtta yuva kurdum,"
,Ata yurda gönül verdim.
,"Ana yurdum, ata yurdum"
,Azerbaycan - Türkiye...
,
Dostlar Beni Hatırlasın,
,giderim adım kalır
,Dostlar beni hatırlasın..
,Düğün olur bayram gelir
,Dostlar beni hatırlasın..
,Can kafeste durmaz uçar
,Dünya han konan göçer
,Ay dolanır yıllar gecer
,Dostlar beni hatırlasın..
,Can bedenden ayrılacak
,Tütmez baca yanmaz ocak
,Selam olsun kucak kucak
,Dostlar beni hatırlasın..
,gelsemdi giderdim
,Günden güne arttı derdim
,Garip kalır yerim yurdum
,Dostlar beni hatırlasın..
,Açar solar türlü çiçek
,Kimler gülmüş kim gülecek
,Murad yalan ölüm gerçek
,Dostlar beni hatırlasın..
,Gün ikindi akşam olur
,Gör başa neler gelir
,Veysel gider adı kalır
,Dostlar beni hatırlasın.
,
Tertemiz Yürek,
,"anam var, babam."
,"yurdum var, tanrım."
,"beşiğim var, kefenim."
,"sevgilim, aşkım, evim barkım."
,"Tam üç gün var açım,"
,komadım ağzıma lokma.
