title,poem_cleaned
Yürü Bire Yalan Dünya 1,
,Yürü bire yalan dünya
,Sana konan göçer gün
,İnsan ekine misal
,Seni eken biçer gün
,Ağalar içmesi hoştur
,züğürtlere güçtür
,Can kafeste duran kuştur
,Elbet uçar gider gün
,Aşıklar der n'olacak
,dünya mamur olacak
,Haleb'i Osmanlı alacak
,Dağı taşa katar gün
,Yerimi serin bucağa
,Suyumu koyun ocağa
,Kafamı alin kucağa
,Garip anam ağlar gün
,Yer yüzünde yeşil yaprak
,Yer altında kefen yırtmak
,Yastığımız kara toprak
,bizi atar gün
,Bindirirler cansız ata
,İndirirler tuta tuta
,Var dünyadan yol ahrete
,Yelgin gider salın gün
,Karac'oğlan der nasıma
,işler gelir başıma
,Mezarımın baş taşına
,Baykuş konar öter gün
,
Yalan Dünya Sana Bel Mi Bağlanır,
,Yalan dünya sana bel bağlanır
,Hani benim önüm sıra gelenler
,Ölüm var derlerdi inanmazdım
,Duya duydum essah imiş yalanlar
,Yaratmıştır insan hayvanı
,İnsanda emanet koydu canı
,Üçyüz altmış altı peygamber hani
,Bizi kor onları alanlar
,Şöyle günahkar kul türemişim
,Bilemem feleğe n'eylemişim
,Feleğin burcunu aramışım
,Bel bağlar dünyayı görenler
,Pir Sultan Abdal'ım gezerek gelir
,Elinde defteri yazarak gelir
,Sıra dolanarak bize dek gelir
,Ölmez imiş bizim ölenler
,
Ben Uyandım Bİr Aşk Demektir Dünya,
,uyandım aşk demekti dünyada
,"-Sesin, gülü bırakmak şeydi"
,"Karaydım, kağıt gibiydim yaşamalarda"
,Adım görseniz gün denizlerdeydi
,Bin yıl M sesiydim ....................
,
Dünya İle Bir Pazarlık Eyledim,
,Dünya pazarlık eyledim
,virane harabe şendir
,Seyrettim dükkâna uğradım
,çarşıdır bedesten hardır
,Sırr-ı surullahtır âleme inene
,Dedim harfim manasını duyana
,Çiçeğe uğradım kokusu bana
,bağdadır bağbandır güldür
,makam seyrettim kim gelecek
,İkrarsızlar kıyamete kalacak
,gerçek harfim var mana alacak
