title,poem_cleaned
"Hayat, Mayat",
,"Hayat, mayat diyorlar"
,Benim gözüm mayat'ta.
,Hayatin eksiği var:
,Hayat eksik hayatta.
,"Takınsam, kanat, manat;"
,"Kuş, muş olsam seğirtsem."
,"Bomboş vatana inat,"
,Matan'a doğru gitsem...
,
Mürde Cânım İltifâtundan Bulur Her Dem Hayât,
,Gazel
,Mürde cânım iltifâtundan bulur dem hayât
,Ölürem ger kılmasan dem mana iltifât
,Yaza bilmez leblerün vasfın temâm-ı ömrde
,Âb-ı Hayvân verse kilk-i Hızr'a zulmetden devât
,Men fakîrem ganî vergil zekât-ı hüsn kim
,Şer' içinde manadur sana vâcib zekât
,Görmeyince ışkunı îmâna gelmez âşıkun
,Yüz peygamber cem' olub gösterseler min mu'cizât
,Mazhar-ı âsâr kudretdür vücûd-ı kâmilün
,Feyz-i fıtratdan garaz sensen tufeylün kâ'inât
,Cevher-i zâtundadur mecmu-ı evsâf-ı kemâl
,sıfât sensen kandadur pâk zât
,Işka tâ düşdün Fuzûlî çekmedün dünya gamın
,Bil kayd-ı ışk imiş dâm-ı ta'allûkdan necât
,
Dertler Benim Hayat Senin Olsun,
,zamanlar benim sevgilimdin
,Yanımdayken hasretimdin
,Şimdi aşk buldun
,Mutluluk senin olsun
,"Dertler benim, çile benim, hasret benim"
,"Hayat senin, senin olsun"
,"Ömrüm senin, senin olsun"
,"daha çile, dertlere yolcuyum"
,alnına dert yazılan kader mahkumuyum
,"Farketmez yaşamam, mesut ol yeter"
,Dertler bana gönül vermiş
,aşk sarhoşuyum
,Dilerim arzun gerşek arzun
,"Hayat bu, şansın hep açık olsun"
,"Dertler benim, çile benim"
,Hayat senin senin olsun
,"Hatıralar, hasret benim"
,Ömrüm senin senin olsun
,gün daha geçti sensiz
,"Aşkım ağlıyor bak, sessiz sessiz"
,"Çare bensiz, çaresiz"
,Ümidim senin olsun
,Sana gelen dertler benim
,Mutluluk senin olsun
,
Suda Seken Hayat,
,bindokuzyüzaltmış doğumlular
,yıldız kanatlı birer kuştular
,doğru uçtular yanlış uçtular
,bıkmadan usanmadan uçtular
,bindokuzyüzaltmış doğumlular
,yıldız kanatlı birer kuştular<....................
,
Dizelerinde Göz Kırpsın Hayat,
,DİZELERİNDE GÖZ KIRPSIN HAYAT
,çiçek getir
,kokusu sevgilinin nefesi olsun
,şarkı söyle
,esi iki nefes arası
,sevgilinin sesi gülüşü olsun
,resim çiz
,yârin gelişi olsun
,şiir yaz
,çocukluk düşü olsun
,İki kirpik arası
,dizelerinde göz kırpsın hayat
,Mahmut Nazik 02 05 2015 Mersin
,
Kısa,
,"Hayat kısa,"
,Kuşlar uçuyor.
,"(Yeni Yaprak, Sayı: 2, Ocak 1989)...................."
,
