title,poem_cleaned
Tanrı Karar Verince Yaratmaya,
,tanrı karar verince yaratmaya
,şeyi soluk aldı
,sirk çadırından daha büyük
,şey başladı
,insan karar verince yok etmeye
,kendisini topladı geleceğin
,geçmişini bulduğu tek nedeni
,parçaladı çevirdi çünküye
,
Tanrım Alışmakla Cezalandırma Beni,
,Beceremiyorum artık
,Senin adından kristal çiçekler yapmayı
,uyanıyor öldürülen çocuklar
,Oysa sapağında durduğum sokağın
,Çocuklarından öğreniyorum yaşamayı
,Savaşta öldürülen çocuğun
,Bulanık bakışlarından anlayamıyorum
,Savaşta olsa insan
,Nasıl öldürebilir insanı
,Nasıl akıtabilir kini namlulardan
,merhametli gökyüzünün
,şefkatli yeryüzünün arasında kaldı
,Arasat meydanı kalbim
,Şahit olmakla olana bitene karşı
,Beceremiyorum artık koparmayı
,"Seviyor, sevmiyorlu yapraklarını papatyaların"
,patlıyor tohumu gri kurşunların
,Ölenlerin yerine kokluyorum
,"Islak toprağı, yaşamayı"
,kelimenin dibine doğru düşüyorum
,Tanrım...
,"Tanrım, alışmakla cezalandırma beni! ..."
,
Şehla,
,Karanlık koridorda
,çelik bıçaklar üstünde yürüyor
,tahta tanrı
,Sevgilinin paslı ağzında
,opal gözlü sümüklüböcek
,görünüyor çift kağıdın içinden
,valse gidiyor tabut
,
Buğday,
,"Düzüldü uçsuz bucaksız alay,"
,Çıngıraklar çalar kapılarda.
,"Düzüldü uçsuz bucaksız alay,"
,"Bak, son hasam başladı rüzgarda."
,"Okundan atılmak üzere yay,"
,Kuyuların ağzı genişledi.
,"Okundan ayrılmak üzere yay,"
,Korku ta kemiğime isledi.
,"Savruluyor gökyüzünde buğday,"
,Gölgeler uzaklaşıyor yerde.
,"Savruluyor gökyüzünde buğday,"
,Tanrım! tanrım! deva derde.
,"Düzüldü uçsuz bucaksız alay,"
,Çıngıraklar çalar kapılarda.
,"Düzüldü uçsuz bucaksız alay,"
,"Bak, son hasam başladı rüzgarda."
,"Undan bize pay, bize pay,"
,"Koşun, buğday dağıtıyor Yusuf."
,"Undan bize pay, bize pay,"
,Çökmeden sonu gelmeyen küsuf.
,"Eriyecek tencerede kalay,"
,Çocuklar ağlaşmasınlar dağda.
,"Eriyecek tencerede kalay,"
,Yetişmeyecek Ömer imdada.
,"Altında ayni eyer, ayni tay;"
,Arayıcısı herkes sesin.
,"Altında ayni eğer, ayni tay;"
,seferi ayni köye herkesin.
,"Artık kuruldu kervansaray,"
,Boşuna düşünür ihtiyarlık.
,"Artık kuruldu kervansaray,"
,Simdi seslerle dolu mezarlık.
,
Neden,
,Islak hüzün çarpıyor yüzüme
,tanrı ağlıyor?
,Bulutlar mendiliyse
,Neden rahmet damlıyor?
,
Afyon Garındaki,
,"Afyon garındaki küçük kızı anımsa, hani,"
,Trene binerken pabuçlarını çıkarmıştı;
,"Varto depremini düşün, yardım olarak Batı'dan"
,Gönde....................
,
Bir Hançer İstiyorum,
,"Aylar var ki, ey Tanrım, görünmez oldu yüzüm,"
,Dor atlı yaylıların süslü aynalarında...
,"Aylar var hastayım, aylar var öksüzüm.."
,"Dağlar önümde boy boy, güneş gözümde tel tel;"
,"At üstünde söylenen şiirler güzel,"
,Türküler yakılacak ölümler istiyorum.
,Bayburd'un kalesinden sakatlar geçmez elbet;
,"Çoruh'un sularından hastalar içmez elbet,"
,Yiğitçe saplanacak hançer istiyorum.
,
"Defterim Dolsa da Suçlarla, Siyahtan Korkmam",
,"Dal goncayı sabah açılmış buldu,"
,Gül melteme masal deyip savruldu
,Dünyada vefasızlığa bak; on günde
,"gül yetişip, açıp, solup kayboldu."
,"acırken bana, hiç günahımdan korkmam"
,"Benle oldukça; yokuş, engebe, yoldan korkmam"
,"Beni ak yüzle diriltirsin a Tanrım, bilirim;"
,"Defterim dolsa suçlarla, siyahtan korkmam."
,
Rubai,
,Tanrım; acaba sahte gözlerdeki nur?
,Aldanmadayım şeye mahmûr mahmûr...
,"Madem var, yok dünyada, yalan;"
,Öyleyse neden hesabı ciddi sorulur?
,
Zamanın Sesleri I,
,"ses dolduruyor kulaklarımı,"
,"Deniz kızı Eftalya,"
,"Borulu gramofonlar inlerdi,"
,En tramvaylı 1935 Istanbul'unda
,"en yalnız, en bitik İstanbullu"
,Anardı Yemen'de gömülü olan
,1916 lı yaz günlerini
,bildiğin tara saçlarını
,Takmayı unutma karanfili
,Bırak bana düşünmeyi eski saçları
,"Bırak bana düşünmeyi eski günleri,"
,-Böylesi daha iyi-
,Ah ses Tanrım ses
,"Adamo, Animals, Beatles"
,"sesle gömüldü çoğumuzun,"
,1966'lı yaz günleri.........
,
Üstü Kalsın,
,Ölüyorum tanrım
,oldu işte.
,öl....................
,
Turan Duası,
,"Seni, acundan yüce tek 'var' saymışım Tanrı'm"
,"Göğe değen başımı, yere eğmişim Tanrı'm"
,gönlümde yanına çiçek koymuşum Tanrı'm
,"sevgiyi verdin, benim nazımdır"
,"Korkak kullarca değil, erkekçe niyazımdır"
,"Ey Tanrı'm, yüce Tanrı'm"
,"Kat, gücü güce Tanrı'm"
,Bölük bölük bölündük
,Sonumuz nice Tanrı'm
,"Sensin derdi yaratan, derman olan"
,"Sensin Türk'ü yaratan, ayrı kılan"
,"Yüce dağlar birleşir, 'ol' desen"
,"Dilersen kes hakkımı ekmeğimden, suyumdan"
,"birlik, varlık demek esirgeme soyumdan"
,Kapına durdum Tanrı'm
,Yere diz vurdum Tanrı'm
,Çek kızıl perdeyi
,olsun yurdum Tanrı'm
,"Tanrı'm, şerefim için, namusum, dinim"
,Şerefsize bilenen şerefli kinim
,"'Ben' dedim ya, andolsun, sanma benim"
,"Ahlaksız çarklar için, saklanmaz farklar"
,"çakal insancıklar, bozkurt Türkler"
,Açtım elimi Tanrı'm
,Çözdüm dilimi Tanrı'm
,Kabul et duamı
,Arz-ı halimi Tanrı'm
,"gece, ağlar kurtlar uludu dağdan"
,"Gözlerime kan değdi, dokuz yaralı tuğdan"
,"türkü, ağıt kopardım eski çağdan"
,"Türküm umudum olsun, ağıdım yaram olsun"
,Türküsüz ağıtsız gün bana haram olsun
,acı beter Tanrı'm
,Sanmam biter Tanrı'm
,Belki benden artar
,Neslime yeter Tanrı'm
,Bizi zulme bileyen kutlu güç senindir
,Haklı yiğit kılan terefli taç senindir
,"Türk olmaksa suçumuz, soylu suç senindir"
,"Sanma sorgudur, Tanrı'sın, kulum"
,"sabırda zenginsin, bense işte yoksulum"
,"Dört yanım soru, Tanrı'm"
,Hepsi en zoru Tanrı'm
,Soruların zorundan
,Soyumu koru Tanrı'm
,"Tanrı değil misin, adını yargılatma"
,"Sana Tanrı deyince, dinimi sorgulatma"
,"adam et bunları, beraber yaşatma"
,Kanı bozuk olanlar 'Türk'üm' diyemesinler
,Türk'ün dik başını yere eğemesinler
,"Gökçek Tanrı'm, gök Tanrı'm"
,Sevgisi büyük Tanrı'm
,İti kurda baş kılma
,ağır yük Tanrı'm
,"Şimdi beni ezenler, demek soyumu bilmez"
,Bozgunun ardındaki mutlak toyumu bilmez
,"Demek beni bilir de, deli huyumu bilmez"
,Çin'de kırkbir çeriyle ihtilal yapan kimdi?
,Peki uslanmaz kan hangi bedende şimdi?
,"Şükür bende, Tanrı'm"
,"'Niçin'i, sende Tanrı'm"
,Bugünü kutlu kıl
,Gözlerim dünde Tanrı'm
,"Türkiye benim yurdum, canım kurban yurda"
,dağ gelir mayası hür bozkurda
,Kıralım zenciri artık ferman buyur
,"Sınırları bozalım, yeni baştan çizelim"
,Kendi toprağımızda hesapsızca gezelim
,ferman buyur Tanrı'm
,Dünyaya duyur Tanrı'm
,Türk'ü Türk'e kavuştur
,Var beni ayır Tanrı'm
,gün ölen
,uyur Tanrı'm
,
Tanrı Türk'ü Korusun,
,demiş Bilge Kağan:
,“Tanrı Türk’ü korusun”
,Dilde dua zaman
,Tanrı Türk’ü korusun
,Tanrı demek; Hak demek
,ilah yok demek
,Tek mabuttur Allah tek
,Tanrı Türk’ü korusun
,Şirke koşan canlardan
,Devşirilmiş kanlardan
,İğdiş Müslümanlardan
,Tanrı Türk’ü korusun
,Cihan hoş olsun diye
,Zalim taş olsun diye
,Hilâl baş olsun diye
,Tanrı Türk’ü korusun
,Hayır görünen şerden
,"Bayraksız yurttan, yerden"
,Amelsiz âlimlerden
,Tanrı Türk’ü korusun
,Kıyamda duran
,Umudum Turan
,Mübarek Kur’an
,Tanrı Türk’ü korusun
,söz atanın sözü
,şudur özü:
,Korusun bizden bizi
,Tanrı Türk’ü korusun
,
Tanrı Türk'ü Korusun,
,"Türk olarak eyle dua,"
,Tanrı Türk’ü korusun.
,"Rıza-i Lillah dava,"
,"……Hikmetlerin sırrısın,"
,…..Tanrı Türk’ü korusun!
,"Kur’an olsun rehberin,"
,Hiç eğilmesin ser’in
,"Ol cihan Peygamberin,"
,"…...Ardı sıra yürüsün,"
,…..Tanrı Türk’ü korusun!
,"Mazlumlara sığınak,"
,"Gariplere dayanak,"
,"Kalbi temiz alnı ak,"
,"…..İnsanlığın nurusun,"
,…..Tanrı Türk’ü korusun!
,"Yetim öksüzlerin,"
,"İşgaldeki kızların,"
,"Ekmeksiz, aşsızların,"
,"…..Dizlerinin ferisin,"
,…..Tanrı Türk’ü korusun!
,"Birbirini korurlar,"
,"Sana karşı dururlar,"
,"Birleşir vururlar,"
,"…..Çünkü HAKK erisin,"
,…..Tanrı Türk’ü korusun!
,"Sapıklıklara sapan,"
,"Şeytan-ı Lain’e tapan,"
,"Türk’e işkence yapan,"
,"…..Düşman kanı kurusun,"
,…..Tanrı Türk’ü korusun!
,"Tüm küfür birlik olsa,"
,"Etrafı yamak dolsa,"
,yazar hepsi gelse?
,"…..Varsın itler ürüsün,"
,…..Tanrı Türk’ü korusun!
,"Uyan, uyuyan yiğit!"
,"Sözüm değildir öğüt,"
,Kalk kendini eğit;
,"…..Hasmı korku bürüsün,"
,…..Tanrı Türk’ü korusun!
,KORKUT der; Türk doğanlar!
,Kalbi İslam’la oğanlar!
,Korkuyu kökten koğanlar!
,"…..Örneğin tek türüsün,"
,…..Tanrı Türk’ü korusun!
,Hasan KORKUT
,"Aksaray, 29.07.2013"
,USTA KALEMLERİNDEN DAMLALAR:
,Düşündüm derin derin
,yanda var eserin
,Övdüğü Peygamberin
,.....Ak sulardan durusun
,.....Tanrı Türk'ü korusun........................S. Karahocagil.
,Eserin sahibi cana can olsun
,incecik kalpler imanla dolsun
,Körpe gönüllere armağan olsun
,"De, gönülden, Tanrı Türk'ü korusun! ..............Arif Tatar"
,"Türkler İslam kalesi,"
,"Türkler Bozkurt yelesi,"
,"Türklük ölesi,"
,Meleklerden arısın...
,Tanrı Türk'ü korusun...
,"Haksızlara dur diyen,"
,"Yetimlere ver diyen,"
,"Paylaş yere ser diyen,"
,Tanrı'nın yar'i sin...
,Tanrı Türk'ü korusun.......................Alp Aldatmaz
,
"Tanrı,dan",
,Çileyle feryadla tükettim ömrümü
,vefasıza kaptırdım yetim gönlümü
,Fersiz kaldı gözlerim göremez önümü
,"El açtım tanrı,dan beklerim ölümü"
,Herşeyine sabır dedim çektim sineye
,Kara gömleğim yırtık hasrettir iğneye
,Takatsız dizlerim başladı dövünmeye
,"El açtım tanrı,dan beklerim ölümü"
,Durmadan çektirdin bana bin zahmet
,Hiç kalmamış içinde birazcık rahmet
,Beyaz kefenle karşındayım haydi emret
,"El açtım tanrı,dan beklerim ölümü"
,Gidersem mutlu olacağını hiç sanma
,Benim boşuna dövünüp yanma
,Ihanet olur daha ismimi anma
,"El açtım tanrı,dan beklerim ölümü"
,Nedir memo çiloya böyle ihanettin
,"Tanrı,dan darbe ye olmasın kıymettin"
,Dilerim benden beter olur. akibettin
,"El açtım tanrı,dan beklerim ölümü"
,
Tanrı,
,Siperlerde hiç ateist yoktur! ...
,"Hristiyan Tanrı,"
,"Musevi, Müslüman Tanrı,"
,Çinli Tanrı
,hangi Tanrı
,Tanrı...
,Onsuz Yapamayız...
,(Temmuz - 2006/İzmit)
,
Yaz Dedi Tanrı,
,kelebekler vardı önce
,geceden uçmaya güne
,kanat çırpan
,gizlice...
,yaz dedi tanrı;
,"gökten sağnak hüzünler yağarken,"
,kırlangıcı çığlığına
,göm dedi.
,yaz dedi tanrı; kendini boşluğa bırakmaya hazırlanan
,"yorgun sesini at sırtına,"
,bebeğin yüreğini
,kirlet dedi.
,yaz dedi tanrı; ruhun sırra kadem bastığı
,"ayrılık öyküsünde,"
,aşığın sevdasına
,sırt dön dedi.
,yaz dedi tanrı; peşin sıra kovalarken
,"inandıklarının inançsızlıgı,"
,meltem esintisini
,kov dedi.
,yaz dedi tanrı; güneşe bulanmış
,"karanlık gölgeler aldatmacasında,"
,uçurtmayı toprağa
,çiz dedi.
,yaz dedi tanrı; yoktan iç çekişin
,"nefes kesen çığlıklarıyla,"
,güneşin doğuşunu
,batır dedi.
,yaz dedi tanrı; dokunmadan yağmurun ürkekliğine
,"en arsızını fırlatıp kahkahaların,"
,ayın şehvetini
,söndür dedi.
,yaz dedi tanrı; esmer tene yaraşırken
,"rengarenk umutlar,"
,varolmanın yokluğunu
,hatırlat dedi.
,yaz dedi tanrı; yalanı yakmış
,"tüttürürken dudakların arasında,"
,kelebeğin kanadını
,kır dedi.
,yaz dedi tanrı; gölgeleri örten ışıklar
,"yankılanırken gözlerden,"
,gerçeği düşe
,çevir dedi.
,yaz dedi tanrı; acının cüssesi
,"ağır gelirken ölümden,"
,umudun ışığını
,kapat dedi.
,yaz dedi tanrı; hic yazılmamış şarkının
,"notalarında çırpınırken,"
,matemin karasına
,ak düşür dedi.
,y a z d e d i t a n r ı
,yazdım!
,"sil dedi tanrı,"
,durma!
,şimdi
,sil…
,s i l d e d i t a n r ı
,silemedim!
,kelebekler öldü sonra
,geceden uçmaya güne
,kanat çırpan
,gizlice...
,"yaz dedi tanrı,"
,gülümsedi;
,y a b e n t a n r ı d e ğ i l s e m
,...
,
Tanrı,
,"Bİr Tanrı yalnız,bir yalnızım,"
,"Tanrı sahip,bir sahipsiz."
,"Bİr Tanrı var bildiğim yaratan,"
,varım hata yapan.
,"Bİr Tanrı var herşey onun,"
,"Güneş,su,toprak,insan."
,"Güneş kızarır utancından,"
,"Su bulanır,"
,"Toprak ağlar,"
,"Öyle insan var ki,utanmaz."
,Kendini Tanrı sanır.
,30 nisan 2004
,AKSARAY
,
"Ateş, Sen",
,"Ateşse tanrı şamanların dediği kadar,"
,Onunla sigaramı yakarım...
,Güneşse tanrı
,Onunla tanrılanırım...
,Görünmüyorsa tanrı
,Yalanlara inanırım
,Kurtarmıyorsa tanrı
,Ona gülerim
,Seni yaradansa tanrı
,O'na taparım...
,
Tan(r) ı,
,"Tanrı yalanı hiç sevmez sevgilim,"
,Aşksız yaşanmayacağı yalan
,Yalansız yaşanmayacağı doğrudur…
,"tanrı oyun oynamayı bilmez,"
,İstenmeyen bit kaderine teslim
,Kendini ensenin kökünde bulur…
,"Tanrı herkesten kıskançtır sevgilim,"
,Sana numunelik aşklar bırakır
,elinden aldığı en sevdiğin olur…
,"Tanrı yazdığını silmez,"
,ırmaktır insan yatağına küs
,"Ömür, kollarında taşıdığı sudur…"
,
Uyma,
,Uyma kötülere
,Bulaşma kötülere
,Selam verme kötülere
,Onların tanrı cezasını vere
,Bulur belasını
,Etrafında bulamaz hiç akrabasını
,Onların tanrı verecek cezasını
,devlet sağlar onların islahını
,
Şah At,
,Kut tanrı sıfat
,Sal tanrı vahit ahat
,Tanrı sal kut sal
,yerde odur şah at
,Kudüs sal em yeri
,Kud’u sal üs em seri
,Üs em hane manayla
,Söz olur tanrı evi
,Ruh yaşam hayat
,Hayat güneş ev bay at
,Şam evi beden mesken
,Onunla yaşam reyat
,Mummu bilgesi uman
,Lahamu anne leman
,Lahmu adem ruh evi
,göklü adı yaman
,Kur tiamat ruh yeri
,Kishar çeri kes seri
,Anshar tur sanı özde
,Anu gök eye meri
,
İade,
,Tanrı' nın
,Verdiği
,Emanetti
,"Aşk,"
,"sana verecektim,"
,Tanrı'
,İade! ..
,
**Ve Tanrı Buyurdu: Kulum! Çok Yalnızım,
,tanrı oluyorum son günlerde
,tanrı yalnızlaşmakta
,bana inananların sayısı
,gün geçtikçe azalmakta
,13/09/2005
,
Eğer tanrı varsa,
,Senin derdin insanlık değil paradır para
,Senin yüzüne bakılmaz karadan kara
,Keyfince atıyorsun garibanlara nara
,tanrı varsa düşürür seni dara
,Asya afrika orta doğu hepsi bahane
,Dünya ellinde olmuş mahkumhane
,Daha kimleri yutacaksın söyle sana
,tanrı varsa düşürür seni dara
,Kendine kinin varsa kusma çevrene
,Utan be soysuz dönde bak evrene
,İnsan olan insan kıyamaz tatlı cana
,tanrı varsa düşürür seni dara
,Savaş dediğin insanlık acı
,Asırlardır aranıyor bulunmuyor ilacı
,Seni sehtekar seni düzen baz yalancı
,tanrı varsa düşürür seni dara
,
İnSaN TaNRı OlAmAz,
,İnsanın insan olmaktan
,Yoktur elbet payesi
,Bazen insan diye görünür
,"Şeytanın avanesi,"
,En üstün denen insan
,"En alçak şeklen insan,"
,"İster Peygamber,ister Kral isterse Padişah,"
,İster miskin isterse işlesin günah
,"Şeklen olsa,konumsal olsa,"
,"İnsan insandır asla yoktur çaresi,"
,Tanrılık vehmedenler
,"Bilsinler tanrı bir,"
,"Hiç insan,"
,Asla tanrı değildir.
,"İnsan diye var olduk,"
,"İnsan kalalım,"
,"yeter elbet bize,"
,Tanrısal vehimlerden
,"Nefsi kurtaralım,"
,"İnsanı insan bilip,"
,"Ona saygı duyalım,"
,İsa (A.S) tanrı mıydı
,"O'na tanrı dediler,"
,"Dini miras alanlar söylemekteler,"
,İsa(A.S.) nın insan olduğunu göremediler.
,"Aklı kullanamayıp düşünemediler,"
,"Gözlerini perdeleyip göremediler,"
,"Tanrıdan tanrı olamaz,"
,"İster altta olsun isterse üstte,"
,"İnsan insandır fanidir,"
,"Toplasan da,çıkarsan da, bölsen de,"
,"Çarpsan bütün insanları,"
,Asla asla asla tanrı olamaz.
,
UB-039 Tükenmeyen aşk! ..,
,"Hiç tükenmeyecek aşk,"
,Hiç terk etmeyecek sevgi..
,"Tanrının yarattığını sevmesi,"
,Yaratılanın yaratanını sevmesi..
,"Buluşursa kalp noktada,"
,Gölge kalır diğer hepsi...
,"Zaman değişmez tanrıda,"
,"Devleşir tanrı aşkı,"
,Tüm zamanlarda..
,"Değişen sadece,"
,İnsan zamanıdır.
,"Artık tanrıya,"
,Âşık olma zamanıdır...
,"Geçmişse tanrı aşkı olmadan hayat,"
,"Tanrı germemişse insana kanat,"
,"Geçici aşk sevdaların yaşamında,"
,acıları kalır tüm zamanlarda! ..
,11.05.2006 İzmir
,
Tanrı şahidim olsun,
,Nasıl gidersin benden
,Son nefesim vermeden
,Düşmedin gözlerimden
,Tanrı şahidim olsun
,gün olsun ömürüm
,Gitme sensiz ölürüm
,Sana kurban olurum
,Tanrı şahidim olsun
,Kahrederim gülemem
,Sonum n'olur bilemem
,Yokluğuna gelemem
,Tanrı şahidim olsun....
,
.Tanrı Aşk Kutsuyor,
,çatısız mekanda
,kadehin çin çin sesi
,sağlığa umuda
,biten güne vuruluyor
,kırmızılar içinde melek
,gözlerimde yanıyor tebessümü
,tanrı seni kutsuyor
,gölgesini kaybederken gün
,mavinin uçsuz bucaksız büyüklüğünde
,yakamozların dans ettiği deniz kıyısında
,güneşin muhteşem sonunda
,büyüleniyorum
,tanrı ruhumu kutsuyor
,bütün renklerin gizemi
,gözlerimde düş oluyor
,hayalim denizler aşırı
,mavinin tonunda
,dolunayın şavkında
,gece sevgi kutsuyor
,dans müziği eşliğinde
,romantizm dinletisi dans ediyorum
,özür diliyorum günahlarımdan
,soyunurken çırıl çıplak
,sevginin kollarına bırakıyorum sarhoş bedenimi
,tanrı aşk kutsuyor
,17-04-2007
,
Üzgünüm Leylâ,
,Tanrı'm!
,Birgün sihirli değnek
,Değecek omuzuma
,Uyanacak mıyım söyle
,sabaha karşı
,Tüy hafif
,kuşlar özgür
,Dörtbir yanımda
,Canım sevdiklerim
,deliler
,çılgınlar
,Özlediğim sevgililerim
,Tanrı'm!
,N’olur yanlış anlama
,Nasıl burnumda tütüyor
,Eski günlerim bilemezsin
,huzur içinde çocuklar
,Mışıl mışıl uyuduğum
,Rüya dolu geceler
,huzur dolu uyandığım
,Penceremden güneşi karşıladığım sabahlar
,Sevdiklerimle masanın etrafında yaptığımız
,Neş’eli kahvaltılar
,Tanrı'm
,Esecek gene gönül penceremden
,Mutluluk şarkıları söyleyen rüzgârlar
,Yırtacak içimdeki karanlığı
,Gönül odamda yeniden yanacak ışıklar
,Açacak yeniden
,Gönül bahçemde solan
,"Boynu bükük çiçekler, renkten"
,Tanrı'm
,şey istemiyorum senden
,kırmızı gonca gülle
,Yanında beyaz lâle
,Dudaklarımda eskilerden şarkı
,Sultan-ı yegâh makamında
,'Biz Heybeli’de gece mehtaba çıkardık
,Sandallarımız neş’e dolar zevke dalardık'
,Tanrı'm
,Yoksa hep şarkı çalacak
,Gönlüm kırık plâkta
,Söyle
,'Üzgünüm Leylâ
,Çile bülbülüm çile'
,Âlimoğlu
,11.04.2003 - Kahramanmaraş
,
Aşk Ötesi Tevekkeltü Al Allah,
,AŞK ÖTESİ TEVEKKELTÜ AL ALLAH
,kurt masalı öğretin gerçeğin
,kez yanılsaydın derdim eyvallah
,Ayar tutmuyor türlü ölçeğin
,Dün helal dediğin bugünse günah
,Aşkın engellisi hırsın arsızı
,Hayatın haydudu gönül hırsızı
,Suçüstü olunca mazlum kör kuzu
,Şerrinden Riyandan neuzibillah
,Tanrının yazdığı öykü değil
,Sorusuz cevapsız kör kuyu değil
,Hak tanrı katında tabu değil
,Kuş özgürüz elhamdülillah
,Mabedler mezhepler bize dar gelir
,Yüceltip övdüğün bize ar gelir
,Bize zarar ziyan sana kar gelir
