title,poem_cleaned
Şimdiki Zaman Çekiminde Bir Mahkuma Mektup,
,Sana mektubu gece yarısında yazıyorum
,azatlığın zirvesinde sohbete dalmış yıldızlar
,zühre şarkı tutturmuş babilden kalan
,"zavallı dünya habersiz, zavallı dünya sağır"
,Harutla Marut birde dinliyorum
,Derken kayıp gidiyor yıldızlardan birisi
,intikam fişeği saplanıyor karanlığın karnına
,Senin namına yıldızları kıskanıyorum
,Kimbilir kaç ışık yılı uzakta öfkeyle kollarını çemriyor yalancı fecir
,imanım biliyorum vakit asılmak vaktidir
,taksim gazinolarında trahomlu şairler
,mısra arıyorlar masaların altında
,kanını içiyorlar bilmeden cennet atlarının
,yurdumun en sert tütününden sigara yakıyorum
,dumanı ciğerlerime değil iliklerime çekiyorum
,ürkek ceylan varsa asya çöllerinde
,domaniç yaylasında dizginsiz at
,başlıyorlar kılcal damarlarımda koşmaya
,sıcak solukları yalarken anlımı toynaklarını hissediyorum alyuvarlarımda
,sana mektubu evimin balkonundan yazıyorum
,sağ elimi koyuyorum tam yüreğimin üstüne
,çankaya yokuşunda söylediğimiz marşı duyuyorum
,ulu kayalar parçalanıyor beynimin yerine
,yerinde demirden dağlar eriyor
,atlas yelkenli gemileri unutmuş kaç levent
,viski kokulu bulvarlarda yavaş yavaş ölüyör
,istediğin seccadeyi hemen gönderiyprum
,üstünde kabe resmi anamın duları var
,bildiğin sebeplerden gelemiyorum
,biliyorsun sevmedim ülküden başkasını
,başı dumanlı dağları dolunayı ufukları
,birde çankaya yokuşunda söylediğimiz marşı
,önce Allah sonra genlerim şahit sevgimi
,üçbinyıl sonra doğacak torunuma yolluyorum
,trahomlu şairler doğruluyorlar masaların altından
,parmakları fahişelerin karanlık saçlarında
,benim kalemeimden kan değil süt damlıyor
,geceler boyu böyle geleceği emziriyprum
,kahrolayım sevmedim ülküden başkasını
,birde seni seviyorum
,
Yazılamayan Zaman,
,Herşeyi yazarım
,zamanı yazamam-
,yazar
,beni.
,Yazar beni
,yavaş yavaş
,özenli-
,azalt....................
,
Kuzeyde Zaman,
,Bak burada tanrı iyi.
,"kasaba,"
,Dünya burada başlıyormuş
,duruyor.
,Deniz kal diyor
,"Kal ömrün,"
,Gelip geçen yolculara
,Bakmakla geçsin.
,*
,"Kuzeyde,"
,Dünyanın başladığı yer
,"Duran kasabada,"
,Işığı gömmek zaman
,"Kalbi yormak ten olacaksa,"
,Buna inanan insan
,Yollar yapar.
,Buna inanan kadınla adam
,Elbet çıkar.
,giderler
,Ayın hilal haliyle
,Kadına göründüğü dağlardan.
,Kadın ölmüş şairden söz eder
,‘dil karmaşık olan hayatı düzenler’ diyen
,öldürülmüş olan şairden.
,Anlamıyorum der sonra
,Yol yoldur
,Topraksa toprak
,İnsanın ruhu gözlerinden konuşur
,bazan ağzından.
,*
,Yol biter
,Dünya başlayınca
,Kasabaya hayatı öğreten dalga
,Emdiği kayalığı iterek:
,İşte bak diyordu
,Ağlıyorum batırdığım kayanın başında.
,"Bak işte,"
,köpükler benim boş laflarımdır
,Büyülendim taşın sabrından.
,Göğsüne siyah ağaçlar iliştirmiş tepe
,korsan kalesidir
,Ses çıkmaz tarihten
,Ağzını kapatsa.
,*
,Kaşları çatılmıştı kadının
,Kekeme ağızlı seyrelmiş orman
,Homurdanarak:
,Sanıyor musun deniz
,Vaktiyle
,dağı almasa içine
,toklukta
,Böyle...
,Neyse
,*
,İşte geldin
,gördün
,Işık cevap değildir
,Devam et der
,Devam et.
,*
,aşkını
,Karanlık odada
,Uykuya dalmadan fısıldadın
,Rahmetin topraktan olur
,*
,Biri dese
,Ruhtan öncedir ışık
,kusura yakın
,İnan.
,Hayat karmaşıksa
,İyilik yalın
,
Geçen Zaman,
,Hiç olmazsa unutmamak isterdim.
,"Eski geceler, sevdiklerimle dolu odalar..."
,Yalnız bırakmayın beni hatıralar.
,"yanımda kal çocukluğum,"
,Temiz yürekli uysal çocukluğum...
,"Ah, ümit dolu gençliğim,"
,"İlk şiirim, ilk arkadaşım, ilk sevgim......................."
,
Su Gibi,
,"Su akıp geçiyor zaman,"
,Gözlerine bakınca durup
,Düşünüyorum zaman zaman.
,"Yüzüne bakıp elini tuttuğum zaman,"
,"İçim ürperiyor kendime geliyorum ve,"
,İy diyorum sevmişim seni.
,"Su akıp giderken zaman,"
,Elimi yüreğime koyup dalıyorum zaman zaman
,"Hayat çemberini daraltırken zaman,"
,fani dünyada kırılmasın gönüller.
,"Kalpler kırıldığı zaman,"
,"Gözlerden akar yaşlar,"
,"Ruhun daralır zaman,"
,"Toprak olup gittiğin zaman,"
,Su akar zaman
,Kıymetlenirsin zaman...
,17 NİSAN 2015
,
