title,poem_cleaned
Ask Kararmak Uzeredir Odanda,
,Eski Turkce kitabinda
,rastladim sana.
,"Sirtin pencereye donuktu,"
,"odan kararmak uzereydi,"
,usulca one dusmustu basin
,yorgun dusu tasiyordun omuzlarinda.
,"Birini bekliyordun,"
,kendini bekler gibi...
,zaman askin adi gecse
,gelirsin aklima...
,"Sirtin pencereye donuk,"
,"basin one dusmus,"
,"inanc titresir, yarali, yorgun omuzlarinda"
,zaman adin gecse
,eski Turkce kitabinda
,ask kararmak uzeredir odanda...
,
"'""İnanç Özgürlüğü"" Yazım",
,İnanç Özgürlüğü
,"“İnanç Özgürlüğü” kulağa hoş geliyor değil mi? kolay bunu uygulamak? “İnanmak kolay! ” denir! Kolay mı? “Kolaysa başına gelsin! ” derim, de! “İnanma Bil” yazımda değinmiştim. İnanmak, dil ikrar kalp tasdik tamamlanır! İnsan özgürce inanacak ön kabullerin önüne konmaması gerekir! Uygulamada öyle mi? Hangi din mensubuna reşit olunca sorulur hangi dini kabul edeceği? Bebekken etiketlenir, sonradan dönerse maazallah kıvrak fetvacıların görüşüne göre “Dininden dönenin katli vaciptir! ” Hopbbala! Bebek, kendi seçti reşit olunca döndü diye katli vacip olsun! İnanç, zaten ön yargıdır! Bilinç inancın bireyde yerleşmiş halidir! Bebek çevresinden gördüğüne, duyduğuna inanır! Sonra kendi inancını bilince çevirir! Hangi dinde inancı bilince çevirecek fırsat ruhsat vardır? Yani bebekken büyüklerinin soktuğu dini irdeleyip değiştirmek istediğinde hangi birey çevresinden alkış alır? anlayış görür mü?"
,"Tüm dinlerde inanç özgürlüğünden söz edilir! Yani özgürce inanacaksın dinin yerleşik kurallarına! Hani özgür idi şahıs. Dünya’da genel olarak kabul görmüş, sözü geçen üç din kendi kurallarını tüm insanlığa kurtuluş reçetesi olarak sunuyor! üç dinin aynı coğrafyaya ait olması soy olarak aynı soydan gelenlerce açığa çıkarılıp yayılması manidar!"
