title,poem_cleaned
Ayrılık Şiiri,
,satırı
,mendireğe dizili karabatağa benzeyen
,mektup bırakarak
,balıkçı koyundan
,sisler içinde uzaklaşan kayık
,sabah usulca ayrıldın
,koynumdan
,Bütün yolcularını
,boğaz köprüsünün çaldığı
,araba vapurunun
,boş seferleri
,yalnızca rüzgar
,gezinir sensiz
,yüreğimde
,Durgun sudur deniz
,çocukların
,acemi oltalarını denedikleri
,kuytu iskelenin
,tahtaları altına yazdığım
,ayrılık şiirini okudukça
,dalgalanır.
,
Ayrılık Havası,
,nefret eyledim sizin gerçekten
,"Yalanı severim, yalanı gayrı.."
,"Tiksindim bülbülden, gülden, çiçekten"
,"Yılanı severim, yılanı gayrı.."
,'Sapıtmış bu' diye beni yeriniz
,Hakkımda bin türlü hüküm veriniz
,Omuzumda yüktür dirileriniz
,"Öleni severim, öleni gayrı.."
,Uzun yaşamayı saymadım sanat
,"Kurda yürek oldum,kartala kanat"
,Oturup ağlayan korkağa inat
,"Güleni severim, güleni gayrı.."
,İyinin ardından 'kötü' demezdim
,Kötünün elinden ekmek yemezdim
,Birlikten kopana selâm vermezdim
,"Böleni severim, böleni gayrı.."
,Yıllarca boş yere canımı sıktım
,"Nihayet yol buldum, çığırdan çıktım"
,"'Bey'den, 'efendi'den, 'sayın'dan bıktım"
,"'Ulan'ı severim, 'ulan'ı gayrı.."
,(Vur Emri)
,
Ayrılık,
,kaç gecenin çölüdür ayrılık
,kaç şiirin dölüdür üstüme
,örttüğün ince sessizlik
,"kalbim alış artık, kır kendini"
,"kendi duvarında, sesini"
,kendi duvarına haykır.
,tesadüfen birbirine rastlamış
,aşklarsınız artık
,geceyle gündüz birbirine
,"ayrılmış. rüzgar, zaman"
,"senin çölünde kumlar uçurmuş,"
,"gece esmer, görmüyor"
,"sahrayı, sesi içinde karışmış."
,ayrılıkta kendine saplanan hançer
,"kendi sabrını deneyen taş,"
,kendi uykusuzluğunda yatak oldun.
,kül koy şimdi yanına korunun
,seni kavuran onu yakmasın.
,"aşkla besle kendini, gül yetiştir,"
,sardunya çoğalt.
,"ki, aşktan ayrılıktan"
,anlıyorsun.
,
Buna Ayrılık Derler,
,ıslak sabah dağıttım kendimi.
,"gözlerimde yaş,"
,dudaklarım yok!
,"adım atmak istersin,"
,yürüyemezsin ki!
,"ellerin donar, yüreğin titrer."
,gözyaşı...
,"üşüdüğünü zannedersin,"
,ölmektesindir.
,"sıkı dur bebeğim,"
,buna ayrılık derler!
,
Bir Ayrılık Gününde,
,gariptir ayrılık günleri
,"dosttan da, düşmandan ayrılsan"
,Nedense tuhaf oluyor insan
,Derin sizi giriyor içeri
,Son defa bakarken caddelere
,"Dükkanlara, ev...................."
,
On Ayrılık Şiiri 6,
,Geçmiş zaman
,"Anımsanıyorsa,şimdidir;"
,Koparılıp atılır y....................
,
Dünyayı Gezdim Dolaştım,
,Dünyayı gezdim dolaştım
,Ayrılık dert olmaz
,Tatlı canımdan usandım
,Ayrılık dert olmaz
,Kaçan döndüm yâre baktım
,Çözümden kanlı yaş döktüm
,Gezdim belayı çektim
,Ayrılık dert olmaz
,Hilal kaşı keman değil
,Zülfü ahir zaman değil
,Be yarenler yalan değil
,Ayrılık dert olmaz
,Kullar başına gelmesin
,Kimse göz yaşın silmesin
,"Hak, düşmanıma vermesin"
,Ayrılık dert olmaz
,Bana inanmayan varsın
,Aşık'ın yüreğin yarsın
,Neler çektiğini görsün
,Ayrılık dert olmaz
,
Ayrılık sonrası kötü hallerim,
,gün gittikten sonra ağladım.
,"içsem olmazdı, kötü sarhoş olacaktım,"
,"yatmaya kalksam boşuna, uyuyamazdım."
,"yapacağım tek şey kalmıştı geride,"
,çaresizliğimin yangınımı söndürmek
,"gidince ağlamaktı, onu yaptım."
,gün ağladım nereye saklandı
,içinde patlamamış mayın saklayan gözyaşlarım.
,"şimdi nereye saklandı gözyaşları,"
,gözyaşları şimdi hangi sınırlara dikili işaret taşları.
,seni daha nerede zaman koklayacağım.
,hangi şiirin satırında okuyacağım tutku gibi.
,"mahmurluk sonrasının gözüm açılmamış halini,"
,"ellerini,saçlarımda dolaştırıp öpercesine dudaklarımdan"
,hangi türküyü söyleyerek uyandıracaksın beni.
,aynı yastığın buz tutmuş sıcaklığında
,"bulabilecek miyim daha, daha seni.."
,"görme, şimdi elindeki son uçurtmayı"
,gökyüzüne kaçırmış çocuk
,iki gözümden iki deli çağlayanın akan halimi.
,"hiç yaşanmamış, hiç yaşamamışım sanki."
,mitralyöz olup tetiğinden boşalıp
,gölgemizin üzerine düştüğü duvar varsa
,"hepsinin üzerine boşalıp,hepsine adını yazacağım."
,şahin gözlerine mil çekilmiş birer mermi gibi.
,"belki duvarın diplerinde arayacağım,"
,bulduğum göz yaşlarımı yeniden
,gözlerime yapıştıracağım…
,
Ayrılık Saati,
,İyi bak yollara gelip geçerken
,Sokaklarda izlerimi bıraktım
,Dikkat eyle perdeleri açarken
,Pencerede gözlerimi bıraktım
,Ayrılık saati kaç diye sordun
,-Böyle sahneleri sevmem- diyordun
,Hoşça kal yar dedim susuyordun
,Kulağına sözlerimi bıraktım
,Kalkar bulamazsan gönlünde ara
,Belli gitmişim uzaklara
,sabah yeniden bak aynalara
,Aynalarda yüzlerimi bıraktım
,Saat yirmi dördü geçik ti
,Küçük yavrumuzun üstü açıktı
,Eğilip örterken ateşim çıktı
,Sevincimi hazlarımı bıraktım
,Uzadı yollarım gurbete vardı
,Hasretin acısı bağrımı sardı
,Seninle zemheri yazdı bahardı
,Baharımı yazlarımı bıraktım
,
Ayrılık Var Ayrılık Var...,
,"Gözlerin beni yakar, dualar Arş'a çıkar,"
,"Sözlerin beni yıkar, ayrılık var ayrılık var,"
,"yaparsan yap yollara çıkmaza çıkar,"
,"Gözlerin beni yakar, dualar Arş'a çıkar,"
,"Sözlerin beni yıkar, ayrılık var ayrılık var..."
,
AYRILIK,
,AYRILIK
,
,Ana kucağı soğur
,Ayrılık öyküsünü yazan
,Yürek gecede
,Göz kapaklarım yorgun
,uykusuz
,Diyarlar kalır
,Uzun kelimelerde
,Saçlarda soğuk demir
,Aynalar yabancı
,Ranzalar uykusuz
,Ayaklarda sızının izi
,Sigarama sarılır
,Sabah uykularında zaman
,yol arkadaşı
,Yolculuk
,Demirleri sevemedim
,Yıldızlara sarıldığım
,Üşümelerde sakladığım
,Sesinden irkildiğim
,Ölüm ellerimde
,pusu
,Anam sardı yüzümü
,Kımızı gül açtı
,Çocuklar ağladı
,Ayrılık büyük zulüm
,
Bitsin Artık Bu Ayrılık,
,BİTSİN ARTIK AYRILIK
,Son kez öptüm desen güle güle diyemezsin
,"Böyle aşk silinemez, bırakıp ta gidemezsin"
,Sana olan sevgimi haykırsam bilemezsin
,"Haydi, gel tut ellerimi, bitsin artık ayrılık"
,Kenetlenmiş ellerimiz gül sarmaşık örerken
,"Nasıl veda edeceğiz, henüz vakit erken"
,gündüzüm gecemde gitmiyorsun içimdesin
,"Özlüyorum nefesini, kulağımda hoş sesin"
,"Saklıyorum son buseni, yanağımda gül bahçesin"
,"Haydi, gel tut ellerimi bitsin artık ayrılık"
,Kenetlenmiş ellerimiz gül sarmaşık örerken
,"Nasıl veda edeceğiz, henüz vakit erken"
,Anıların yeter bana tek resmini öpüyorum
,"Suskun gecelerde seni, düşlerimde görüyorum"
,Yokluğunda mevsim daha ölüyorum
,"Haydi, gel tut ellerimi, bitsin artık ayrılık"
,Kenetlenmiş ellerimiz gül sarmaşık örerken
,"Nasıl veda edeceğiz, henüz vakit erken"
,Ayırsa kader bizi yüreğimde izlerin var
,Gizem dolu yıllarda yağdı saçlarımıza kar
,"Kor ateşsin küllenmedin, kalbimin sahibi yar"
,"Haydi, gel tut ellerimi, bitsin artık ayrılık"
,Kenetlenmiş ellerimiz gül sarmaşık örerken
,"Nasıl veda edeceğiz, henüz vakit erken"
,SABİHA SERİN
,21.12.2008
,SİVAS
,Not: HOŞÇAKAL GİDİYORUM başlıklı şiirime
,karşılık SON KEZ ÖPÜYORUM GİT GÜLE GÜLE adlı şiirimi yazdım.
,Ardından BİTSİN ARTIK AYRILIK adlı şiirim oluştu.
,.
,
Ayrılık Nedir Bilir misiniz..,
,ayrılık nedir bilir misiniz
,ayrılık kanadı kırık kuştur.
,"ayrılık kavuşmayan varılmayan,"
,bitmez yollarda yokuştur.
,ayrılık hüzündür yalnızlıktır
,ayrılık olmayan sabahın gecesidir
,"ayrılık duymayan kulağın sesi,"
,görmeyen gözün hayat gailesidir.
,ayrılık uzaklardan gelmeyen yolcu
,ayrılık gittikçe büyüyen çığdır
,"ayrılık dili tutulmuş bülbülün,"
,suskunluğa gömülen çığlığıdır
,"ayrılık geçmişi olmayan anlarda,"
,ayrılık şarkılarıyla avunmalardır.
,"ayrılık rüzgarını kaybeden yağmurların,"
,yaban elin göğüne yağmasıdır
,ayrılık solan son yapraktır dalda
,ayrılık elle tutulamayan dumandır
,"ayrılık büyümeyen çocuk kucağında,"
,ha bire avuntuyla kandırılmaktır
,ayrılık kabuk bağlamayan yara
,ayrılık rengini kaybetmiş gökkuşağı
