title,poem_cleaned
Sone 90,
,Hemen nefret et benden nefret etmek istersen
,Tam şimdi dikilirken dünya benim karşıma;
,Beni ezmek isteyen talihe destek ol sen.
,yere yıkıldıktan sonra artık hiç vurma.
,Ah yapma son bulunca üzüntüsü gönlümün;
,Üstesinden gelmiştim bıçak vurma yarama
,Fırtınalı geceyi izleyen yağmurlu gün
,üstüme çökme zaferi oyalama.
,Son bırakan olma beni bırakacaksan
,Kıymadan bana nice bücür üzüntü.
,başlangıçta gel tadayım tâ en baştan
,talihin gücünde varsa en kötü.
,Şimdi yaman görünen ufacık dertler
,Senden yoksun kalışım yanında hiçe iner.
,
Şubatta Saklambaç,
,"Geçen yazdan önceki yaz: 'O Yaz': haziran, tren, bahçe, gül (anne) , usta (baba) , Eskişehir. şey, şair Seyhan Erözçelik'in günün, gecenin muhtelif saatlerinde telefondan dinlettiği muhtelif şarkılardan birindeki gibidir. Şarkı demek gelir, şiir demek öyle, gençlikse yaşamak iyi mevsim olsa da, anlamak nice sonbaharları, kışları bekleyecektir."
,"'O Yaz'lar gençken anlaşılmaz, hafiften gazel dökmeye başladığımız güz kış yaşlarını bekler, yitip gideni anlamanın lezzeti vardır. Teselli diyelim kederin lezzetine. Seyhan'ın dinlettiği hepimizin yitirdiğidir, 'O Yaz'ları kim yitirirse yitirsin, Zerrin Özer'in sesiyle, kaybettiklerimizin hiç olmazsa parçası geri gelecektir, onun adına ister keder diyelim, ister yazsama (yurtsamadan mülhem) , sanki gençliğimizin, ideallerimizin, duygularımızın 'büyük muzaffer mağlubiyeti'ne yakılmış ağıt gibi, tuhaf, bizi hüzünlendirmek yerine sevindirecektir."
,'O Yaz': Çığlık çığlığa fısıltıdır.
,"Geçen yazdan önceki yaz 'O Yaz'dı: Bahçenin içinde şiir vardı. Son Yaz'la 'geçen çocuk' Zafer Ekin Karabay'la treni beklemiştik, haziran bahçesinde. İstanbul'a dönecektim, şiire. 2-3 saat konuştuk, en şiirden, en sinemadan hayattan, yani geçmişimiz geleceğimizden, siyasetten. Şiir, sinema, siyaset, Eskişehir, Ankara."
,"Gençliğim var gibiydi karşımda. Yaşlı çocuk olarak gençliğim, Zafer'le birlikte bahçemize gelmişti yeniden. 'O Yaz'ı atlattık, 'Geçen Yaz'ı atlattık, Zafer Ekin Son Yaz'ın trenine bindi, Eskişehir'den, 13 Eylül 2002'de bütün yazlardan kendini uğurladı."
,"Şubatta çıkacaktı kitabı 2 yıl önce, 'Şubatta Saklambaç', şubat sayılır ölümden sonra şiir, kitap. Çıktı sonunda, ondan önce 'geçen çocuk'lardan Nilgün Marmara'nın 'Daktiloya Çekilmiş Şiirler'i gibi, İlhami Çiçek'in 'Satranç Dersleri' Kaan İnce'nin 'Gizdüşüm'ü gibi. 'Geçen Çocuk' Zafer Ekin Karabay kitabını aramıza bırakıp gitti."
,"Saklambaç var kitabın adında, kitap 'sakladığım', 'saklandığım' 'saklı' adlı üç bölümden oluşuyor şiirleri okuyunca anlaşılıyor hiçbir şeyi saklamadığı, şeyi fazlasıyla anlattığı, açıkladığı:"
,"'Sonra kırık aynada görüyorum kırılmış / kalbimi herkesin kendi gölgesini giyindiği / mevsim oluyor güz, oysa üşürken / aynada kırılan kalbime biriken kar / topu çalınmış çocuk, soyunup gölgesinden / sarmalıdır herkes güzünü, yoksa bütün / aynalar bırakıp gider gün yüzünü.'"
,"Zafer Ekin Karabay bana gençliğimi hatırlattı, kaybettirdi. Geçen çocuk, yaşlı çocuk, dünyaya ait değiliz hiçbirimiz, 'mavi' aşk, mavi yazı, mavi şiir katlanılabilirdi belki. Şimdi senin geç okuduğum 'üzüntü' şiirindeki gibiyim:"
,"'adı kara'ydı dedemin. Şarap içmezdi / anlardı karaüzümün hüznünden /... /evet, 'üzgün şarap olur karaüzümden' / üzülme sen.' demişsin. Peki öyle istemişsin, üzülmem ben, yalnız kitabını okurken, Seyhan arasın telefonda üç kez art arda Zerrin Özer'den 'O Yaz'ı dinletsin isterim, Nilgün'ün, İlhami'nin, Kaan'ın, Soysal'ın bütün 'Geçen Şair'lerin elbette senin yaşayacağın yazlar için."
,"(Şubatta Saklambaç, Zafer Ekin Karabay, Mayıs Yayınları'ndan çıktı. İlk kitabı Zafer'in, dünyaya 27 yıl katlanabilmiş şairin fısıldayabildiği çığlık, lütfen okuyun, belki duyarsınız.)"
,29/01/2003
,
Leke,
,Takılıp kalmış noktada
,Gölgesini içine düşürerek;
,Leke sabrın gücüyle büyür
,Tek başına
,"Uzanır güneşe dek,"
,Arınır kirinden;
,"Yürüyen ak lekeleri olur göğün,"
,Mavi gök-uykusunun düş lekeleri.
,"Leke aşmaz sınırını,"
,"Kendini bilir,"
,Durur bütün oturmuşluğuyla;
,"Dağıtmaz, yaymaz gücünü"
,dokunmayınca.
,"Leke lekelenmekten korkmaz,"
,"Kurtulmuş geleceğin ürküntüsünden,"
,Alabildiğine özgür;
,Sevincimin kumaşında parlayan
,"Üzüntü lekeleridir,"
,Silip türlü çıkaramadığım
,İçimin dökülen mürekkebidir.
,
Üzüntü,
,ÜZÜNTÜ
,Meyve veren çiçekler açmazsa
,Kuşlar gökte süzülüp uçmazsa
,"Güneş, lamba ışıklar saçmazsa"
,Çocuk koşup oyun oynamazsa
,"Ağlatır ah üzüntü, üzüntü!"
,Mevsim bahar olsa fayda yok yok.
,El ele gezen olsa hasret çok.
,"Küsmüşse yıldız, sevdam kurşun ok."
,"Yoksulun, tutsağın geçmez günü."
,Ağlatır beni üzüntü üzüntü.
,Abdullah Bedeloğlu
,
Aşk menzili,
,Gel artık mevsimi al benden
,Önüm arkan sağım solum yer kış
,soğuğu tut çek bedenimden
,Sanki soğuk ruhuma işlenmiş nakış
,Gel artık hüznü kopar kalbimden
,Aklım fikrim dilim üzüntü dolu
,Gel yaşları sil gözlerimden
,Kapanmasın seni görmenin yolu
,Gel artık gel bitsin çile
,Gel artık dayan kapıya bas zile
,Gel bitsin hadi hurda hile
