title,poem_cleaned
Bahçe Dıvarından Aştım,
,Bahçe dıvarından aştım
,Kırmızı güle ulaştım
,Öptüm koktum helallaştım
,Kadınım şalı kuşan gel
,Nar ağacı narsız olmaz
,Al rubayı ba(ğ) lan gel
,Gül ağacı gülsüz olmaz
,Benim yarim bensiz olmaz
,Nar ağacı narlı çiçek
,Gül ağacı güllü çiçek
,Benim yarim pek küçücek
,Kadınım şalı kuşan gel
,Nar ağacı narsız olmaz
,Al rubayı ba(ğ) lan gel
,Gül ağacı gülsüz olmaz
,Benim yarim bensiz olmaz
,Evlerimin önü kaya
,Kayadan bakarlar aya
,Sinemi sinene daya
,Kadınım şalı kuşan gel
,Nar ağacı narsız olmaz
,Al rubayı ba(ğ) lan gel
,Gül ağacı gülsüz olmaz
,Benim yarim bensiz olmaz
,
Gezelim Bahçe Bağları,
,Gelir misin benim
,Gezelim bahçe bağları
,Sevişelim senin
,Hoş geçirelim çağları
,Yar dişlerin meknun
,Akar yaşım ceyhun
,Dertli gönlüm mecnun
,Dolaşır yüce dağları
,Gam efkar geldi bürüdü
,Yaşım sel oldu yürüdü
,Kalmadı an eridi
,yüreğimin yağları
,Hak nefesin dinler gezer
,Bilir misin kimler gezer
,Hasta olan inler gezer
,Dem devran eder sağları
,Daimi'ye yok biat
,Gel sevdiğim etme inat
,Kirpiklerin olmuş cellat
,Vurdu sineme tığları
,
Sele Kapılan Küre,
,"küre, sele kapıldı herkesin uyuduğu gecede"
,gülüşleri ağlayışları farklıydı kıtaların eskiden
,aşkları nefretleri benziyor şimdi
,çocuklar tahta oyuncakları severdi zamanlar
,"tahta araba, tahta ...................."
,
Parçalar,
,I
,Baygınlık içindeydi Locke*;
,Bahçe öldü;
,Tanrı onun böğründen
,İp eğiren kızı**** aldı.
,II
,Nerede ererdim hakka
,medyumun ağzından başka?
,"Geldi hiç yoktan,"
,"Ağaçlık bereketli topraktan,"
,"İçinden, Ninova tacının"
,Uzandığı karanlık gecenin.
,Şiiir hakkında çevirenin notları;
,John Locke Somerset (d. 29 Ağustos 1632 – ö. 28 Ekim 1704) materyalist ünlü İngiliz filozofu.
,"18. yüzyılın en önemli düşünürlerinden biridir. Düşünce hürlüğünü, eylemlerimizi akla göre düzenlemek anlayışını en geniş ölçüde yayan ilk düşünür olduğu Avrupa'daki aydınlanma Akıl Çağı'nın gerçek kurucusu olarak kabul edilir."
,Bahçe: Cennet
,"Böğür: Şair, Adem'in kaburga kemiğinden Havva'nın vücuda getirilmesine benzerlik kuruyor."
,İp eğiren kız: Sanayi çağı kadınını imgeliyor.
,Dininin akılın dışında hakikate ulaşma yolu olarak 'Ruhçuluk' u ima ediyor.
,Çeviren: Osman Tuğlu
,
Percembahar,
,vardikca irmak sana cark damla sana caglayan
,güldükce gül sana bahar nergis sana hayran bal badem sana cerci
,yandikca cira kandil sana….
,ask olup sevildikce bagrim yarasinda sizlayan yarim
,Sinem silam gurbetim
,Dünya diyarim gönül evimdir bahtin
,Yazim kisim tüm ömrüm barkimla
,Cümleten helalin olsun gülüm sevgilim
,Yorulmus hayali kurulmus düsüyle bag bahce heryer hersey
,Saray misali percembaharlara sergen
,…ve sevgi topragindan kösk sana
,
Nisan Sabahı,
,Sözde
,Böyle açık saçık
,Uykulu mahmur
,Bahçe suluyor sözde
,Hava alıyor sözde
,Sözde
,şarkı tutturmuş dalgın
,Töbe töbe
,gözü kedilerde çıfıtın
,gözü bende
,
Karaman` da,
,"Karaman varlık dolu, Nurlanmıştır güzel yolu,"
,"Aşıklar Yunus’un oğlu, Karaman da, Larende de..."
,***
,"Karaman sağlık düzen, Görsün Aşıkların gezen,"
,"İlim yollarında özen, Karaman Larende de..."
,***
,"Karaman Erenler, Mevlanayla hay dönerler,"
,"Kültür sanatı severler, Karaman Larende de..."
,***
,"Karaman’ın güzeli, Sazları okur gazeli,"
,"Sadıklar gelmiş ezeli, Karaman Larende"
,***
,"Karaman Yunus Hocam, Mehmet Beyim Lisan Amcam,"
,"Mevlevi der gülüm goncam, Karaman Larende de..."
,***
,"Aşık Mevlevi hep ağlar, Yunus un yolunda çağlar,"
,"güzeldir bahçe bağlar, Karaman Larende de."
,***
,Aşık Mevlevi
,Kaydeden: Erdal Canbulat - e.canbulat@chello.nl
,
Ephialtes,
,Düşler var düşün ardında.Her gece
,Yitip gitmek isterim karanlık sularda
,"Üstümden gündüzü yıkayan, katıksız"
,"Sular altında, bize en sonuncu Hiçliği sunan"
,Edepsiz harikanın nabzı atıyor hüzünlü saatte.
,Bambaşka yüzümü yansıtan ayna olabilir.
,dolambacın git gide büyüyen tutukevi olabilir.
,bahçe olabilir.hep karabasandır.
,Dehşeti dünyalardan
,Adı konulmayan şey.
,Bana ulaşır söylencelerin sislerin dününden;
,Tiksinilen imge retinaya yapışır kalır
,Lekeler uykusuzluğu tıpkı gölgeyi alçalttığı gibi.
,Neden boy verir benden bedenim dinlerken
,"gönlüm kalmışken yapayanlız, ahmak gül?"
,
Arka Bahçe,
,Evin gölgesidir arka bahçe
,yatak odasının
,Usulca taşan sıcağı
,Çocuğun dokunuşu
,Annenin durgunluğudur arka bahçe
,Dudakta öpücük izi
,yaradır kuşun kanadında
,Elmaya düşen ala
,Çatlayan yüreği narın
,Seksek yollara
,Çizilen şekillerdir arka bahçe
,gelinin ilk gecede
,Yere düşen duvağı
,Dul kadının
,En tenha yeridir arka bahçe
,İşveli içli sözleri
,yanlış yorumlanan
,Pembe gülüşü
,Asker mektuplarının
,Okunduğu yerdir arka bahçe
,üzgün sevdanın
,solgun haresi
,Şairin haremidir arka bahçe
,
 Görmedim,
,Adım-adım dolaştım gezdim bağ’ı Gülşen’i
,"Senin gülünü, yolan bahçe görmedim"
,Tatlı su duruyorken içip deniz suyu
,"Senin açmadan, solan bahçe görmedim"
,Görmedim senin kendisine zulmeden
,Duymadım senin mahrum kalmış sevmeden…
,"Harap gönlü tarumar, beterden daha beter"
,"Deryalara kendini, salan bahçe görmedim"
,"Ruh’u, sır’ı perişan, derbeder derbeder"
,"Mali hülyası serap, talan bahçe görmedim"
,Duymadım senin kendisine zulmeden
,Görmedim senin mahrum kalmış sevmeden…
,"Kendi eliyle tepip, kendini seven gönlü"
,"Gidip çoraklara, dolan bahçe görmedim"
,Verimli topraklarda koklamak varken gülü
,"Cümle neşeden mahrum, olan bahçe görmedim"
,Görmedim senin kendisine zulmeden
,Duymadım senin mahrum kalmış sevmeden…
,Görmedim insanoğlu! Senin fani
,"Kıymetini bilmeyen, yalan bahçe görmedim"
,"Kendine kuyu kazan, var mıdır cani"
,Nimet bolken aç açık! Kalan bahçe görmedim
,Duymadım senin kendisine zulmeden
,Görmedim senin mahrum kalmış sevmeden…
,
Cennet  köşkü. öykü  1 nci  bölüm,
,Rüyamda iki dut ağacına kurulmuş salıncakta sallanırken aniden kartal belirdi tepemde.
,kanatlarına alıp uçurdu beni kolon vurup havalanmışken.
,Açık arazide indirdi beni seni akşam buradan alır götürürüm dedi kuş diliyle.
