title,poem_cleaned
Adsız Bir Çiçek,
,Rengini dünyaya ilk defa sunan
,Adsız çiçek parlıyorsa gözlerim
,Sevgilim
,Bana 'sen şairsin' dediğin zaman.....................
,
Zehirli Çiçek,
,"Aşk, ölümün dudaklarından öptüğü zaman"
,yüreğimdeki zehirli çiçeği
,usulca bıraktım dünyanın dışına...
,"Aşk, ölümün dudaklarından öptüğü zaman"
,son kez ayaklanır düşevlerimde bastırılmış yangınlarım
,mahcup sinsi konuk yaşlandığım düşevlerim...
,"Aşk, ölümün dudaklarından öptüğü zaman"
,cesedim sahile vurur
,insanların kıskanarak topladığı cesedim...
,"Aşk, ölümün dudaklarından öptüğü zaman"
,kelimelerin hatırasını sokaklara fırlatırım...
,
Kızım’a Verilmiş Bir Çiçek,
,beyaz gül narindir narin
,Elleri O’nun
,zamanın solgun haresinden solgun
,ruhu var O’nun.
,Gül narini alımı - güçsüz gene
,umarsız mutsuzluğun
,"İçine düşürür gözlerini,"
,Mavi damarlı çocuğum benim.
,"(Trieste, 1913)"
,James Joyce
,Türkçe’ye çeviren: İsmail Aksoy
,“Pomes Penyeach”den (1927)
,
Sana Bir Çiçek,
,Sana çiçek veriyorum
,Zor günlerin çiçeği
,Karanlıkta açan
,Sana çiçek veriyorum
,Özgürlük çiçeği
,Solmayana
,Durmayan
,Çoğalan.
,"çiçek ki,"
,Sevdikçe güzelleşir insan!
,Sana çiçek...
,
2015 - Anneler Günümüz Kutlu Olsun,
,Anneler Günümüz Kutlu Olsun
,Anlamlı Kutsal Günde
,Aramızda Olmayan
,Sevgili Annelerimizle Birlikte
,Bizlere Can Veren
,Büyük Annelerimizin'de
,Ruhları Şad Olsun
,Toprakları
,Çiçek Çiçek Açsın
,
Pusudaki,
,gece anda yıldız
,bahçe anda çiçek
,uzaktan denizin kok....................
,
"Nazlı Çiçek,Gül Çiçek",
,"Pembe goncalar açan,gelincik çiçeğimsin,"
,"Buğday tarlalarında,sen bayrak kırmızısı..."
,"Bana uğur getiren,bir uç uç böceğimsin,"
,"başımın tacısın,yüreğimin sızısı..."
,"gönlümün balısın a gülüm,"
,gönlümün balısın.
,"goncalar gülüsün güzelim,"
,goncalar gülüsün.
,"sana sevdalıyım cananım,"
,sana sevdalıyım.
,"Hiç demiyorsun a gülüm,"
,nasıl sevdalısın?
,"Püfür püfür kokarken,sarıyonca çiçeğim,"
,"Sarıyonca çiçeğim,"
,"kayalardan seken,al kınalı kekliğim,"
,"Gönlümde büyüttüğüm şen nazlı kelebeğim,"
,"Ömrüm oldukça gülüm,ben seni seveceğim."
,"Şirin tatlı sevgilim,nazlı çiçek gül çiçek,"
,"Ömrümce benimle ol,gönlüme dökül çiçek,"
,"Sevda yüklü çiçekler,belki uzun yaşamaz,"
,"Solma gönlümün gülü,benden sonra sol çiçek."
,
Plastik Çiçek,
,Midyecimin tablasında
,kamyonum....................
,
Çiçek Bahçesi,
,sevda çiçeklerinin bahçesi
,soğuk
,ayaz
,kurak
,çorak
,Gönül topraklarının
,Umutsuz derebeyi
,Gönülde açmalı
,Güller
,Çiçekler
,Sarmalı dört yanı
,Şahit olmalı
,Utangaç gelincikler
,İffetli laleler
,Şebboylar
,Şahit olmalı
,İğde dalları
,Bahar dalları
,Sevda yelleri
,Sevda çiçekleri
,Arı kuşları
,Flamingolar
,Esen yeller
,
,Gökyüzündeki yıldızlar
,Şahit olmalı
,Karıncalar
,Turnalar
,Bütün gözler
,Bütün yüzler
,Söylenmiş
,Söylenecek
,Türküler
,
,Tutkulu
,Arzulu
,Candan
,Canım şiirler
,Şahit olmalı
,Karasevdaya
,Şahit olmalı
,Tertemiz gözyaşlarına
,
Çiçek İsimli Kadınlar,
,hep çiçek isimli kadınlar sevdim
,Çocukluktan sevgim
,Hafızamda yoktur benim
,Hayal meyal şeyler hatırlıyorum
,Hani i harfini yazamamıştım
,Noktasını tam denk getirememiştim
,Küçük el okşamıştı yüzümü
,İlk sevgilimdi ilk aşkım
,Daha aşkın olduğunu bilmezdim
,Çiçek isimliydi belki ondan
,hep çiçek isimli kadınlar sevdim
,Rüzgar isimli kadınlar geçti hayatımdan
,Acımasız hoyrat estiler bana
,Harman yerini savurur savurdular
,Belki rüzgar isimli kadınlara inat
,hep çiçek isimli kadınlar sevdim
,taş isimli kadınlar
,Değer verdikçe taş kesilen kadınlar
,Kalp yerine taş taşıyan kadınlar
,Kimini dağ’a kimini mağma’ya
,Kimini denize geri verdim
,İşte yüzden belki
,hep çiçek isimli kadınlar sevdim
,yıldız isimli kadınlar
,Ah bana zaman uzaktılar
,"Alay edercesine, çapkın göz kırparlar"
,Eğilip koparsam ses çıkarmadılar
,Kır çiçekleri narin kadınlar
,Gökteki yıldızlara inat
,hep çiçek isimli kadınlar sevdim
,bedende nihayete erince zaman
,Düğünde nedimeler sarsın etrafımı
,Kutsal kitapta adı geçen kadınlar
,Üstüme kucak kucak çiçek taşısınlar
,Ban hep kadın kadın kokan çiçekleri
,Çiçek çiçek kokan kadınları sevdim
,Mehmet Akif Gülhan 04.03.2006 Saat 23.19
,
Çocuklarım,
,masmavi gökyüzünün
,Gülüsünüz çocuklarım
,"Hece hece tatlı sözün,"
,Dilisiniz çocuklarım.
,"Çiçek çiçek, öbek öbek..."
,"Yağar yağmur, açar çiçek."
,Renk renk uçan kelebek
,Selisiniz çocuklarım.
,"Yeşil yeşil ovaların,"
,Gülücüğü yuvaların.
,"Misk kokulu dünyaların,"
,Yelisiniz çocuklarım.
,"tomurcuk açmakta bak,"
,Ruha koku saçmakta bak.
,"sevginin tertemiz, ak,"
,Gülüsünüz çocuklarım.
,
Dünya Marazi Bir Aşk Silsilesidir,
,Arı utangaç çiçek sevimsiz
,Bozduğumun psikolojisidir
,Tek kollu cellat koleksiyonu
,çizik jiletsiz
,Aynada dans eden karizma reyonu…
,kısmetime en uzak ülke ol sana yollanırım
,Yürürüm yürürüm yürürüm... yürümek tüyden hafif serce
,Ayaklar iyi ulaşım aracıdır trenlerden iyi olmasın
,Bunu işrak vaktinden önce öğrendim sevgilim yapmadım fakülte...
,Bakma sensizlik gemisini lafla yürüttüğüme
,Sevmek kalbime İsa’yı yemiş tahrip kilisesidir
,Tut kıymık batmış denizlerin tenine
,Ağlar ıslak tuzlu olması ondan muhtemeldir
,Yani zannımca zanlı kavlimce
,Ah arı utangaç çiçek sevimsiz
,Dünya denli marazi aşk silsilesidir...
,
Sevda Ne Yaman,
,Sevgisi sırdaş kalmış yüreğimde
,zaman hızla akarken ömürde
,acı sevinçleri kovalarken
,sevinçler acıları unuttururken
,sevgisi hep taptaze yüreğimde
,Bahçedeki ilk açan çiçek
,yıldız yağmurunda seçtiğim yıldız
,saçlarımdaki ilk çıkan beyaz
,gamzemi titreten gülüş
,hepsi işte
,hepsi.....
,kelebek ömrü yazılsaydı bana keşke
,kısacık süren seninle dopdolu
,tırtıl olsaydım yüreğinin kırmızında yol arayan
,çiçek tozu olsaydım arısına özünü sunan
,senin can suyu olsaydım
,olmazsam olamasan
,Sevda yaman şeymiş
,sevdiğinin uğrunda
,dünyayı unutmak demekmiş..........26/06/2011
,
Rüya,
,karşı dağdan gelenler
,çiçek çiçek gelirler
,uzatın elleri yetişem
,koşar koşar yetişem
,gözlerimi feda ederim
,çiçek çiçek gelenler
,yollarınıza serilem
,kol kanadınız olayım
,çiçek çiçek gelenler
,uyandırma yar beni
,ölem ölem uyandırma
,kurban olam anama
,ölem ölem uyandırma
,kardaşlarım gelecek
,çiçek çiçek gelecek
,karşı dağın topragına suyuna
,"kanımı dökmüşler, yıllarca"
,kurşun kurşun görenler
,barışı yazacaklar
,çiçek çiçek gelenler
,yüreği yorgun anam
,ellerini yüzüme daya
,üzülme elbet gelecekler
,çiçek çiçek gelecekler
,ölem ölem üzülme
,gözünün yaşını sil yarim
,çiçek çiçek geleceğim sana
,uzat uzat ellerinizi tutarım
,koşar koşar tutarım
,ah gözümü kör edeyim
,ölem ölem kör edeyim
,birgün geleceksiniz bilirim
,çiçek çiçek gelenler
,barışı söleyecekler
,çiçek çiçek gelenler.
,açın tüm kapıları
,vurun beni vurun
,yüreğimi dilim dilim ayırın
,açın tüm barış yollarını
,beni bin kere öldürün
,yeterki
,uzanan ele uzatın ellerinizi
,neolur anam uyandırma beni.
,
Çiçekli Bahçeler,
,Çiçekli Bahçeler
,Çocuklu bahçeler
,Çiçekli bahçeler
,çiçek oynuyor
,çiçek uyuyor
,ev çiçek
,Bahçesinde dut yiyor evin çocuk
,Çocuk duttan tatlı
,Çocuklu evler çiçek
,Sesleri neşe saçıyor
,Çocuksuz evlerden çevirdim yüzümü
,Ağaçlarında salıncaklar
,Göklerinde uçurtmalar
,bahçe çiçek.
,Sevdim çiçek köyü
,Sevdim çiçek evi
,çiçekli bahçelerini sevdim
,Çocuklu evler çiçek evler...
,
Çiçek çiçek göklerde uçurtmalar,
,Çiçek çiçek göklerde uçurtmalar
,Çiçek çiçek göklerde uçurtmalar
,Gönlümde kışlar biter Allahım
,Çiçek çiçek göklerde uçurtmalar
,Bitsin gönlüm kışı
,Çiçek çiçek olmuş göklerde uçurtmalar
,Bitmedi gönlümün kışı
,Bunaldık uzun kışlardan
,bunalmanın en yakanı gönlü
,Bahar gelsin sevinelim
,Aşkı resmeder çiçek çiçek
,Çiçek çiçek göklerde uçurtmalar
,Göğe hasret çiçek uçurtmalarda...
,Çiçek çiçek olmuş göklerde uçurtmalar
,Beyaz çiçekleri ufkun bulutlar...
,Bulutlar ufukta aşkı resmeden
,İçinin güzelliğini açar dertli toprak
,Aşkın resmidir rengarenk yaprak...
