title,poem_cleaned
Yuvarlağın Köşeleri-Sevgi İle Sevgiye Karşı-Etika-Birinci Bölüm-129,
,SEVGİ İLE SEVGİYE KARŞI-ETİKA-129
,Aşkın sana doga gereğince verildiğini sanma.... hayvan değilsin.
,Doganın sana aşk gereğince verildiğini sanma... hayvan değilsin.
,"Doga ölümde, insan aşkda uludur."
,
Çoklukta Birlik,
,"tapınaktır doğa, sütunları canlı"
,Anlaşılmaz sözler duyulur zaman zaman
,Sembol ormanları içinden geçer insan
,Tanıdık bakışlar süzer gibidir sizi
,"derin, karanlık birlik içinde"
,"Aydınlık sonsuz, gece geniş"
,Uzaktan söyleşen uzun yankılar
,"Renkler, sesler, kokular karışır birbirine"
,Kokular vardır çocuk tenlerinden taze
,"Obua sesinden tatlı, çayır yeşil"
,"Kokular vardır azgın, zengin, gürül gürül"
,İnsana sonsuz şeylerin tadını veren
,"Misk, amber, aselbent, buhur kokular"
,"Duyuları, düşünceyi alıp götüren"
,Çeviri: Sabahattin Eyuboğlu
,
Kirli Ağustos,
,var olanın ağır ağır yokluğu
,Surda gündüz kımıldamakta
,Dağılmanın beyaz organı: tuz birikintileri
,gündüz
,Kalın kabuklarını kaldırı....................
,
Ağaç,
,Giderim yol sıra yavlak uzanmış ağaç
,Böyle lâtif böyle şirin gönlüm aydur birkaç sır aç
,Böyl’uzamak manâdır dünya fânîdir
,fuzûllük nişânıdır gel beri miskinliğe geç
,Böyle lâtif beziniben böyle şirîn düzünüben
,Gönül Hakk’a uzanuban dilek nedir neye muhtâç
,Ağaç karır devrân döner kuş budağa birkez konar
,Dahi sana kuş konmamış güvercin hod turaç
,gün sana zevâl ere yüce kaddin ine yere
,Budakların oda gire kaynaya kazan kıza saç
,Er sırrıdır sırrın senin er yeridir yerin senin
,yerdedir yerin senin sana sorarım ey ağaç
,Yunus Emre nice eksikliğin yüz bin onca
,Kur’ağaca yol sorunca teferrüclen yoluna geç
,
Doğanın YAVUZ'U...,
,doğa;
,otlarını verir
,Yavuz arkadaş
,"onları toplar, derler"
,pişirip
,pişirmeden
,sofraya koyardı...
,doğa;
,uyumunu
,yerlere göklere serer
,Yavuz arkadaş
,onu yakalar
,tuvalde çizer
,renkleri seçer
,önümüze koyardı....
,doğa;
,kişiliğini yansıtır
,Yavuz arkadaş
,onu çözer
,önce yüreğine
,sonra kalemine yükler
,kitaba koyardı...
,"doğa,"
,saygı duyulduğu
,saygı duyardı...
,saygısızlık yapanı
,kapının önüne koyardı....
,"Fikret Turhan-Yalova,"
,27.02.2015
,
Rahatı Kaçan Ağaç,
,Tanıdığım ağaç var
,Etlik bağlarına yakın
,Saadetin adini duymamış
,Allah’ın isine bakin
,Geceyi gündüzü biliyor
,"Dört mevsimi, rüzgarı, kari"
,Ay ışığına bayılıyor
,kötülemiyor karanlığı
,Ona kitap vereceğim
,Rahatını kaçırmak
,öğrene görsün askı
,Ağacı vakit seyredin.
,
Bağışla Beni Anne,
,Küçücük…siyah-beyaz
,resim var elimde
,Solmuş sararmış
,Senin olduğunu söylediler
,resim
,Senmişsin anne!
,Elini tutamadım
,kere öpemedim
,kere sarılamadım
,kere “anne”
,Diyemedim sana
,Sevgini tadamadan
,Göçüp gittin dünyadan
,Nasıl!
,Özlem doluyum sana
,Hiç bilmiyorum ki! seni
,Yüzün nasıldı
,Vücudun nasıldı
,Şişman mıydın zayıf mıydın
,"Saçın, gözün renkti"
,Kalbin nasıldı anne
,Beni
,Sever miydin
,Alıp kollarına öper miydin
,Şefkatle
,Bastırır mıydın göğsüne
,Düşünmeye çalışıyorum
,Şekillendirmeye çalışıyorum
,Hiçbir şeye benzetemiyorum
,Bağışla beni anne
,Hiç bilmiyorum ki! seni
,21.08.1980
,www.haticebediroglu.net
,(Şiirlerimin hepsi Noter tasdiklidir)
,
Doğa,
,"Doğa, şarkısını söylemeye başladı"
,Yeşillere büründü ormanlar
,Mavi elbisesini giydi sevgili deniz
,"Doğa, ilahisini dilllendirmeye başladı"
,Çeşit çeşit türde hayvan
,Renkli renkli yerde bitki
,"Doğa, kavuşmak açtı bağrını"
,Sevdiğini barındırdı yüzyıllarca
,Sevmediğini ezdi geçti çırpıda
,"Doğa, verilen gucleri sahiplendi"
,Kabul edeni yaşattı sorunsuzca
,"Resti çekenin, bakmadı gözyaşına"
,"Doğa, sevda yüklü analar gibiydi."
,"Yeri geldi, merhametini gösterdi"
,"Yeri geldi, kırdı, yıktı, geçirdi."
,"Doğa, İlah'ın kurduğu eşsiz mekan"
,Milyonlarca yıldır devam eden hazine
,"Kim yaşadı, kim yaşıyor, kim yaşayacak?"
,
Doğa Sevgisi,
,İnsanlar doğaya iyi baksınlar
,Yeşildir tabiat güzeldir doğa
,Çevresine türlü çiçek eksinler
,Yeşildir tabiat güzeldir doğa
,Deryalar denizler nehirler taşar
,Güneş yağmur döngüler başlar
,Göller akarsular yağmurla coşar
,Yeşildir tabiat güzeldir doğa
,Çevresine güzel kokular saçar
,Etrafında türlü çiçekler açar
,Kuşlar cıvıldayıp neşeyle uçar
,Yeşildir tabiat güzeldir doğa
,EMRE ENDAMİ’yim güller dermişim
,Doğayı korumak benim işim
,Verimli toprağa tohum ekmişim
,Yeşildir tabiat güzeldir doğa
,
Doğa ve Ben,
,"Gökyüzünde yıldız, yerde sıralıdır dağlar"
,Deniz uçsuz bucaksız tinde sonsuzluk sağlar
,"haz veriyor cana, bahçeler bağlar"
,Bugün mutluyum başbaşayız doğa
,Doğa denen olgu bizlere öyesine giz
,Biriz hepimiz hepimiz biriz
,"yalnızca sen, ben, var, biz, onlar,"
,"Bilerek mutluyum, başbaşayız doğa"
,İnsanlar cıvıl cıvıl yolda dolaşıyorlar
,"Çocuklar sudan korkup,kaçıp ağlaşıyorlar"
,"Kimi dalmış denize, keyifçe yüzüyorlar"
,"Arındım mutluyum, başbaşayız doğa"
,Kimi dalmış derin düşünceye giz çözüyor
,"Kimi binmiş kayığa, suda zevkle geziyor"
,Kimi utangaç tavırla kendini gizliyor
,"Düşündüm mutluyum, başbaşayız doğa"
,Kumla denen yerde dostlarla dinlencedeyiz
,Gülen yüzlerle sohbetlerle eğlencedeyiz
,Zaman mekan içinde dünden farklı yerdeyiz
,"Bunlarla mutluyum, başbaşayız doğa"
,"Deniz mavi görünür, bahçemiz yemyeşil çim"
,Zor günlerde belli olurmuş dost kim düşman kim
,Aşığım doğaya bitmez asla sevgim
,"Severek mutluyum, başbaşayız doğa"
,Zamanım özgürlük insanların beynindedir
,Gelişen değişen şey kendi seyrindedir
,Doğada olgu oluşum devinimdedir
,"Sezdim mutluyum, başbaşayız doğa"
,30.07.1998
,
Maytap,
,Kıyılır ince ince tütün onlardan biri
,Üstümüzde uzun gece bugün onlardan biri
,Kır....................
,
Doğa Hepimizin,
,Rahmetleri afet oldu
,Afetleri hep can aldı
,Oynuyor bak isyanları
,Bilin doğa hepimizin
,Salınmasın karbon gazı
,"Hep tat versin bahar, yazı"
,Yazılmasın kara yazgı
,Görün doğa hepimizin
,Günden güne hep artıyor
,Çoğalıyor yaraları
,Lokman değil sarmalı
,Sarın doğa hepimizin
,Öyle hassas denge
,canlıda sebep var
,Bozulmasın dengeler
,Sevin doğa hepimizin
,Sanmayınki sade bizim
,bizden öncelerin
,Gelecek tüm nesillerin
,Duyun doğa hepimizin
,Hayran kaldım ovasına
,Kurban olam havasına
,Vurmayalım sinesine
,Uyan doğa hepimizin
,
Doğayı anlatsam..,
,"Konu:Doğa,Mevsim,Çiçek.."
,Doğayı anlatsam doğa muhteşem
,Yeşiliyle özüyle güzel gülşen
,Baharla yeşerdikçe haki toprak
,Sevdalı kumrular görürüm öpüşen
,arzuyla uyanır ses eder ufka
,Gökteki dolunaya yakut yıldıza
,Gelincikler serpildikçe ulaşır hazza
,Doğayı anlatsam doğa muhteşem
,Yeniden doğurur arıyı kelebeği
,Renk renk boyar papatyayı laleyi
,Gerisi geriye çağırır göçmen leyleği
,Doğayı anlatsam doğa muhteşem..
,Baharın sevdası tadı
,Gönlümü baht eder sürükler aşka
,Geçirir üzerine yeşil hırka
,Doğayı anlatsam doğa muhteşem
,Çalısı çırpısıyla yeşerir dünya
,mevsimki şaheser cenneti hülya
,Kırmızı tomurcukla açar sardunya
,Doğayı anlatsam doğa muhteşem..
,Tarih:21.01.2011
,
Bir başkadır yaz mevsimi.,
,Yaz gelince doğa canlanır
,yer yeşile boyanır
,ağaçlar çiçek açar donanır
,başkadır yaz mevsimi.
,İnsan doğa HAK sevgisi
,akıl nimeti ALLAH vergisi
,doğa tabiatın pazarı sergisi
,başkadır yaz mevsimi.
,Doğa kışın beyaza bürünür
,çocuklar karda yuvarlanır sürünür
,kışın ardından ilkbahar görünür
,başkadır yaz mevsimi.
,Kuş cıvıltısı arı vızıltısı
,sanki doğanın bitmez sancısı
,kelebeği böceği tırtılı karıncası
,başkadır yaz mevsimi.
,ALLAHIM verdin onca nimeti
,aç kalbime koy hikmeti
,yarattın doğayı sundun hizmeti
,başkadır yaz mevsimi.
,
Doğanın bayramı..,
,"Konu:Doğa,Mevsim.."
,Sona erdi doğanın mahkumiyeti
,Can bulup kırdı zincirlerini
,Dağlarda tepelerde karlar eridi
,Bayramını kutluyor özgürce doğa..
,Toprak çoraktı ağaçlar çıplak
,Çimenler yeşerdi bahar gelince
,Kırlarda dört nala koştu kısrak
,Ağaçlar çiçeklendi cemre düşünce..
,Baharla birlikte kuşlar ötüştü
,Minicik tomurcuklar güle dönüştü
,Laleler sümbüller toprağa düştü
,Bayramını kutluyor cümbüşle doğa
,Arı kovanında bal petek petek
,Gelincikler giymiş al fistan etek
,Uzaklardan dönüyor gagalı leylek
,Bayramı kutluyor rengarenk doğa..
,Bembeyaz çiçeklerle açtı açelya
,Cennete dönüştü güzel rüya
,Nilüferler bıraktı kendini suya
,Bayramını kutluyor sevdalı doğa..
,Bahçelerde serpildi gardenya fulya
,Hayat buldu yeniden mavi begonya
,güzel kokuyor yeşil manolya
,Bayramını kutluyor mevsimle doğa..
,Güzelleşti serpildi çan çiçekleri
,Dans ediyor gecede ateş böcekleri
,aşkı seda bülbül sesleri
,Bayramını kutluyor hasretle doğa..
,Tarih:06.02.2011
,
Doğa Gözlüm,
,Gecenin Karanlığı Çöker Üstüme
,Hasretin Uzaklığı Sarar Tüm Bedenime
,Hayalin Gelir Hep Gözlerime
,Nerdesin Doğa Gözlüm
,İçtiğiim Sigara Dindirmez Efkarımı
,İlaç Kapatmaz Kanayan Yaramı
,Kimse Bilmez Büyük Sevdamı
,Nerdesin Doğa Gözlüm
,Gönlümün Ağacı Yeşillenmez Bilirmisin
,Penceremdeki Çiçekler Koku vermez Görebilirmisin
,Kainat Sensiz Gülmez Farkındamısın
,Dönsene Artık Doğa Gözlüm
,Sensiz Hayatın Anlamı Yok
,Sensiz Şehrin Tadı yok
,sensiz Sokakların Işığı Yok
,Dön Dönsene Yüreğime Doğa Gözlüm
,
Sevgi Emek Doğa Rehberin Olsun,
,Haddim değil dostlarıma nasihat
,Gönül diyor üç şeyi unutma
,"Sevgi,doğa,emek bunlara dikkat"
,Rehberin olsun dost yabana atma
,Sevgi olan yerde çiçekler solmaz
,Birlik beraberlik inan bozulmaz
,Sevgi gönüldeyse aşık usanmaz
,Rehberin olsun dost yabana atma
,Emek üretimin ana unsuru
,Emeğe saygı duy emeği koru
,Emek kalkınmanın en güzel yolu
,Rehberin olsun dost yabana atma
,Doğa kirlenirse nasıl yaşarız
,Neler yiyeceğiz neler içeriz
,Ormanlar yanarsa çöle döneriz
,Rehberin olsun dost yabana atma
,Sevgi emek doğa olsun rehberin
,üçlüye en büyük değeri verin
,Mehmet dosta önerin
,Rehberin olsun dost yabana atma
,(Haziran-2009-Ankara)
,
Doğa ve GÜNAH...,
,doğa;
,sazı çalar
,rüzgarıyla...
,türkü okurdu
,dalıyla yaprağıyla...
,"doğa,"
,dua ederdi
,ormanıyla...
,"insan,"
,isyan ederdi
,elindeki baltasıyla...
,"doğa,"
,günah örterdi
,yaprağıyla...
,"insan,"
,günaha girerdi
,kesip yıkmasıyla...
,"Fikret Turhan-Yalova,"
,20.11.2014
,
Diyalektik dizeler..Biz ve evren..,
,şey biziz.
,şey bizim içimizde.
,Bizden evren yok.
,"İnorganik doğa olarak, türlü atomsal içeriği yaşıyoruz."
,"Organik doğa olarak, türlü hücresel içeriği yaşıyoruz."
,"Toplumsal doğa olarak, türlü bilinci içselleştirebilmeyi yaşıyoruz."
,Kısacası; evrende biz.
,evrende yaşıyoruz.
,
Kazanlı-Mersin (2),
,Türkiye’nin Almanya’sı oldu daima işçiye iş yönünden
,Sebze meyvesi yıllardan beridir besler tüm Ülkemizi
,Sahili vardı akşamları temiz yakamoz ay ışığı
,Ülkemizin doğa harikası idi güzelim Kazanlı sahili
,Cahili yok artık aydını şimdi tek yürekle bağlı Ata’ya
,Zengin fakir hepsi birbirlerine hiç bakmadılar hakir
,Topraklar bakir çalışmak güneydoğudan gelen fakir
,Ülkemizin doğa harikası idi güzelim Kazanlı sahili
,Doktor öğretmen gelirdi göreve bitiremezdi bizi öve öve
,Köy diye nazlanırdı ilk gelen geriye isteyerek olmadı dönen
,Acaba neden insanı insanca sever birde misafiri sever
,Ülkemizin doğa harikası idi güzelim Kazanlı sahili
,Altın kumdan vardı sahili tarlaya diye yok etti insan cahili
,Kazanlı postası çökmez dediler önce sahili acımasız yediler
,Yetmedi fabrikalar dediler tarladaki sebzeye zararı verdiler
,Ülkemizin doğa harikası idi güzelim Kazanlı sahili
,Alın sizler iki fabrika yetmez sahile daha gerek fabrika
,Yarını yani günü göremeyen beyler memnun beyler
,Birileri eder diğeri seyreder bizlere hep yakınmak düşer
,Ülkemizin doğa harikası idi güzelim Kazanlı sahili
,Selim Temiz; 07/12/1960 Mersin doğumluyum; Mersin Üniversitesinde şef memur olarak görev yapıyorum; 27 yıldır şiir yazarım; şiirimi daha önce görev yapmış Kazanlı Belediye Başkanlarına Kenan Yıldırım tüm Kazanlı insanına armağan ediyorum
,
DoLuNaY ve İzMiR,
,Denizi mavi biliriz
,Dün akşam deniz pembeydi
,Doğarken dağların ardından ay
,Pembelik sardı körfezi
,Puslar içindeydi önce
,Beyaz donuktu rengi
,saniye ısındı
,Denizse pembeydi şimdi
,Sanki doğa aşka geldi
,Ayna oldu körfez
,Hiçbir kıpırtısı yoktu
,Ay doğarken doğa sustu
,Keşke görseydiniz sizde
