title,poem_cleaned
Düşman,
,"Tükendi gençliğim karanlıklarda,"
,Çılgın fırtınalarda yağmurlarda;
,"Güneş bazan açtı, kapandı derhal"
,Bahtımın yazgısı karanlıklarda;
,Öyle harap ettiler gönül bahçemi
,"Dallar hep kırıldı, yapraklar yerde"
,Kuytularda birkaç meyvesi kaldı...
,İşte ulaştım güz aylarına
,Fikirler sararmış yapraklar gibi;
,Kullanmalı artık aleti
,"Küreği, tırmığı ötekileri,"
,Düzeltip onarmak yeniden
,Bahçemdeki bütün harap yerleri
,Suların basıp oyup açtığı
,Kocaman çukurları mezarlar gibi...
,"Hayal ettiğim yeni çiçekler,"
,"Acaba bulurlar kimbilir,"
,Ardıç kuşlarının bulduğu
,"Güç alabilecekleri gıdayı,"
,"Gizemli gıdayı, özlü gıdayı"
,sulak topraklarda. hoş havada.
,"Ey acı! Ey acı! Yiyip bitiriyor hayatı zaman,"
,yüreğimizi kemiren düşman
,"anlaşılmaz, garip düşman"
,Büyüyüp güçleniyor kanlarımızla
,Durmadan kaybettiğimiz kanlarımızla.
,(Fransızca`dan Çeviri : Şevket Seydialioğlu)
,
Dost,
,"Kevser havuzuna dalanlar,Ölmezden öndün ölenler"
,"Nefsini düşman bilenler,Konar tuba dallarına"
,"Alem düşman olur ise,Beni dost'tan ırımaya"
,"Dost kanda anda,Düşmanlık arımaya"
,"Dost ehli bizim hem,Dost burdadır bize gam"
,"Yüz bin cehd ederse düşman,Dost mahfili duramaya"
,"Düşman bana nide bile,İşim gücün dost'tan yana"
,"Dost makamı can içinde,düşman eli eremeye"
,"Kime kim dost kapı aça,Düşmanı elinden kaça"
,"Yunus ağzı güher saça,Değme arif değemeye."
,
Yenik Son,
,Susmuş bütün diller gerçekler susmuş
,Büyüyor şehveti karanlıkların
,Bencil türküleri duyulur şimdi
,Güzele düşman yaratıkların
,Güzele düşman yaratıkların.
,
Azraya Mektubumdur,
,Zaman dedikleri
,Düşman ilerliyor torunum
,Göz açip kapayinca
,yedi yaşina basarsin
,su içinde yetmişi omuzlarim
,Zaman düşman ilerlesin
,Çikip gideriz kirlara
,karinca şiiri yazarim
,Zeytin agaçlarina
,resimler yaparsin
,"Kagit fenerli, çingene pembeli resimler"
,Güle oynaya asariz yildizlara
,Zaman düşman ilerlesin
,Hiç aklindan çikarma
,Yarinlar bizim
,Güzelim
,
Düşmanlık,
,Herkes herkese düşman kazananda herkes kaybedende sonu yok düşmanlığında dostluğunda kazanan mutlu nede kaybeden garip esrarengiz dünya!
,
Dikkat Etmezsen,
,Ruh tuzağa düşer mi? .. Düşer dikkat etmezsen
,Can bedenden taşar mı? .. Taşar dikkat etmezsen
,Gidip uzak yerlerde can düşmanı arama
,Düşman sende yaşar mı? .. Yaşar dikkat etmezsen.
,
Termit,
,bugüne kaç kere - -
,"Bıkmışım ölümlerden, ölmeyin benden önce."
,"Düşman dost, yüzü unutmak"
,yüzden görmeyince.
,Cansız tüneklerde muhabbet k....................
,
Üç  Düşman,
,"Düşmanı uzakta arama dostum,"
,"Elin düşman , dilin düşman, düşman."
,"Bunlar iki yerde şahidin olur,"
,Gerek yok şahide yeter üç düşman.
,
,"Ömür boyu uğraştırr boşuna,"
,"üç düşman neler açar başına,"
,"karışırsan elin işine,"
,"Komşo düşman, evlat düşman, eş düşman."
,"Edep utanma olmaz bilmez kendini,"
,"Anlamaz sözünü yıkar bendini,"
,"Dizde ferini gözde ışık söndü mü,"
,Düşündükçe bunları olur beş düşman.
,"Düşünenin başına saygı duymazlar,"
,"Varlığını yerler doymazlar,"
,"Sana hoyratlığını geri koymazlar,"
,Gittikçe olurlar sana baş düşman.
,"AKSAKALIM umduğumu bulamam,"
,"Hoyratların arkasından gelemem,"
,"İstiyerek arada kalamam,"
,Yediğin içtiğin olur aş düşman
,
Olma,
,Yaşa hayatını insan
,Düşmana düşman olma
,Kul vesileyse yaşadıklarından ötürü
,Kullara düşman olma
,Al aklını başına
,Başlara düşman olma
,Ağlayacaksan gün
,Yaşlara düşman olma
,Hayat dediğin nedir
,Dünlere pişman olma
,Kalsa avuçlarında avuç ziyan
,Yıllara düşman olma
,umut ek yarınlara
,Kendinden geçer olma
,aksisedadır yaşamak
,Seslere düşman olma
,
Düşman Şimdi,
,"Sana yarim dedim diye,"
,Diyen dilim düşman şimdi.
,"Gönül verip,sevdim diye,"
,Seven gönlüm düşman şimdi..
,"Saçlarını sevdim diye,"
,Tutan elim düşman şimdi.
,"Laf,söz dinlemedim diye,"
,Bütün dostlar düşman şimdi.
,
Su Uyur Düşman Uyumaz,
,SU UYUR DÜŞMAN UYUMAZ
,Uyur sanma düşmanını
,Su uyur düşman uyumaz
,Kollar hep zayıf anını
,Su uyur düşman uyumaz
,Unutmuş davranır
,Görenlerse dosttur sanır
,Göremeyen aldanır
,Su uyur düşman uyumaz
,İnce ince kurar pusu
,ar bilir namusu
,"Onun ki, tilki uykusu"
,Su uyur düşman uyumaz
,Sana bakar dalar gider
,Yıllar yılı hep kin güder
,Atalar bunun der:
,“Su uyur düşman uyumaz”
,Halil sakın uyuma
,Başını gömme kuma
,angutsun Huma
,Su uyur düşman uyumaz
,22/07/2014 09:17
,
 Genel Af,
,"Genel af çıkardım kızdıklarıma,"
,Hiç müslümana düşman değilim!
,"İbret bakın yazdıklarıma,"
,Hiç müslümana düşman değilim!
,"Tam sırtımdan vurmuş olsa Arap,"
,"Affetim onu, Şahit ol Rab!"
,"Kafirin başına örülsün çorap,"
,Hiç müslümana düşman değilim!
,"İster Afgan olsun, isterse Peştun,"
,Elinden kurtulsun gavurun puştun!
,"Pakistan,sen bana yardıma koştun,"
,Hiç müslümana düşman değilim!
,"Suudi aile kahpedir diye,"
,"Düşman olamam Medine’ye,"
,"Kahpe demek şarttır kahpeye,"
,Hiç müslümana düşman değilim!
,"açken tok yattı müminler,"
,"Malı mala kattı müminler,"
,"Anamı ağlattı müminler,"
,Hiç müslümana düşman değilim!
,"Biri Allah verdi başını,"
,"Biri sattı dava arkadaşını,"
,"silerim gözyaşını,"
,Hiç müslümana düşman değilim!
,"Üç Hilal’i tutup kaldırmak varken,"
,"Kanlı kafirlere saldırmak varken,"
,"Müsümanlar feryad figan ederken,"
,Hiç müslümana düşman değilim!
,H.Osman SARAÇ
,
Dostlar başa düşman ayağa bakar,
,"Ayakkabınıza dikkat ediniz,"
,Dostlar başa düşman ayağa bakar.
,"Kendinize düzen verip gidiniz,"
,Dostlar başa düşman ayağa bakar.
,"Hor görüp insana bahane bulma,"
,Giyinmekten sakın geriye kalma.
,"El alemin ağzına sakız olma,"
,Dostlar başa düşman ayağa bakar.
,"Dünyada insanları hakir görme,"
,destursuz olarak bağa girme.
,"Düşman olana sakın fırsat verme,"
,Dostlar başa düşman ayağa bakar.
,"Sözünü sakın kimseye böldürme,"
,Halden anlamayanlara hal bildirme.
,"kendine düşmanları güldürme,"
,Dostlar başa düşman ayağa bakar.
,"Yusuf dost olanları örnek alsın,"
,Dost olan dostluğun kıymetin bilsin.
,"Ayağın başın iyi olsun,"
,Dostlar başa düşman ayağa bakar.
,
Düşman Dölüne,
,Düşman Dölüne
,"Hadi vur, düşman dölüne."
,"Vatan dönmesin, kan gölüne."
,"Allı bayrağı, al eline."
,"Vatanım bölünmez, biline."
,
,"Çıkartma, burnunu, kapıdan."
,"Kimdir ki, bunları sapıtan."
,"Sormalı, dini yapıdan."
,"Kır elini, düşman dölünün."
,"Düşman; daim, ayağa bakar."
,"Kurşunu; hep, kafaya sıkar."
,"Kanın, hiç uğruna akar."
,"Fırsat verme, düşman dölüne."
,"Evlat, iyi dinle atanı."
,"Vatanı, pula satanı,"
,"vatana, ışık tutanı,"
,"Ağlatma, vur düşman dölüne."
,"Paksoy der, hep gazi olalım."
,"Yurttaki, düşmanı bulalım."
,"Hain; aramızda, bilelim."
,"Sakın kanma, düşman dölüne."
,
Ey Türk Milleti,
,güzeldir senin cesurca zengin tarihinle altyapın
,Savaşcı ruhunla mücadelenle nice zaferler kazandın
,Mazlumları korudun ayırt etmedin topraklarında aydın
,Uyan Türk milleti koru bayrağını düşman ele geçirmeden
,Fatihlerin fethini Osman gazi soyuna oynananan düşman oyununu
,Haçlı sefer masonlar dört yandan saldırır kaptırma koyununu
,Türk kürt gardaşdır kaynaştık kız verip aldık unutma sakın soyunu
,Uyan Türk milleti koru toprağını düşman ele geçirmeden
,Din dil ırk ayrımı yapmadan doğu batı yurdunun köprüsü
,Güçlü ırkıyla korku saldı düşmana haksıza karşı oldu süngüsü
,Silenmedi tarihlerden zaferleri dilden düşmez Türk'ün övgüsü
,Uyan artık lazı göçmeni alevisi sunnisi düşman ele geçirmeden
,Atatürk'e düşman diyen düşmanındır anlamadın eyy hain
,Annesi özbe öz Türk oğlu türktür başkası yapamazdı bil neferin
,Cephelerde göğüs gerdi hani kaldımıki şimdi böyle askerin
,Uyan artık timsah pususunda vatanı düşman elde geçirmeden
,EYY BEDBAHT DÜŞMAN SANA MEYDAN OKUMADA ASKERİM
,TÜRK'ÜM KANIMDANDIR FÜZELERİNEDE GÖĞÜS GERERİM
,BİR TÜRK CİHAN DEMEKTİR UNUTMADIM ÖZÜMDEYİM
,UYUMADIM AYAKTAYIM ŞANLI VATANIMI ELE GEÇİRMEDEN
,
Düşman Kalleş Savaş Çetin,
,Bakıyorum gidişata
,Düşman kalleş savaş çetin
,Göz koymuşlar memlekete
,Düşman kalleş savaş çetin
,Kimse kalmasın gümana
,Kefere düşman imana
,Kini yaymışlar zamana
