title,poem_cleaned
Özeleştiri,
,Suç
,büyüyünce
,şiir
,Saçların
,çözülünce
,ihanet olur
,tutamam kendimi....cinayet olur!
,
Sönsün bu İhanet,
,Kükremiş sel oluruz
,Söner ihanet...
,Ey şehit oğlu ey yiğit
,Hainlere verme eman
,Sönsün ihanet
,çılgın haini affetmeyin
,Sönsün İhanet yazık cennete...
,Soysuz dünyada bayrağı vatan bilendir
,ay-yıldızlı bayrağı vatan bildim
,Bayrağa ihanet vatana ihanet
,Bayrağa ihanet vatana ihanet...
,Aşk bilmez gül bilmez hain...
,Eman verme sönsün ihanet
,gül vatan ölemezsin
,Aşım güldür benim
,Göz yaşım güldür benim
,Gül vatan ölürüm
,Sönecek ihanet
,Birlik bilmez dirlik bilmez gül bilmezsin
,Aşk bilmez gül bilmez hainsin
,Sönmez gönlündeki ihanet
,Benim gönlümde cennet
,Birlik isteyene silah çeken hainsin
,Dirlik isteyene silah çeken hainsin
,Kabeler yıktın hain..
,Söndürdün güneşleri yıldızları
,Eman yok sana
,Alemi İslamın bitsin gecesi Allah'ım...
,Yıldızlarımız var güneşlerimiz var
,Hain sana dünyayı ederiz dar
,Gönüllü atlarız senin nemrut ateşine...
,Haindir silah doğrultan birlik güneşine
,Dirlik güneşine
,yanmalıyım söndü binlerce güneş
,Ülkülerim türkülerim kan ağladı
,yanmalıyım...Ben İbrahim...
,Önümde cehennem olsan hain
,Gönüllü yanmaya melek kanatlarım
,yanayım
,Sönsün İhanet
,Gel yan
,Sönsün ihanet
,
İhanet,
,"hanlıklar, devletler geldi geçti birer birer,"
,"benzeri daha yoktur, dünyada memleketin."
,"İnsanlığın beşiğiydi önce Hitit sonra Sümer,"
,"duygunun mekanıydı mutluluğun, felaketin."
,"Malazgirt'te belli oldu onun ebedi sahibi,"
,hiç eksilmedi toprağına göz dikeni.
,"Fikrini gerçeğe döken içindeki haini,"
,"Vakti geldiğinde elbet, esiridir nedametin."
,"Gönül gözüyle bakın hep güzelliğine yurdun,"
,Böylesi mükemmeliyet Çin'de var Ürdün.
,"Metanet tüm benliklerde dağ olsa bugün,"
,Yaşananlar yazık tarifidir ihanetin.
,"Nihayetinde hepsi bir, kürdü, lazı çerkezi,"
,Temel haklar özgürlükler adilce bağlar herkesi.
,"var kulaklar sağır duyulmaz vicdanın sesi,"
,Kurtulan pençesinden cehalet denen illetin.
,"bütündür bölünemez, parçalanamaz vatan."
,Kardeşlik düşüncesidir yaşayışa değer katan.
,"Şiddet eken nefret biçer, nefrete layık yaşayan,"
,Unutmasın bayrağı namusudur milletin...
,
Ayşe'm,
,Sevgimiz uğruna acılara katlandım
,zaman varlığında umutlandım
