title,poem_cleaned
Vara Vara Vardık Bir Kara Taşa 1,
,Vara vara vardık kara taşa
,Yazılanlar gelir sağolan başa(aman efendim)
,Bizi hasret koyar kavim kardaşa
,ayrılık yoksulluk ölüm(aman efendim)
,Nice sultanları tahtan indirir
,Nicesinin gül benzini soldurur(aman efendim)
,Niceleri dönmez yola gönderir
,ayrılık yoksulluk ölüm(aman efendim)
,Karacaoğlan derki kondum göçülmez
,Acıdır ecel şerbeti içilmez
,Üç derdim var birbirinden seçilmez
,ayrılık yoksulluk ölüm(aman efendim)
,
Maden,
,maden maden
,Kendimizden uzakta aranan maden
,neden olmadan bilinmek i....................
,
Aklın Hakkını Vermek!,
,"Batılı toplumlar, kendilerini yönetenler tarafından derin siyasi uykuya yatırılmışlardır. Dünya meseleleri umurlarında değildir, varsa yoksa kendi standartları… Hayatları, yükselen benzin fiyatlarına Wallmart’ın borsa hisselerinin gidişatına endekslidir. New York’ta elektrikler kesilirse kıyamet kopar. işin tuhaf yanı şudur ki, New York’ta elektrikler kesilmeden yıldızları göremezsiniz. Yıldızları görmeyen insanlar, dünyanın öbür ucunda evine aç işsiz dönenleri nasıl görsün Allah aşkına! ?"
,"Bizim topraklarımızda ise, yoksulluk zulümle travmatize mecburi politik tutum vardır. Doğuda, evinden çıkıp sokak aralarına giren hemen herkes kısa süre sonra politize olur. Sizin yerinize hakkınızı savunacak partiler, dernekler, örgütler hâsıl olur. Pişirilmiş fikirler, organize eylemler, mecburi kutuplaşmalar servis ederler size. de, üzerinize yapışan ergenliğinizden seçim yaparak kurtulma imkânı bulursunuz. Sonrasında, ötekine körleşip iyice sağırlaşarak insanlıkla bağı çırpıda kopartılmış kavramların kiralık katiline dönüşüverirsiniz."
,"Yanlış, size hazır sunulandan yemenizle başlar. Siz, yediğinizin ilk halini görmedikçe onu kendiniz pişirip kendinize servis etmediğiniz müddetçe yanlış düzelmez. Allah’ın defaten tekrar ettiği “akletmez misiniz? ” uyarısı tam olarak bundandır. akıl, yollarınızın inşası kılavuzdur. Eksik bıraktığınız, aceleye getirdiğiniz nokta, sizi başkalarının aklına hizmet etmeye zorlar. gün eve dönersiniz, posta kutunuzda fatura! Öyle ya, yanlışın bedelsiz bırakıldığına şahit oldunuz hiç! ?"
,"Öyle seçim yapmalıyız ki, karşımızda zalimden gayrisi bulunmasın. ırkı, inancı, milliyeti bizi bağlamasın. Öyle seçim yapmalıyız ki, mazlum hatırımızdan hiç çıkmasın. Mazlum ki, mazlum olur olmaz neye dâhil olursa olsun bizim emanetimiz! Bana kalırsa bu, aklın hakkını vermektir. hazır sunulan fikirlerin ilk haline dönmektir. Adem’in şerefine secde etmektir."
